filename,manuscript,locus,prayer,work,language,status,wordcount
AM04-0784_026v_m.org,AM04-0784,26v 26v,Prayer for a traveller,,da,Transcribed,42
AM12-0417_001r.org,AM12-0417,1r 34r,Hours of the Holy Spirit,HOURS_HOLY_SPIRIT,gml,Started,513
UUB-C-496-136r.org,UUB C 496,136r-v,Prayers for a traveller,,Danish,,140
GKS08-3423_211r.org,GKS 3423 8vo,211r-[[http://www5.kb.dk/manus/vmanus/2011/dec/ha/object376382/da#kbOSD-0=page:449][224r]],XV Pater Noster,,Low German,,2047
AM08-0073_098r.org,AM08-0073,98r,Added psalms,,da,Transcribed,99
AM08-0073_077r.org,AM08-0073,77r 79v,Hours of the Virgin (Sext),HOURS_VIRGIN.SEXT,gml,Transcribed,266
AM08-0070_253v.org,AM08-0070,253v,AM08_0070-253v,,da,Transcribed,33
GKS04-1615_019r.org,GKS 1615 4to,19r-19v,Magnificat,,Danish,,171
AM08-0073_099r.org,AM08-0073,99r 109r,Hours of St. Anne,HOURS_ANNE,gml,begun,223
AM08-0073_237v.org,AM 73 8vo,237v-238v,Magnificat,,Low German,,127
AM08-0073_082v.org,AM08-0073,82v,Hours of the Virgin (Vespers),HOURS_VIRGIN.VESPERS,gml,Transcribed,918
Beschauwing_009.org,Boek der Beschauwing,9 14,First Sunday of Advent,ADVENT_1,gml,transcribed,380
GKS08-3423_071v.org,GKS 3423 8vo,71v-73r,Magnificat,,Low German,,135
AM12-0417_050r.org,AM12-0417,49v 54v,Litany of the Virgin,LITANY_VIRGIN,gml,Transcribed,672
AM08-0070_002v.org,AM08-0070,2v,AM08_0070-2v,,da,Begun,44
AM08-0070_003r.org,AM08-0070,3r,Cantus Sororum (Matins),CANTUS.matins,gml,Transcribed,622
AM08-0073_071r.org,AM08-0073,71r 74v,Hours of the Virgin (Prime),HOURS_VIRGIN.PRIME,gml,Transcribed,605
AM08-0073_067r.org,AM08-0073,67r 67v,O Gloriosa Domina,O_GLORIOSA_DOMINA,gml,transcribed,170
AM12-0417_63r.org,AM12-0417,63r 70v,Hours of St. Anne,HOURS_ANNE,gml,Transcribed,1113
AM08-0073_011v.org,AM 73 8vo,11v 11v,A prayer in verse,,da,proofread,57
GKS08-3423_020r.org,GKS 3423 8vo,[[http://www5.kb.dk/manus/vmanus/2011/dec/ha/object376382/da#kbOSD-0=page:41][20r]],Prayer,,Low German,,64
GKS08-3423_109v.org,GKS 3423 8vo,109v-110r,Magnificat,,Low German,,128
AM04-0789_001r.org,AM 789 4to,10r-10v, 1r-2v,15 Pater Noster,15_OS,da,Transcribed,1058
AM08-0070_254r.org,AM08-0070,254r 254v,,,gml da lat,Transcribed,264
AM04-0784_092r.org,AM 784 4to,92r,A prayer to Mary and Anna,,da,Transcribed,50
AM04-0782_001r.org,AM04-0782,1r 4r,First Sunday in Advent,ADVENT_1,da,,624
AM08-0073_088v.org,AM08-0073,88v,Hours of the Virgin (Compline),HOURS_VIRGIN.COMPLINE,gml,Transcribed,674
GKS08-3423_001r.org,GKS 3423 8vo,[[http://www5.kb.dk/manus/vmanus/2011/dec/ha/object376382/en/#kbOSD-0=page:3][1r]]-2v,O Bone Jesu,,Low German,,352
Holm-A42_032r.org,Holm. A 42,32r-32v,Magnificat,,Latin,,145
GKS08-1613_161r.org,GKS 1613 8vo,161r-162r,Magnificat,,Danish,,256
AM08-0070_001r.org,AM08-0070,1r 2v,Cantus Sororum (Introduction),CANTUS.intro,gml,Transcribed,503
UBB-C-496-019v.org,,,Prayers for the entire day,,Low German,,559
GKS08-3423_202v.org,GKS 3423 8vo,202v-203v,Seven Words of Mary under the Cross,,Low German,,176
AM12-0417_073v.org,AM12-0417,73v 85v,Seven Penitential Psalms,PENITENTIAL_PSALMS,gml,Transcribed,1645
AM08-0075_022v-4.org,AM 75 8vo,22v-23v,A morning prayer,,Danish,proofread,180
AM08-0073_228r.org,AM 73 8vo,228r 230r,Adoro te (St. Gregory),,gml,Transcription started,439
AM08-0073_044r.org,AM08-0073,44r 54v,Hours of the Virgin (Matins),HOURS_VIRGIN.MATINS,gml,,1284
NKS08-0045_120v.org,NKS08-0045,120v 124v,,,da,,179
AM08-0073_013r.org,AM08-0073,13r 24r,Seven Penitential Psalms,,gml,transcribed,2012
AM08-0073_087r.org,,87r-88v,Magnificat,,Low German,,164
AM08-0075_063r.org,AM 75 8vo,63r-64r,Magnificat,,Danish,,233
AM08-0073_136v.org,AM 738vo,[[https://handrit.is/manuscript/view/da/AM08-0073/273?iabr=on#page/136v/mode/2up][136v-137r]],Credo,,Low German,,116
Lund-0035_064v.org,Mh 35,64v-69v,Prayers of Our Lady (MDB 105),,Danish,,607
AM08-0073_080r.org,AM08-0073,80r,Hours of the Virgin (Nones),HOURS_VIRGIN.NONES,gml,Transcribed,449
AM08-0070_247r_m.org,AM08-0070,247r,,,da,Transcribed,5
AM08-0073_055r.org,AM08-0073,55r 57r,Te Deum,TE_DEUM,gml,Transcribed,417
AM08-0073_054v.org,AM08-0073,54v 71r,Hours of the Virgin (Lauds),HOURS_VIRGIN.LAUDS,gml,Transcribed,1495
AM12-0421_030r.org,AM12-0421,30r 31v,Stabat Mater,STABAT_MATER,da,proofread,387
AM08-0073_074v.org,AM08-0073,74v 77r,Hours of the Virgin (Terce),HOURS_VIRGIN.TERCE,gml,Transcribed,461
AM08-0075_009r.org,AM 75 8vo,9r-9v,A morning prayer,,Danish,,148
AM08-0070_247r.org,AM08-0070,247r,Regina Cœli,REGINA_COELI,da,Transcribed,51
