filename,manuscript,prayer,work,language,status,wordcount
Holm-A-0042_055r.org,A 42,A prayer by St. Augustine,MDB6,da,proofread,100
Holm-A-0042_054v.org,A 42,Prayer to the Exaltation of the Cross,MDB5,da,proofread,85
UUB-C496_091v.org,C 496,A rhymed prayer to the Virgin Mary,,gml,proofread,337
AM04-0784_026v_m.org,AM 784 4to,Prayer for a traveller,,Danish,transcribed,42
AM08-0073_094r.org,AM 73 8vo,Ave regina coelorum,AVE_REGINA_COELORUM,Low German,Transcribed,88
AM08-0072_129v.org,AM 72 8vo,A prayer to Mary,1078,da,Transcribed,21
AM08-0070_064r.org,AM 70 8vo,,PSALM_16,gml,transcribed,249
AM08-0072_128r.org,AM 72 8vo,,,da,copied,223
AM12-0417_001r.org,AM12-0417,Hours of the Holy Spirit,HOURS_HOLY_SPIRIT,gml,Started,513
UUB-C496_136r.org,UUB C 496,Prayers for a traveller,TRAVELLER 1121,da,transcribed,143
GKS08-3423_211r.org,GKS 3423 8vo,XV Pater Noster,15_OS,gml,transcribed,2048
AM08-0073_098r.org,AM 73 8vo,Added psalms,,da,transcribed,99
AM08-0073_077r.org,AM08-0073,Hours of the Virgin (Sext),HOURS_VIRGIN.SEXT,gml,Transcribed,266
GKS08-3423_103v.org,GKS 3423 8vo,A prayer to the Face of Christ,,gml,proofread,133
AM08-0070_253v.org,AM 70 8vo,AM08_0070-253v,,da,transcribed,33
GKS04-1615_019r.org,GKS 1615 4to,Magnificat,MAGNIFICAT,da,transcribed,171
GKS08-3423_103r.org,GKS 3423 8vo,A prayer to Christ,,gml,proofread,65
Gott-Theol242f_103r.org,Göttingen Cod. Ms. Theol. 242f,Das goldene Krongebet,KRONGEBET,gml,begun,310
AM08-0073_099r.org,AM 73 8vo,Hours of St. Anne,HOURS_ANNE,gml,transcribed,1332
AM08-0073_165v.org,AM 73 8vo,A prayer for Christ's passion,,gml,Transcribed,86
GKS04-1613_161r.org,GKS 1613 8vo,Magnificat,MAGNIFICAT,da,from MDB,256
AM08-0073_237v.org,AM 73 8vo,Magnificat,MAGNIFICAT,gml,transcribed,127
Koln-W52_167r.org,Köln W 52,,KRONGEBET,gml,begun,246
NKS08-0045_187r.org,NKS 45 8vo,A Prayer to the 24 Fathers,24_FATHERS,gml,transcribed,183
AM08-0073_109r.org,AM 73 8vo,Hours of the Trinity,HOURS_TRINITY,Low German,Transcribed,2527
AM08-0072_128v.org,AM 72 8vo,,1077,da,Transcribed,220
AM08-0073_082v.org,AM 73 8vo,Hours of the Virgin (Vespers),HOURS_VIRGIN.vespers,gml,transcribed,932
Beschauwing_009.org,Boek der Beschauwing,First Sunday of Advent,ADVENT_1,gml,transcribed,380
Thott04-0553_021r-2.org,Thott 553 4to,A prayer by St. Mechtild,184,da,proofread,184
GKS08-3423_071v.org,GKS 3423 8vo,Magnificat,MAGNIFICAT,gml,transcribed,135
AM12-0421_072r.org,AM 421 12mo,A Prayer to Christ's Ascension,ASCENSION,da,Proofread,78
Holm-A-0042_054r.org,A 42,Three prayers to Christ,MDB4,da,proofread,70
Holm-A-0042_055v.org,A 42,A prayer during Mass,MDB7,da,proofread,366
AM12-0417_050r.org,AM 417 12mo,Litany of the Virgin,LITANY_VIRGIN,gml,transcribed,672
AM04-0782_216v.org,AM 782 4to,A prayer to St. Augustine,AUGUSTINE 801,da,proofread,375
AM08-0070_002v.org,AM 70 8vo,A prayer to Christ,,Danish,Proofread,44
AM08-0070_003r.org,AM 70 8vo,Cantus Sororum (Matins),CANTUS.matins,gml,begun,1734
Holm-A-0042_032r.org,Holm. A 42,Magnificat,,Latin,,145
AM08-0073_071r.org,AM08-0073,Hours of the Virgin (Prime),HOURS_VIRGIN.PRIME,gml,Transcribed,605
AM08-0073_067r.org,AM08-0073,O Gloriosa Domina,O_GLORIOSA_DOMINA,gml,transcribed,170
AM12-0421_022r.org,AM 421 12mo,Credo,CREDO,da,,106
Holm-A-0042_052v.org,A 42,A prayer to the Trinity,MDB2,da,proofread,157
Holm-A-0042_053r.org,A 42,A prayer to the Wounds of Christ (in verse),MDB3 WOUNDS,da,proofread,285
AM08-0073_011v.org,AM 73 8vo,A prayer in verse,,da,proofread,57
GKS08-3423_020r.org,GKS 3423 8vo,A prayer to Christ (indulgences),,gml,proofread,65
UUB-C496_002r.org,C 496,A prayer to God Christ Mary and the Saints,,gml,transcribed,190
GKS08-3423_109v.org,GKS08-3423,Magnificat,MAGNIFICAT,gml,Proofread,129
Thott04-0553_022r.org,Thott 553 4to,A prayer by St. Birgitta,186,da,proofread,60
AM08-0073_093r.org,AM 73 8vo,Anna redemptoris,ANNA_REDEMPTORIS,Low German,Transcribed,137
UUB-C496_003r.org,C 496,A prayer for after eating,,gml,proofread,38
AM04-0789_001r.org,AM 789 4to,15 Pater Noster,15_OS,da,Transcribed,1058
GKS08-3487_009v.org,GKS 3487 8vo,Parts of a sermon,,Low German,Transcribed,348
Hamburg-CodConv-6_002r.org,Hamburg Cod. conv. 6,Golden Coronation Prayer of Mary's Ten Joys,KRONGEBET,gml,proofread,1279
