,word,language,documents
0,a,gml,GKS08-3423_211r.org AM08-0073_067r.org AM08-0073_080r.org GKS08-3423_111r2.org GKS08-3487_104v.org
0,a,da,Holm-A-0042_053r.org GKS04-1615_009r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org
0,a,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,aa,da,AM04-0789_001r.org AM04-0789_002v.org Lund-0035_038v.org
0,aal,da,NKS08-0045_120v.org AM08-0072_127r.org
0,aall,da,Lund-0035_064v.org
0,aalweldighe,gml,Beschauwing_009.org
0,aar,da,AM04-0782_216v.org AM08-0073_011v.org AM04-0789_001r.org AM04-0782_001r.org GKS04-1615_009r.org Lund-0035_038v.org AM04-0784_080r.org GKS04-1614_001r.org
0,aasyn,da,NKS08-0045_120v.org
0,ab,da,UUB-C496_136r.org
0,abbate,gml,AM08-0073_013r.org
0,abra,gml,AM08-0073_082v.org
0,abraham,gml,GKS08-3423_071v.org AM12-0417_050r.org GKS08-3423_109v.org
0,abraham,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,abraham,da,GKS04-1615_019r.org GKS04-1613_161r.org AM08-0075_063r.org Lund-0035_023v.org
0,abrahame,gml,AM08-0073_237v.org AM08-0073_054v.org
0,abrahamme,gml,AM12-0417_001r.org AM08-0073_087r.org
0,absolucio,gml,AM08-0070_003r.org
0,ach,gml,Speghel_R1r.org
0,achte,gml,GKS08-3423_211r.org GKS08-3487_001r.org UBB-C496_019v.org
0,achter,gml,AM12-0417_073v.org AM08-0073_013r.org GKS08-3487_001r.org
0,achtersprake,gml,GKS08-3487_001r.org
0,act,da,GKS04-1615_019r.org
0,acther,gml,GKS08-3487_104v.org
0,ad,gml,AM08-0073_082v.org AM08-0073_088v.org AM08-0073_013r.org
0,ad,da,UUB-C496_136r.org
0,ad,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,adam,gml,GKS08-3487_104v.org
0,addatur,gml,GKS08-3487_009v.org
0,ader,gml,Koln-W52_167r.org
0,aderen,gml,AM08-0073_080r.org
0,adintorium,gml,AM08-0073_071r.org
0,adiutorium,gml,AM08-0073_074v.org
0,adonay,gml,GKS08-3487_104v.org
0,aduente,gml,Beschauwing_009.org
0,adwent,da,AM04-0782_001r.org AM04-0784_080r.org
0,adwenth,da,AM04-0782_001r.org
0,af,gml,AM12-0417_001r.org AM08-0073_109r.org GKS08-3423_071v.org AM08-0073_013r.org
0,af,da,AM12-0420_026r.org
0,afbreket,gml,AM08-0073_013r.org
0,aff,gml,UUB-C496_091v.org AM08-0073_099r.org AM08-0070_003r.org AM08-0073_088v.org GKS08-3487_001r.org AM04-0782_091r.org
0,aff,da,Holm-A-0042_055r.org AM04-0784_026v_m.org AM08-0072_129v.org AM08-0072_128r.org AM08-0070_253v.org GKS04-1615_019r.org GKS04-1613_161r.org AM08-0072_128v.org Thott04-0553_021r-2.org Holm-A-0042_055v.org AM04-0782_216v.org AM08-0070_002v.org AM12-0421_022r.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM04-0789_001r.org AM04-0782_001r.org AM04-0784_300r.org Thott04-0553_021r.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org NKS08-0045_120v.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM08-0070_247r_m.org AM12-0421_030r.org AM12-0420_026r.org AM08-0072_126r.org AM08-0075_009r.org AM04-0784_080r.org AM08-0076_113r.org Lund-0035_023v.org AM08-0072_127r.org Kalmar-0033_139v.org GKS04-1614_001r.org
0,aff,other,Holm-A-0029_145v.org
0,affgrwndh,da,GKS04-1613_161r.org
0,afflat,da,Holm-A-0042_054v.org Holm-A-0042_055v.org AM04-0789_001r.org Holm-A-0042_051v.org GKS04-1614_001r.org
0,afflat,gml,NKS08-0045_174r.org AM08-0073_054v.org
0,afflate,gml,AM08-0073_054v.org
0,afflates,gml,UUB-C496_003r.org UUB-C496_001v.org
0,affløsn,da,AM08-0075_022v-4.org AM08-0075_009r.org
0,affrica,gml,AM08-0073_088v.org
0,affscedent,gml,AM04-0782_091r.org
0,afftensagn,other,AM08-0070_254r.org
0,affthen,da,AM04-0782_216v.org
0,afgesneden,gml,AM12-0417_063r.org
0,afghesneden,gml,Speghel_R1r.org
0,afgongh,da,AM08-0072_126r.org
0,afgrunde,gml,AM08-0073_054v.org
0,afgunsticheyth,gml,GKS08-3487_001r.org
0,afhendych,gml,GKS08-3487_001r.org
0,aflat,gml,AM08-0073_228r.org
0,aflate,gml,AM08-0073_109r.org
0,aflates,gml,GKS08-3423_020r.org
0,aflath,da,AM08-0072_127r.org
0,aflatis,gml,AM08-0073_228r.org
0,afschedent,gml,Speghel_R1r.org
0,agatha,gml,AM08-0073_013r.org
0,agentess,da,UUB-C496_136r.org
0,agnete,gml,AM08-0073_013r.org
0,agustino,da,AM04-0784_300r.org
0,al,da,AM08-0072_128r.org AM08-0072_128v.org NKS08-0045_120v.org AM04-0784_080r.org AM08-0072_127r.org
0,al,gml,UUB-C496_091v.org GKS08-3423_211r.org GKS08-3423_103r.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_082v.org GKS08-3423_020r.org AM08-0073_088v.org AM08-0070_001r.org GKS08-3423_202v.org AM12-0417_073v.org UUB-C496_095r.org
0,albanus,gml,AM08-0073_013r.org
0,ald,da,AM04-0782_216v.org AM04-0782_001r.org AM04-0784_080r.org Kalmar-0033_139v.org
0,aldat,gml,AM12-0417_050r.org
0,alde,gml,AM08-0070_003r.org
0,alden,gml,AM12-0417_063r.org
0,aldende,gml,AM12-0417_050r.org
