,word,language,documents
0,b,gml,AM12-0417_050r.org GKS08-3487_104v.org
0,b,da,GKS04-1615_009r.org
0,baa,da,AM04-0782_001r.org AM04-0784_080r.org
0,babarmhertycheyt,gml,GKS08-3423_071v.org
0,bade,gml,GKS08-3423_211r.org AM08-0073_165v.org
0,badh,da,AM04-0789_001r.org
0,bag,da,NKS08-0045_120v.org
0,bagtaall,da,NKS08-0045_120v.org
0,baltazar,gml,GKS08-3487_104v.org
0,bameherticheit,gml,AM08-0073_099r.org
0,band,da,Holm-A-0042_053r.org
0,bande,gml,AM08-0073_013r.org GKS08-3487_104v.org
0,bandh,da,Holm-A-0042_051v.org
0,bant,gml,GKS08-3423_211r.org
0,baptista,gml,AM08-0073_013r.org
0,bar,gml,AM08-0073_082v.org AM08-0073_054v.org
0,barbara,da,AM08-0072_126r.org
0,barbara,gml,AM08-0073_013r.org
0,barm,da,AM08-0070_253v.org
0,barm,gml,AM08-0073_082v.org
0,barmeherticheit,gml,NKS08-0045_187r.org AM08-0073_109r.org Hamburg-CodConv-6_002r.org NKS08-0045_176r.org AM08-0073_087r.org
0,barmeherticheyt,gml,AM08-0073_055r.org
0,barmehertigen,gml,AM08-0073_013r.org
0,barmhartighedh,da,Thott04-0553_125v.org
0,barmher,gml,AM08-0073_055r.org
0,barmherticcheit,gml,AM08-0073_013r.org
0,barmhertich,gml,GKS08-3487_001r.org
0,barmherticheit,gml,UUB-C496_091v.org AM08-0070_064r.org AM12-0417_001r.org Gott-Theol242f_103r.org AM08-0073_165v.org AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org UUB-C496_002r.org Hamburg-CodConv-6_002r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_087r.org AM08-0073_054v.org AM12-0417_063r.org
0,barmherticheit,other,AM08-0070_254r.org
0,barmhertichesse,gml,AM08-0073_071r.org
0,barmherticheyt,gml,GKS08-3423_211r.org NKS08-0045_174r.org Speghel_R1r.org AM08-0073_013r.org AM08-0073_080r.org GKS08-3487_001r.org
0,barmhertichliken,gml,AM12-0417_001r.org AM08-0073_109r.org
0,barmhertige,gml,AM08-0073_077r.org
0,barmhertigeste,gml,AM08-0073_077r.org AM12-0417_050r.org
0,barmhertighe,gml,AM12-0417_001r.org AM08-0070_003r.org AM08-0073_071r.org
0,barmhertigheit,gml,Beinecke-0218_127r.org
0,barmhertighet,da,AM08-0075_063r.org
0,barmhertikeyt,gml,AM08-0073_071r.org AM08-0073_013r.org
0,barmhertklichen,gml,AM08-0073_082v.org AM08-0073_087r.org
0,barmhertycheit,gml,GKS08-3423_109v.org GKS08-3423_001r.org
0,barmhertycheyt,gml,GKS08-3423_211r.org GKS08-3423_103r.org GKS08-3423_071v.org GKS08-3423_109v.org GKS08-3487_009v.org GKS08-3423_111r2.org
0,barmhertychlyken,gml,GKS08-3423_211r.org
0,barmhertzickeit,gml,Koln-W52_167r.org
0,barmhiærtighed,da,NKS08-0045_120v.org
0,barmhiærtighedh,da,Thott04-0553_125v.org
0,barmhiærtighedz,da,Thott04-0553_125v.org
0,barmhiærtighet,da,Holm-A-0042_095v.org
0,barmhiærtughet,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,barmn,da,AM12-0420_026r.org
0,barn,da,GKS04-1615_019r.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org Lund-0035_023v.org
0,barnabas,gml,AM08-0073_013r.org
0,barndom,da,AM04-0789_001r.org AM04-0782_001r.org AM04-0784_080r.org
0,barndoom,da,NKS08-0045_120v.org
0,barnendhe,gml,GKS08-3487_009v.org
0,barst,gml,UBB-C496_019v.org
0,bart,gml,AM08-0073_088v.org
0,bartholomei,da,AM04-0784_300r.org
0,bartholomeus,gml,AM08-0073_013r.org
0,baræ,da,AM08-0079Ieta_001r.org
0,bast,da,AM08-0075_063r.org
0,basunen,gml,AM08-0073_054v.org
0,bat,gml,NKS08-0045_174r.org
0,bat,da,AM04-0782_216v.org AM04-0789_001r.org
0,bauen,gml,AM12-0417_050r.org AM12-0417_073v.org GKS08-3487_001r.org
0,be,da,Thott04-0553_125v.org
0,be,gml,AM08-0073_077r.org AM08-0073_082v.org AM08-0073_071r.org AM08-0073_044r.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org AM08-0073_074v.org
0,beatam,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,beati,gml,AM08-0073_013r.org
0,beatvm,da,UUB-C496_136r.org
0,bebwde,da,AM04-0782_001r.org
0,becht,gml,AM08-0073_165v.org
0,becrien,gml,AM04-0782_091r.org
0,bed,gml,Speghel_R1r.org
0,bed,da,AM04-0782_216v.org
0,bedarf,gml,AM12-0417_050r.org
0,bedde,gml,AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3487_001r.org
0,beddhe,da,AM08-0072_126r.org
0,bede,gml,AM08-0073_094r.org GKS08-3423_211r.org AM08-0073_099r.org AM08-0073_165v.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM08-0070_003r.org AM08-0073_071r.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org UUB-C496_001v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org
0,bedeckede,gml,AM08-0070_064r.org
0,bedecket,gml,AM12-0417_073v.org AM08-0073_013r.org
0,bedeke,gml,GKS08-3423_211r.org
0,bedeken,gml,UUB-C496_003r.org
0,beden,gml,AM08-0073_099r.org AM08-0073_109r.org AM12-0417_073v.org AM08-0073_044r.org AM12-0417_063r.org
0,bedenckien,gml,AM08-0073_054v.org
0,bedende,gml,AM08-0073_109r.org AM04-0782_091r.org
0,bedendes,gml,AM08-0073_013r.org
0,bedendhe,da,Thott04-0553_021r-2.org
0,bedenke,gml,Beschauwing_009.org
0,bedenken,gml,Beschauwing_009.org
0,beder,da,Holm-A-0042_055v.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM04-0789_001r.org NKS08-0045_120v.org AM04-0789_002v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,bedes,da,Holm-A-0042_055v.org AM04-0789_001r.org
0,bedes,gml,AM08-0073_099r.org AM08-0070_003r.org NKS08-0045_194r.org AM12-0417_073v.org AM08-0073_080r.org AM12-0417_063r.org
0,bedest,gml,GKS08-3423_211r.org
0,bedh,da,Lund-0035_023v.org
0,bedhende,da,Thott04-0553_021r-2.org
0,bedher,da,Thott04-0553_021r-2.org AM12-0421_072r.org AM04-0782_001r.org Thott04-0553_015v.org AM08-0075_022v-4.org Thott04-0553_125v.org Thott04-0553_021v.org Lund-0035_064v.org AM12-0421_030r.org AM08-0075_009r.org AM04-0784_080r.org
0,bedhet,da,NKS08-0045_120v.org
0,bedhis,da,Thott04-0553_125v.org
0,bedhær,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,bedinde,da,Holm-A-0042_052v.org
0,bedis,da,Holm-A-0042_055v.org
0,bedrauet,gml,GKS08-3487_001r.org
0,bedre,da,AM04-0789_001r.org NKS08-0045_120v.org
0,bedrechlyken,gml,GKS08-3423_211r.org
0,bedrechnisse,gml,AM08-0073_109r.org
0,bedregende,gml,AM08-0073_109r.org
0,bedrelsæ,da,Holm-A-0042_055v.org
0,bedreuen,gml,AM08-0073_109r.org
0,bedrilsæ,da,Holm-A-0042_055v.org
0,bedringh,da,AM08-0075_022v-4.org
0,bedrofenysse,gml,GKS08-3423_211r.org
0,bedrofnis,gml,AM08-0073_067r.org
0,bedrofnisse,gml,AM08-0073_074v.org
0,bedrouede,gml,AM08-0073_013r.org
0,bedroueden,gml,GKS08-3423_211r.org AM08-0073_099r.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3423_020r.org AM08-0070_001r.org AM12-0417_063r.org
0,bedrouelicheit,gml,AM08-0073_099r.org
0,bedrouen,gml,GKS08-3423_211r.org AM08-0073_109r.org Beschauwing_009.org AM08-0070_003r.org AM12-0417_073v.org GKS08-3487_001r.org
0,bedrouet,gml,GKS08-3423_211r.org AM08-0073_071r.org AM12-0417_073v.org AM08-0073_013r.org
0,bedrouet,other,AM08-0070_254r.org
0,bedrouicheit,gml,AM12-0417_063r.org
0,bedrouwen,gml,AM08-0073_013r.org
0,bedroweden,gml,AM08-0073_099r.org
0,bedruckynghe,gml,GKS08-3423_211r.org
0,bedrupnissze,gml,Koln-W52_167r.org
0,bedruuelike,gml,AM08-0073_067r.org
0,bedræ,da,NKS08-0045_120v.org
0,bedrøffwe,da,AM04-0782_001r.org AM04-0784_080r.org
0,bedrøffwellssæ,da,AM04-0782_001r.org AM04-0784_080r.org
0,bedrøffwelssæ,da,AM04-0782_001r.org AM04-0784_080r.org
0,bedrøwels,da,AM08-0072_128r.org
0,bedrøwelser,da,AM08-0072_128v.org
0,bedrøwelsæ,da,AM08-0072_127r.org
0,bedudet,gml,GKS08-3487_104v.org
0,bedær,da,Holm-A-0042_051v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org
0,bedüdet,gml,AM08-0070_003r.org
0,beendidet,da,AM12-0420_026r.org
0,beeskelige,da,AM12-0421_030r.org
0,beeskæ,da,Thott04-0553_022r.org
0,befaler,da,AM08-0072_128r.org AM08-0072_128v.org
0,befalh,da,AM08-0072_126r.org
0,befaller,da,Thott04-0553_021r.org
0,beffundit,da,AM08-0073_011v.org
0,begaen,gml,AM08-0073_077r.org
0,began,gml,GKS08-3423_071v.org
0,beger,gml,GKS08-3423_111r2.org
0,begerde,gml,AM08-0073_088v.org
0,begeren,gml,GKS08-3423_211r.org GKS08-3423_103v.org
0,begering,da,AM12-0420_026r.org
0,begeringe,gml,AM12-0417_050r.org UUB-C496_002r.org Beinecke-0218_127r.org AM08-0073_013r.org UUB-C496_095r.org
0,begeringh,da,AM12-0420_026r.org
0,begeringhe,gml,AM08-0073_082v.org
0,begerinng,da,AM12-0420_026r.org
0,begerlycheyt,gml,GKS08-3423_211r.org
0,begert,gml,GKS08-3423_111r2.org
0,begerunge,gml,Koln-W52_167r.org
0,begerych,gml,GKS08-3423_211r.org
0,begerynge,gml,Gott-Theol242f_103r.org UUB-C496_095r.org
0,begerynghe,gml,GKS08-3423_211r.org
0,beghaen,gml,AM08-0073_071r.org
0,beghan,gml,AM08-0073_109r.org
0,beghande,gml,GKS08-3487_001r.org
0,beghe,gml,AM08-0073_099r.org
0,begherde,gml,AM08-0073_054v.org
0,beghere,gml,GKS08-3487_001r.org
0,begheren,gml,AM08-0073_077r.org AM08-0073_099r.org GKS08-3487_001r.org AM12-0417_063r.org
0,begherende,gml,AM08-0073_109r.org
0,begheret,gml,GKS08-3487_001r.org
0,begheringe,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_013r.org
0,begheringhe,gml,AM08-0073_109r.org Hamburg-CodConv-6_002r.org AM08-0070_001r.org AM12-0417_073v.org AM12-0417_063r.org
0,begherlik,gml,AM08-0073_044r.org
0,begherlycke,gml,GKS08-3487_001r.org
0,begherynghe,gml,AM12-0417_001r.org
0,beghynnet,gml,AM12-0417_001r.org
0,begiering,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,begieringh,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,begierinngh,da,Holm-A-0042_095v.org
0,begierædæ,da,GKS04-1613_161r.org
0,begiftende,gml,AM08-0073_099r.org AM12-0417_063r.org
0,begindelsæ,da,AM04-0784_080r.org
0,begindes,da,GKS04-1615_009r.org
0,beginnet,gml,AM12-0417_050r.org AM12-0417_073v.org AM12-0417_063r.org
0,begoten,gml,AM08-0073_099r.org AM12-0417_063r.org
0,begracht,gml,AM12-0417_001r.org
0,begrauen,gml,AM08-0073_109r.org AM08-0073_136v.org GKS08-3487_001r.org
0,begrepen,gml,AM08-0073_109r.org
0,begribe,da,AM04-0782_216v.org AM04-0784_300r.org Kalmar-0033_139v.org
0,begripen,gml,AM08-0070_003r.org AM08-0073_044r.org
0,begripliken,gml,AM08-0073_055r.org
0,begyndilsæ,da,GKS04-1613_161r.org
0,begynne,gml,AM08-0073_044r.org
0,begynnelsse,da,AM04-0782_001r.org
0,begynnen,gml,Gott-Theol242f_103r.org Beschauwing_009.org AM08-0073_013r.org
0,begynnet,gml,GKS08-3423_202v.org GKS08-3423_111r2.org
0,begynnæ,da,AM04-0782_001r.org AM04-0784_080r.org
0,begyntæ,da,AM08-0079Ieta_001r.org
0,begæringh,da,Thott04-0553_125v.org
0,begæræd,da,NKS08-0045_120v.org
0,behaffwet,da,AM04-0782_001r.org AM04-0784_080r.org
0,behagede,gml,AM08-0070_003r.org
0,behageden,gml,AM12-0417_073v.org AM08-0073_013r.org
0,behagen,gml,AM08-0073_094r.org AM08-0073_109r.org
0,behaget,gml,AM08-0073_099r.org Beschauwing_009.org AM12-0417_063r.org
0,behaghen,gml,GKS08-3423_211r.org AM08-0073_109r.org
0,behaghet,gml,AM08-0070_003r.org
0,behaluen,gml,AM08-0073_074v.org
0,behandelst,gml,AM08-0073_013r.org
0,behawet,da,AM04-0782_216v.org
0,behegelig,gml,AM04-0782_091r.org
0,behegelik,gml,AM08-0073_044r.org
0,beheghelich,gml,AM08-0073_099r.org AM08-0073_054v.org
0,beheghelik,gml,Speghel_R1r.org
0,behode,gml,AM08-0073_109r.org GKS08-3487_104v.org
0,behofnisse,gml,AM08-0073_067r.org
0,beholden,gml,AM08-0073_044r.org GKS08-3487_104v.org
0,beholdest,gml,AM12-0417_073v.org AM08-0073_080r.org
0,beholle,da,AM04-0782_001r.org AM04-0784_080r.org
0,beholpen,gml,AM08-0073_109r.org
0,behorde,gml,GKS08-3487_001r.org
0,behoue,gml,NKS08-0045_187r.org
0,behude,gml,AM12-0417_073v.org AM08-0073_013r.org
0,behudet,gml,AM08-0070_064r.org
0,beide,gml,AM08-0073_013r.org AM12-0417_063r.org
0,beider,gml,AM12-0417_001r.org AM12-0417_063r.org
0,bekachet,gml,GKS08-3487_001r.org
0,bekanden,gml,Gott-Theol242f_103r.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org AM08-0073_044r.org GKS08-3487_001r.org
0,bekandest,gml,GKS08-3423_211r.org
0,bekandestu,gml,Gott-Theol242f_103r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org UUB-C496_095r.org
0,bekant,gml,AM12-0417_001r.org AM08-0073_109r.org NKS08-0045_174r.org GKS08-3487_001r.org
0,bekantenisse,gml,UUB-C496_091v.org
0,bekantestu,gml,Koln-W52_167r.org
0,bekantnisse,gml,AM08-0073_109r.org AM08-0073_013r.org
0,beke,gml,AM08-0073_077r.org AM08-0073_082v.org AM08-0073_074v.org
0,beken,gml,AM08-0073_054v.org
0,bekender,da,AM04-0782_001r.org AM04-0784_080r.org
0,bekenne,gml,AM08-0073_109r.org Beschauwing_009.org GKS08-3423_001r.org AM12-0417_073v.org UUB-C496_001r.org GKS08-3487_001r.org
0,bekennen,gml,AM12-0417_001r.org AM08-0073_044r.org AM08-0073_055r.org AM08-0073_054v.org
0,bekennende,gml,AM08-0073_109r.org
0,bekennest,gml,UUB-C496_002r.org
0,bekennet,gml,AM08-0073_055r.org
0,bekere,gml,AM08-0073_088v.org AM08-0073_013r.org
0,bekerede,gml,AM08-0073_077r.org
0,bekeren,gml,AM08-0073_013r.org
0,bekeret,gml,AM08-0073_044r.org
0,bekerme,gml,AM08-0073_013r.org
0,bekert,gml,AM12-0417_073v.org
0,bekiende,da,Holm-A-0042_095v.org AM12-0420_026r.org
0,bekiænde,da,Lund-0035_064v.org
0,bekiændæ,da,Lund-0035_064v.org
0,beklagedest,gml,GKS08-3423_211r.org
0,bekoreden,gml,AM08-0070_003r.org AM08-0073_044r.org
0,bekoren,gml,AM08-0073_109r.org
0,bekoringe,gml,AM08-0073_109r.org AM08-0073_044r.org
0,bekraftich,gml,AM08-0073_109r.org
0,bekummernisse,gml,Beschauwing_009.org
0,bekænde,da,Thott04-0553_125v.org
0,bekændis,da,Thott04-0553_125v.org
0,bekænth,da,NKS08-0045_120v.org
0,beledet,gml,GKS08-3487_001r.org
0,beledhe,da,Thott04-0553_125v.org
0,belegen,gml,GKS08-3487_104v.org
0,beleuet,gml,GKS08-3487_001r.org
0,beleuynghe,gml,GKS08-3487_001r.org
0,belligæ,da,GKS04-1613_161r.org
0,belustynghe,gml,GKS08-3423_211r.org
0,belædhæ,da,AM12-0420_026r.org
0,ben,da,AM04-0782_216v.org
0,bende,gml,AM08-0073_082v.org AM08-0070_003r.org UUB-C496_002r.org NKS08-0045_174r.org
0,benden,gml,AM08-0073_109r.org Speghel_R1r.org GKS08-3487_104v.org AM04-0782_091r.org
0,bendyet,gml,AM08-0073_054v.org
0,bene,gml,AM08-0073_067r.org AM08-0073_013r.org AM08-0073_054v.org
0,benedet,gml,AM08-0073_109r.org
0,benedicamus,other,Kalmar-0033_037v.org
0,benedicat,gml,GKS08-3487_104v.org
0,benedice,gml,AM08-0073_054v.org
0,benedicite,gml,AM08-0073_109r.org
0,benedictamus,gml,AM08-0073_109r.org
0,benedictus,gml,AM12-0417_001r.org AM08-0073_109r.org AM08-0073_013r.org AM08-0073_054v.org
0,benedid,da,Lund-0035_064v.org
0,benedide,da,Holm-A-0042_055v.org Thott04-0553_021r.org AM08-0075_063r.org Holm-A-0042_095v.org AM12-0420_026r.org
0,benedide,gml,UBB-C496_019v.org
0,benediden,gml,AM08-0070_003r.org UBB-C496_019v.org
0,benedidiæ,da,AM04-0784_092r.org
0,benedidæ,da,NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org
0,benedie,gml,AM08-0073_109r.org AM08-0073_054v.org
0,benediede,gml,AM12-0417_050r.org
0,benediedhen,gml,GKS08-3487_009v.org
0,benedien,gml,AM12-0417_001r.org AM08-0073_109r.org AM08-0073_080r.org AM08-0073_055r.org
0,benediet,da,Thott04-0553_125v.org
0,benediet,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org UUB-C496_095r.org AM08-0073_054v.org
0,benediginghe,gml,AM08-0070_003r.org
0,benedijt,da,AM12-0420_026r.org
0,benedyde,gml,GKS08-3487_104v.org
0,benedye,gml,AM08-0073_077r.org UUB-C496_002r.org AM08-0073_044r.org AM08-0073_054v.org
0,benedyede,gml,GKS08-3423_111r2.org
0,benedyeden,gml,GKS08-3423_111r2.org
0,benedyen,gml,AM08-0073_044r.org
0,benedyet,gml,AM08-0073_044r.org AM08-0073_054v.org
0,benelaudate,gml,AM08-0073_054v.org
0,benende,gml,AM08-0073_165v.org
0,benomede,gml,GKS08-3487_009v.org
0,benædidæ,da,NKS08-0045_120v.org
0,bequeme,gml,GKS08-3423_211r.org AM08-0070_003r.org UUB-C496_002r.org
0,berch,gml,AM08-0070_003r.org AM08-0073_044r.org
0,bere,da,AM12-0421_030r.org
0,berede,gml,AM08-0073_044r.org
0,bereden,gml,AM08-0073_054v.org
0,beredet,gml,AM08-0070_001r.org
0,beredh,da,Holm-A-0042_095v.org
0,bereffne,da,GKS04-1615_019r.org
0,bereide,gml,Beinecke-0218_127r.org
0,bereit,gml,Beschauwing_009.org AM12-0417_063r.org
0,bereyde,gml,AM08-0070_064r.org AM08-0073_013r.org
0,bereydende,gml,AM12-0417_001r.org
0,bereydet,gml,AM08-0073_054v.org
0,bereyt,gml,AM12-0417_073v.org
0,berge,gml,AM08-0070_003r.org UBB-C496_019v.org
0,bergen,gml,AM08-0073_071r.org
0,bergh,gml,AM08-0073_088v.org AM08-0073_074v.org
0,berghe,gml,AM08-0073_044r.org AM08-0073_054v.org AM08-0073_074v.org
0,berghes,gml,AM08-0073_099r.org AM12-0417_063r.org
0,berlnen,gml,AM04-0789_005r.org
0,bermhertigheyet,gml,AM04-0782_091r.org
0,bermhiertighet,da,AM12-0420_026r.org
0,bernaculum,gml,AM08-0073_044r.org
0,bernardus,da,AM08-0072_127r.org
0,bernardus,gml,AM08-0073_109r.org AM08-0073_013r.org
0,bernde,gml,AM12-0417_063r.org
0,bernede,gml,AM08-0073_099r.org
0,bernen,gml,Hamburg-CodConv-6_002r.org GKS08-3423_111r2.org
0,bernende,gml,AM08-0073_099r.org AM08-0070_003r.org AM12-0417_063r.org
0,bernet,gml,AM08-0070_003r.org
0,bernynge,gml,NKS08-0045_194r.org
0,berofenysse,gml,GKS08-3423_211r.org
0,berop,gml,AM08-0073_013r.org
