,word,language,documents
0,c,gml,GKS08-3423_211r.org
0,c,da,Holm-A-0042_055v.org GKS04-1615_009r.org Thott04-0553_125v.org Lund-0035_064v.org
0,call,da,NKS08-0045_120v.org
0,caluer,gml,AM12-0417_073v.org
0,canticulum,gml,AM08-0073_044r.org
0,canticum,da,AM08-0075_063r.org
0,capetulum,gml,AM08-0073_099r.org
0,capitele,gml,GKS08-3487_009v.org
0,capiti,gml,GKS08-3487_009v.org
0,capitulo,gml,GKS08-3487_009v.org
0,capitulum,gml,AM08-0073_077r.org AM08-0073_099r.org AM08-0073_082v.org AM08-0073_071r.org AM08-0073_088v.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org
0,capitulum,other,AM08-0070_254r.org
0,cardinale,gml,UUB-C496_002r.org
0,caritas,gml,AM08-0073_013r.org
0,castitas,gml,AM08-0073_013r.org
0,cccc,gml,UUB-C496_001v.org
0,cecia,gml,AM08-0073_013r.org
0,cecilia,gml,AM08-0073_013r.org
0,cedar,gml,AM08-0073_071r.org
0,cederbome,gml,AM08-0073_054v.org
0,cele,other,Holm-A-0042_032r.org
0,celebrant,other,Kalmar-0033_037v.org
0,celi,gml,AM08-0073_044r.org
0,celi,da,AM08-0070_247r.org
0,cella,other,AM08-0070_254r.org
0,celorum,gml,AM08-0073_094r.org
0,cetera,other,AM08-0070_254r.org
0,cetera,gml,AM08-0073_082v.org AM08-0073_088v.org
0,chame,gml,AM08-0073_067r.org
0,charitas,gml,GKS08-3487_009v.org
0,charlemagnekarl,da,Holm-A-0042_051v.org
0,chen,gml,AM08-0073_044r.org
0,cherubin,gml,UUB-C496_001r.org AM08-0073_055r.org
0,chore,gml,AM08-0073_055r.org
0,chrisi,gml,GKS08-3487_001r.org
0,christe,da,UUB-C496_136r.org Thott04-0553_021r-2.org AM12-0421_072r.org AM08-0070_002v.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021v.org Lund-0035_038v.org AM08-0072_126r.org
0,christe,gml,GKS08-3423_211r.org GKS08-3423_103v.org GKS08-3423_103r.org AM08-0073_165v.org AM08-0073_109r.org UUB-C496_002r.org UUB-C496_003r.org AM08-0073_230r.org AM08-0073_013r.org GKS08-3423_111r2.org AM04-0782_091r.org
0,christe,other,AM08-0070_254r.org Holm-A-0029_145v.org
0,christeleyson,gml,AM08-0073_088v.org NKS08-0045_194r.org AM08-0073_013r.org AM08-0073_080r.org
0,christelige,da,AM04-0782_216v.org
0,christen,gml,GKS08-3487_001r.org
0,christi,gml,AM12-0417_001r.org AM12-0417_050r.org AM08-0073_093r.org AM08-0073_088v.org UUB-C496_001v.org AM08-0073_080r.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org
0,christi,da,Holm-A-0042_054v.org AM08-0070_253v.org Holm-A-0042_053r.org Holm-A-0042_051v.org Thott04-0553_021v.org Lund-0035_038v.org AM12-0421_030r.org AM08-0072_126r.org GKS04-1614_001r.org
0,christi,other,AM08-0070_254r.org
0,christielesion,gml,AM08-0073_054v.org
0,christne,da,AM08-0073_011v.org
0,christo,gml,AM08-0073_088v.org
0,christo,da,AM08-0075_063r.org AM08-0072_126r.org
0,christo,other,AM08-0070_254r.org
0,christteleyson,gml,AM08-0073_071r.org
0,christum,da,AM08-0072_128r.org AM08-0072_128v.org AM12-0421_022r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org AM08-0072_127r.org
0,christum,gml,AM08-0073_094r.org AM12-0417_001r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0073_071r.org AM08-0073_093r.org AM08-0073_088v.org UUB-C496_001r.org AM08-0073_087r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org GKS08-3487_001r.org
0,christus,gml,GKS08-3423_211r.org AM08-0073_099r.org AM08-0073_109r.org GKS08-3487_009v.org AM08-0073_088v.org
0,christus,da,AM08-0072_128r.org UUB-C496_136r.org AM08-0072_128v.org Thott04-0553_022r.org AM04-0784_092r.org
0,christy,gml,GKS08-3423_211r.org
0,ciperen,gml,GKS08-3423_211r.org
0,cipriane,gml,AM08-0073_013r.org
0,cirlatus,gml,AM08-0073_013r.org
0,claar,da,AM12-0421_030r.org
0,clamaui,gml,AM08-0073_013r.org
0,clamor,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
