,word,language,documents
0,d,gml,GKS08-3423_211r.org AM08-0073_109r.org NKS08-0045_174r.org
0,d,da,GKS04-1615_009r.org
0,da,gml,GKS08-3423_211r.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_001r.org
0,daancken,gml,AM08-0073_109r.org
0,dach,gml,AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org GKS08-3423_111r2.org UBB-C496_019v.org
0,dacht,gml,AM08-0073_054v.org
0,dachte,gml,AM08-0073_237v.org AM08-0073_082v.org GKS08-3423_071v.org GKS08-3423_109v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_054v.org
0,dachten,gml,AM08-0070_003r.org AM12-0417_073v.org AM08-0073_013r.org
0,dachtnisse,gml,AM08-0073_109r.org
0,dachtnysse,gml,AM08-0070_003r.org
0,dack,gml,AM04-0782_091r.org
0,dacke,gml,AM08-0073_013r.org
0,dade,gml,GKS08-3487_001r.org
0,daed,gml,AM04-0782_091r.org
0,daen,gml,AM08-0073_082v.org AM08-0073_087r.org
0,daer,gml,AM08-0070_064r.org
0,dag,da,AM04-0789_001r.org AM04-0782_001r.org GKS04-1615_009r.org Holm-A-0042_051v.org AM12-0420_026r.org Kalmar-0033_139v.org
0,dage,gml,AM08-0073_082v.org Beschauwing_009.org AM12-0417_050r.org UUB-C496_003r.org NKS08-0045_174r.org GKS08-3423_202v.org AM12-0417_073v.org UUB-C496_001v.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org
0,dage,da,Holm-A-0042_054v.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM04-0789_001r.org GKS04-1615_009r.org AM04-0789_002v.org Thott04-0553_125v.org Holm-A-0042_095v.org GKS04-1614_001r.org
0,dagelig,da,Holm-A-0042_055v.org
0,dagen,gml,GKS08-3423_111r2.org AM04-0782_091r.org
0,dages,gml,AM08-0073_071r.org
0,dagh,da,AM08-0072_128r.org AM08-0072_128v.org Holm-A-0042_055v.org AM12-0421_022r.org AM04-0782_001r.org Thott04-0553_021r.org AM08-0075_022v-4.org Holm-A-0042_051v.org Thott04-0553_125v.org Thott04-0553_021v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org AM08-0075_009r.org AM04-0784_080r.org GKS04-1614_001r.org
0,dagh,gml,Beinecke-0218_127r.org
0,daghe,gml,AM12-0417_001r.org AM08-0073_077r.org AM08-0073_109r.org AM08-0073_082v.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_136v.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_001r.org GKS08-3487_104v.org
0,daghe,da,Thott04-0553_125v.org
0,daghelike,gml,AM08-0073_109r.org
0,daghen,gml,Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org GKS08-3487_001r.org
0,daghes,gml,AM08-0070_001r.org
0,daghæ,da,Lund-0035_038v.org
0,daglige,da,Thott04-0553_021r-2.org Thott04-0553_020v.org
0,dagligæ,da,AM04-0789_001r.org
0,dagælig,da,Holm-A-0042_052v.org
0,dagæligh,da,Holm-A-0042_055r.org
0,dake,gml,AM12-0417_073v.org AM08-0073_080r.org
0,dal,gml,GKS08-3487_104v.org
0,dale,gml,AM08-0073_228r.org GKS08-3423_111r2.org GKS08-3487_001r.org
0,dan,gml,AM08-0073_165v.org Koln-W52_167r.org AM08-0070_003r.org AM12-0417_073v.org AM04-0789_005r.org
0,danchen,gml,GKS08-3487_001r.org
0,danck,gml,AM08-0073_109r.org
0,dancke,gml,AM12-0417_001r.org AM08-0073_109r.org GKS08-3423_111r2.org
0,dancken,gml,AM12-0417_001r.org Beschauwing_009.org AM12-0417_050r.org AM08-0070_001r.org AM08-0073_013r.org GKS08-3487_001r.org AM04-0782_091r.org
0,dancket,gml,AM08-0073_077r.org
0,dancknamych,gml,GKS08-3423_111r2.org
0,dangk,gml,AM08-0073_109r.org
0,danke,gml,GKS08-3423_211r.org AM08-0073_082v.org AM08-0073_087r.org GKS08-3423_111r2.org
0,danken,gml,GKS08-3423_211r.org AM08-0073_237v.org GKS08-3423_071v.org GKS08-3423_109v.org Hamburg-CodConv-6_002r.org Speghel_R1r.org UUB-C496_001r.org GKS08-3423_111r2.org UBB-C496_019v.org
0,danne,gml,AM08-0073_013r.org
0,dansskæ,da,AM12-0421_022r.org
0,dantsende,gml,GKS08-3487_001r.org
0,dar,other,AM08-0070_254r.org
0,dar,gml,UUB-C496_091v.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org GKS08-3423_103v.org AM08-0073_099r.org AM08-0073_165v.org AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org GKS08-3423_109v.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_001r.org AM08-0073_087r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org AM04-0782_091r.org UBB-C496_019v.org AM12-0417_063r.org
0,darff,gml,NKS08-0045_174r.org
0,darheit,gml,AM08-0073_080r.org
0,darinne,gml,AM08-0073_013r.org
0,darna,gml,Beinecke-0218_127r.org
