,word,language,documents
0,e,da,Holm-A-0042_055v.org GKS04-1615_009r.org Thott04-0553_125v.org Lund-0035_064v.org
0,e,gml,GKS08-3423_211r.org AM08-0073_082v.org AM08-0073_088v.org AM08-0073_044r.org AM08-0073_054v.org
0,ecce,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,echschap,gml,AM12-0417_063r.org
0,echscop,gml,AM12-0417_063r.org
0,echtes,gml,AM08-0073_099r.org
0,echtesschap,gml,AM08-0073_099r.org
0,eddele,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_228r.org NKS08-0045_176r.org GKS08-3423_111r2.org
0,eddelen,gml,Beschauwing_009.org AM08-0073_054v.org
0,eddeler,gml,AM08-0073_044r.org
0,eddelste,gml,AM12-0417_050r.org
0,edder,gml,AM08-0070_003r.org UUB-C496_002r.org AM08-0073_044r.org AM08-0073_013r.org GKS08-3487_001r.org UBB-C496_019v.org
0,edele,da,Holm-A-0042_095v.org
0,edelygh,da,AM04-0782_001r.org
0,eder,da,Holm-A-0042_095v.org
0,edher,da,Thott04-0553_125v.org
0,edæle,da,Lund-0035_064v.org
0,edær,da,Lund-0035_064v.org
0,ee,gml,AM12-0417_001r.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_080r.org
0,ee,da,Thott04-0553_015v.org
0,eechlyk,gml,Speghel_R1r.org
0,eeden,gml,GKS08-3487_001r.org
0,eehuare,da,Lund-0035_038v.org
0,eelenden,gml,GKS08-3487_001r.org
0,eelick,gml,AM04-0782_091r.org
0,een,da,AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_125v.org Thott04-0553_021v.org
0,een,other,AM08-0070_254r.org
0,een,gml,AM08-0073_109r.org AM12-0417_050r.org UUB-C496_002r.org AM04-0789_005r.org AM12-0417_063r.org
0,eenfoldighedh,da,Thott04-0553_015v.org
0,eengeboren,gml,AM12-0417_050r.org
0,eenæ,da,Thott04-0553_125v.org
0,eer,gml,Koln-W52_167r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org Beinecke-0218_127r.org AM08-0073_074v.org AM12-0417_063r.org
0,eere,gml,GKS08-3423_211r.org
0,eerlike,gml,AM12-0417_050r.org
0,eerliken,gml,Beschauwing_009.org
0,eervoldigen,gml,AM12-0417_063r.org
0,eewynnelige,da,GKS04-1614_001r.org
0,efft,gml,Beschauwing_009.org
0,effte,gml,GKS08-3487_001r.org
0,effter,da,AM04-0789_001r.org AM04-0782_001r.org AM04-0784_300r.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM04-0784_080r.org
0,effterscreffne,da,Thott04-0553_021r-2.org Thott04-0553_022r.org Thott04-0553_125v.org AM08-0075_009r.org
0,effterscriffues,da,Thott04-0553_021r.org
0,effterscriwes,da,Thott04-0553_125v.org Thott04-0553_021v.org
0,effterskreffne,da,Thott04-0553_020v.org Kalmar-0033_139v.org GKS04-1614_001r.org
0,effthe,gml,GKS08-3487_104v.org
0,effther,da,AM12-0421_022r.org AM04-0782_001r.org AM08-0075_022v-4.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0075_009r.org AM04-0784_080r.org
0,efftherscreffne,da,Thott04-0553_125v.org
0,efftherscriues,da,Thott04-0553_125v.org
0,eft,gml,GKS08-3487_001r.org
0,efte,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org UBB-C496_019v.org
0,efter,da,AM04-0782_216v.org GKS04-1615_009r.org AM12-0420_026r.org
0,eg,da,AM08-0072_128r.org
0,egeme,gml,GKS08-3487_001r.org
0,egen,gml,GKS08-3423_211r.org AM08-0073_099r.org GKS08-3423_111r2.org
0,egen,da,AM08-0073_098r.org
0,eghe,gml,Speghel_R1r.org AM04-0782_091r.org
0,eghen,da,GKS04-1613_161r.org
0,eghen,gml,GKS08-3487_001r.org
0,eghene,gml,GKS08-3487_001r.org
0,eghenen,gml,AM08-0070_001r.org
0,egidius,gml,AM08-0073_013r.org
0,egipciata,gml,AM08-0073_013r.org
0,egnen,gml,GKS08-3423_211r.org
0,ego,gml,GKS08-3487_104v.org
0,egressus,gml,GKS08-3423_111r2.org
0,ehuare,da,Holm-A-0042_053r.org
0,ehuat,da,Holm-A-0042_095v.org
0,eine,gml,Beschauwing_009.org AM08-0073_228r.org
0,einem,gml,Beschauwing_009.org
0,einen,gml,Beschauwing_009.org
0,eit,gml,AM12-0417_001r.org
0,eius,gml,GKS08-3487_009v.org GKS08-3423_111r2.org
0,eius,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,eld,da,Holm-A-0042_053r.org
0,elementen,gml,AM08-0070_003r.org
0,elende,gml,AM08-0073_071r.org Beinecke-0218_127r.org
0,elenden,gml,GKS08-3423_211r.org GKS08-3487_009v.org AM08-0073_044r.org
0,elfe,gml,AM08-0073_013r.org
0,elfte,gml,GKS08-3423_211r.org
0,ellende,gml,AM08-0073_071r.org
0,eller,da,UUB-C496_136r.org Thott04-0553_021r-2.org AM04-0789_001r.org AM08-0079Ieta_001r.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0076_113r.org
0,ellær,da,NKS08-0045_120v.org
0,elschen,gml,NKS08-0045_194r.org
0,elske,da,AM12-0421_030r.org
0,elsketh,da,AM04-0782_216v.org
0,eluen,gml,UBB-C496_019v.org
0,elyzabet,gml,AM08-0073_013r.org
0,em,gml,AM08-0070_064r.org GKS08-3423_211r.org AM08-0070_003r.org GKS08-3487_009v.org AM08-0070_001r.org AM12-0417_073v.org GKS08-3487_001r.org GKS08-3487_104v.org NKS08-0045_166r.org
0,eme,gml,AM12-0417_001r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org AM08-0070_001r.org GKS08-3423_202v.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org UBB-C496_019v.org AM04-0789_005r.org
0,emerenciana,gml,AM08-0073_013r.org
0,emæden,da,Thott04-0553_125v.org
0,en,other,AM08-0070_254r.org
0,en,gml,UUB-C496_091v.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org GKS08-3423_103v.org AM08-0073_099r.org AM08-0073_165v.org AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org UUB-C496_002r.org GKS08-3423_109v.org AM08-0073_093r.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org AM04-0789_005r.org AM12-0417_063r.org
0,en,da,AM04-0782_216v.org AM04-0782_001r.org AM04-0784_300r.org NKS08-0045_120v.org AM08-0072_126r.org AM04-0784_080r.org AM08-0072_127r.org
0,enarrant,gml,AM08-0073_044r.org
0,enboren,gml,AM08-0073_109r.org
0,enborgne,gml,AM08-0073_109r.org
0,enborne,gml,AM08-0073_109r.org
0,enbornen,gml,AM08-0073_109r.org
0,enbroken,gml,AM08-0070_003r.org
0,end,gml,AM12-0417_063r.org
0,end,da,AM04-0782_216v.org AM04-0784_300r.org
0,ende,gml,GKS08-3423_211r.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org NKS08-0045_174r.org Speghel_R1r.org AM08-0070_001r.org GKS08-3423_202v.org NKS08-0045_194r.org AM08-0073_044r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_001r.org AM04-0782_091r.org NKS08-0045_166r.org
0,endede,gml,AM08-0073_082v.org
0,enden,gml,AM12-0417_073v.org AM08-0073_054v.org
0,endhe,da,GKS04-1615_019r.org
0,endhelikt,da,AM08-0072_127r.org
0,endrechticheit,gml,AM08-0073_013r.org
0,endyghen,gml,GKS08-3423_211r.org
0,ene,da,Kalmar-0033_139v.org
0,ene,gml,UUB-C496_091v.org AM08-0073_094r.org GKS08-3423_211r.org GKS08-3423_103v.org AM08-0073_099r.org AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3423_109v.org AM08-0073_093r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org AM08-0070_001r.org NKS08-0045_194r.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_087r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_104v.org UBB-C496_019v.org
0,eneborne,gml,AM08-0070_001r.org
0,enem,gml,GKS08-3423_211r.org AM04-0789_005r.org
0,eneme,gml,GKS08-3423_103v.org AM08-0073_099r.org AM08-0073_109r.org AM08-0070_003r.org GKS08-3423_111r2.org UBB-C496_019v.org
0,enen,gml,GKS08-3423_211r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0070_003r.org UUB-C496_002r.org Hamburg-CodConv-6_002r.org GKS08-3423_202v.org GKS08-3423_111r2.org
0,enende,gml,AM08-0073_109r.org
0,ener,gml,UUB-C496_091v.org AM08-0073_109r.org Hamburg-CodConv-6_002r.org UUB-C496_095r.org
0,enes,gml,Hamburg-CodConv-6_002r.org AM08-0073_055r.org NKS08-0045_166r.org
0,enesthe,da,AM12-0421_022r.org
0,enfing,gml,AM12-0417_050r.org
0,engeboren,gml,AM08-0073_109r.org
0,engel,gml,AM08-0073_109r.org Beschauwing_009.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_054v.org AM04-0789_005r.org
0,engel,da,AM04-0784_026v_m.org AM08-0072_128r.org UUB-C496_136r.org AM08-0072_128v.org AM04-0784_080r.org AM08-0072_127r.org
0,engele,gml,AM08-0073_094r.org GKS08-3423_211r.org AM08-0073_109r.org Beschauwing_009.org AM08-0073_093r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_013r.org UUB-C496_001r.org AM08-0073_055r.org AM08-0073_054v.org
0,engelen,da,AM04-0784_080r.org
0,engelen,gml,AM12-0417_050r.org UUB-C496_001v.org AM08-0073_044r.org UUB-C496_001r.org
0,engell,da,AM04-0782_001r.org AM04-0784_080r.org
0,engels,gml,AM08-0073_099r.org GKS08-3487_009v.org AM12-0417_063r.org
0,engelunde,da,AM08-0079Ieta_001r.org
0,engelynd,da,AM04-0782_001r.org
0,engen,da,AM04-0782_216v.org
0,enghebarne,gml,GKS08-3487_001r.org
0,engheboren,gml,AM08-0073_109r.org
0,enghel,gml,AM08-0070_001r.org GKS08-3487_001r.org
0,enghele,gml,AM08-0070_001r.org
0,enghell,da,AM04-0784_080r.org
0,enghels,gml,AM08-0070_001r.org
0,enghen,da,Thott04-0553_022r.org
0,engle,da,AM04-0782_216v.org
0,engsel,da,AM08-0072_128r.org AM08-0072_128v.org
0,engæn,da,NKS08-0045_120v.org
0,enheit,gml,AM12-0417_001r.org AM08-0073_054v.org
0,enighe,gml,AM08-0073_044r.org
0,enighen,gml,AM12-0417_001r.org
0,enim,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,enlith,da,AM08-0072_127r.org
0,enllith,da,AM08-0072_127r.org
0,enn,gml,NKS08-0045_166r.org
0,enspreken,gml,AM08-0073_080r.org
0,ensta,gml,AM08-0073_165v.org
0,entfae,gml,Koln-W52_167r.org
0,entfange,gml,AM08-0073_013r.org
0,entfangen,gml,Beschauwing_009.org AM12-0417_050r.org Beinecke-0218_127r.org AM08-0073_013r.org GKS08-3423_111r2.org AM04-0782_091r.org AM12-0417_063r.org
0,entfangende,gml,AM08-0070_001r.org
0,entfanger,gml,AM08-0070_003r.org
0,entfangest,gml,AM08-0070_003r.org
0,entfanget,gml,GKS08-3487_104v.org
