,word,language,documents
0,f,da,GKS04-1615_009r.org Thott04-0553_125v.org
0,faa,da,AM04-0782_001r.org AM12-0421_030r.org AM04-0784_080r.org
0,faal,da,Lund-0035_064v.org
0,faar,da,AM04-0789_001r.org
0,faare,da,AM04-0784_026v_m.org
0,fabiane,gml,AM08-0073_013r.org
0,fader,da,GKS04-1613_161r.org Thott04-0553_021r-2.org Holm-A-0042_055v.org AM04-0782_216v.org Holm-A-0042_052v.org AM04-0789_001r.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org
0,faders,da,AM04-0782_216v.org AM04-0789_001r.org Thott04-0553_021r.org NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org
0,fadher,da,GKS04-1615_019r.org AM12-0421_072r.org AM12-0421_022r.org AM04-0782_001r.org NKS08-0045_120v.org AM04-0784_080r.org
0,fadheren,other,AM08-0070_254r.org
0,fadherens,da,Thott04-0553_021r.org
0,fadhers,da,AM12-0421_022r.org
0,fadhær,da,Holm-A-0042_095v.org
0,fadær,da,Lund-0035_064v.org Lund-0035_023v.org
0,faen,gml,AM08-0073_054v.org
0,fafængom,other,Holm-A-0029_145v.org
0,fagnæ,da,NKS08-0045_120v.org
0,fal,da,Holm-A-0042_095v.org AM12-0420_026r.org
0,falde,da,AM04-0789_002v.org
0,fall,da,Thott04-0553_125v.org AM12-0420_026r.org
0,falle,da,AM04-0789_001r.org
0,falled,da,NKS08-0045_120v.org
0,fallet,da,NKS08-0045_120v.org
0,falsk,da,NKS08-0045_120v.org
0,falskæ,da,AM08-0072_128r.org AM08-0072_128v.org NKS08-0045_120v.org
0,famulos,other,Kalmar-0033_037v.org
0,famvlo,da,UUB-C496_136r.org
0,famvlvm,da,UUB-C496_136r.org
0,fandst,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,fange,da,Kalmar-0033_139v.org
0,fangen,da,AM04-0789_002v.org
0,fangen,gml,GKS08-3487_104v.org
0,fangende,gml,AM08-0073_044r.org
0,fanger,da,Kalmar-0033_139v.org
0,fanghe,da,AM08-0070_247r_m.org
0,fanst,da,Lund-0035_064v.org AM12-0420_026r.org
0,fare,da,UUB-C496_136r.org Holm-A-0042_055v.org Holm-A-0042_095v.org AM12-0421_030r.org
0,fastelawens,da,GKS04-1615_009r.org
0,fastædagæ,da,NKS08-0045_120v.org
0,faters,da,AM12-0420_026r.org
0,father,da,AM12-0420_026r.org
0,fatig,da,NKS08-0045_120v.org
0,fatigæ,da,NKS08-0045_120v.org
0,fattigt,da,UUB-C496_136r.org
0,fawre,da,AM08-0072_126r.org
0,fecit,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,fedræ,da,Lund-0035_023v.org
0,fegerindhe,da,AM04-0789_001r.org
0,felicitas,gml,AM08-0073_013r.org
0,felle,da,Holm-A-0042_053r.org AM04-0789_001r.org
0,fellæ,da,Lund-0035_038v.org
0,fem,da,Holm-A-0042_053r.org NKS08-0045_120v.org
0,femineo,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,ferd,da,AM12-0420_026r.org
