,word,language,documents
0,g,gml,GKS08-3487_001r.org GKS08-3487_104v.org
0,g,da,GKS04-1615_009r.org Thott04-0553_125v.org
0,ga,gml,AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org GKS08-3487_104v.org
0,gaa,da,AM04-0782_001r.org AM08-0079Ieta_001r.org AM12-0421_030r.org AM04-0784_080r.org
0,gaar,da,AM08-0075_022v-4.org Holm-A-0042_051v.org Lund-0035_038v.org
0,gabriel,da,AM08-0072_128r.org AM04-0782_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org AM04-0784_080r.org AM08-0072_127r.org
0,gabriel,gml,Beschauwing_009.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_013r.org UUB-C496_095r.org AM04-0789_005r.org
0,gabriele,gml,AM08-0073_093r.org
0,gabrielem,da,AM04-0784_080r.org
0,gabrielis,gml,AM08-0073_082v.org GKS08-3487_009v.org
0,gabriell,da,AM04-0782_001r.org
0,gack,da,AM12-0421_030r.org
0,gade,gml,GKS08-3423_071v.org GKS08-3423_109v.org AM08-0070_001r.org GKS08-3423_202v.org GKS08-3423_111r2.org
0,gades,gml,AM12-0417_001r.org AM12-0417_050r.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org AM12-0417_063r.org
0,gaen,gml,AM08-0073_071r.org AM12-0417_073v.org
0,gaf,gml,Hamburg-CodConv-6_002r.org AM08-0073_054v.org AM08-0073_074v.org
0,gaf,da,AM12-0420_026r.org
0,gaff,da,Holm-A-0042_054v.org GKS04-1613_161r.org Holm-A-0042_055v.org Holm-A-0042_053r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0421_030r.org
0,gaff,gml,Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org GKS08-3487_104v.org UBB-C496_019v.org
0,gaffn,da,NKS08-0045_120v.org
0,gaffuær,da,NKS08-0045_120v.org
0,gaib,gml,Koln-W52_167r.org
0,gallen,gml,GKS08-3423_211r.org AM08-0073_228r.org UBB-C496_019v.org
0,gallenskab,da,Thott04-0553_015v.org
0,gallich,gml,UBB-C496_019v.org
0,gallæ,other,AM08-0070_254r.org
0,gan,gml,GKS08-3423_211r.org AM08-0073_165v.org AM08-0073_067r.org AM08-0073_088v.org GKS08-3423_001r.org AM08-0073_013r.org AM08-0073_054v.org
0,ganczen,gml,AM08-0073_013r.org
0,gange,gml,AM08-0073_082v.org
0,gange,da,Holm-A-0042_052v.org
0,ganger,da,AM08-0075_009r.org
0,ganghæ,da,Holm-A-0042_095v.org
0,gangyth,da,AM04-0782_001r.org AM04-0784_080r.org
0,gangæ,da,Thott04-0553_125v.org Lund-0035_064v.org
0,gank,gml,AM08-0070_064r.org AM08-0073_071r.org GKS08-3423_111r2.org
0,gans,gml,GKS08-3423_211r.org UUB-C496_001r.org
0,gansen,gml,GKS08-3423_111r2.org
0,ganser,gml,GKS08-3423_111r2.org
0,gantze,gml,AM08-0070_003r.org AM08-0070_001r.org
0,gantze,da,AM08-0070_002v.org
0,gantzen,gml,AM08-0073_055r.org UBB-C496_019v.org
0,gantzer,gml,AM08-0070_001r.org
0,ganzce,gml,AM08-0073_109r.org
0,ganzen,gml,AM04-0782_091r.org
0,gar,gml,AM08-0073_013r.org
0,gar,da,Holm-A-0042_053r.org
0,garden,gml,GKS08-3423_211r.org
0,garuen,gml,AM08-0073_077r.org AM08-0073_080r.org
0,gast,gml,GKS08-3423_211r.org
0,gat,gml,AM08-0073_054v.org
0,gaue,gml,AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_099r.org AM12-0417_073v.org GKS08-3487_104v.org NKS08-0045_166r.org AM12-0417_063r.org
0,gayen,gml,AM08-0073_013r.org
0,gddz,da,NKS08-0045_120v.org
0,ge,gml,AM08-0073_077r.org AM08-0073_067r.org AM08-0073_088v.org AM08-0073_044r.org AM08-0073_055r.org AM08-0073_054v.org
0,geapenbaret,gml,AM12-0417_073v.org
0,gebar,gml,AM08-0073_099r.org AM08-0073_082v.org
0,gebaren,gml,Beschauwing_009.org AM12-0417_050r.org
0,gebede,gml,Gott-Theol242f_103r.org Koln-W52_167r.org
0,gebeden,gml,Beinecke-0218_127r.org
0,gebedes,gml,UUB-C496_002r.org AM12-0417_073v.org
0,gebenediet,gml,UUB-C496_091v.org Koln-W52_167r.org AM08-0073_109r.org Beinecke-0218_127r.org UUB-C496_095r.org
0,gebenediget,gml,Beinecke-0218_127r.org
0,gebenedyet,gml,Gott-Theol242f_103r.org
0,geberedest,gml,AM08-0073_093r.org
0,geberen,gml,AM08-0073_093r.org
0,geberet,gml,AM08-0073_099r.org
0,gebet,gml,AM08-0070_064r.org Gott-Theol242f_103r.org Koln-W52_167r.org UUB-C496_095r.org
0,gebeth,gml,AM12-0417_001r.org Koln-W52_167r.org AM12-0417_063r.org
0,gebloyet,gml,AM08-0073_077r.org
0,geboden,gml,AM08-0073_109r.org Beinecke-0218_127r.org
0,gebord,gml,Beinecke-0218_127r.org
0,geboren,gml,UUB-C496_091v.org AM08-0073_099r.org AM08-0073_109r.org AM12-0417_050r.org AM08-0073_071r.org AM08-0073_088v.org AM08-0073_136v.org AM08-0073_054v.org
0,geboret,gml,AM08-0073_044r.org
0,geborn,gml,AM12-0417_063r.org
