,word,language,documents
0,h,da,Thott04-0553_125v.org
0,h,gml,AM08-0073_082v.org AM12-0417_073v.org
0,ha,gml,AM08-0073_071r.org
0,haandt,da,AM08-0073_098r.org
0,haar,da,AM12-0421_030r.org
0,haare,da,AM04-0782_216v.org
0,habraham,gml,GKS08-3487_104v.org
0,had,gml,AM08-0073_074v.org
0,hadde,da,AM04-0782_216v.org AM08-0070_247r.org
0,hadde,gml,UUB-C496_091v.org AM08-0073_099r.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_013r.org AM08-0073_074v.org UBB-C496_019v.org AM04-0789_005r.org AM12-0417_063r.org
0,hadden,gml,AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_074v.org
0,haddest,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_044r.org GKS08-3423_111r2.org
0,haddestu,gml,AM08-0070_003r.org
0,hadeth,da,AM04-0782_216v.org
0,haest,gml,UUB-C496_091v.org
0,hafde,da,AM04-0789_001r.org AM04-0789_002v.org
0,haffd,da,NKS08-0045_120v.org
0,haffde,da,AM04-0782_216v.org AM04-0789_001r.org AM04-0789_002v.org Thott04-0553_125v.org
0,haffdæ,da,GKS04-1613_161r.org
0,haffer,da,AM04-0782_216v.org AM04-0784_300r.org AM04-0784_080r.org
0,haffs,da,Holm-A-0042_054v.org
0,haffue,da,Thott04-0553_022r.org
0,haffuer,da,AM04-0784_026v_m.org AM08-0073_011v.org AM08-0075_022v-4.org NKS08-0045_120v.org
0,haffuæ,da,NKS08-0045_120v.org
0,haffuær,da,NKS08-0045_120v.org
0,haffwer,da,GKS04-1615_019r.org GKS04-1613_161r.org AM04-0782_216v.org AM04-0782_001r.org AM08-0075_009r.org AM04-0784_080r.org
0,haffwær,da,GKS04-1613_161r.org NKS08-0045_120v.org
0,haffzens,da,AM04-0789_001r.org
0,hafthen,da,AM08-0072_128r.org AM08-0072_128v.org
0,hafuer,da,AM08-0075_063r.org
0,hagel,gml,AM08-0073_054v.org
0,hager,gml,AM08-0073_082v.org
