,word,language,documents
0,j,da,Holm-A-0042_054v.org AM08-0072_129v.org UUB-C496_136r.org AM08-0072_128v.org Thott04-0553_021r-2.org Holm-A-0042_055v.org Holm-A-0042_052v.org Holm-A-0042_053r.org Thott04-0553_022r.org AM04-0789_001r.org Thott04-0553_021r.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org Thott04-0553_125v.org Thott04-0553_021v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0421_030r.org AM08-0072_126r.org Lund-0035_023v.org AM08-0072_127r.org
0,j,other,Holm-A-0029_145v.org
0,j,gml,GKS08-3487_009v.org
0,jak,other,Holm-A-0029_145v.org
0,jar,gml,UUB-C496_091v.org AM08-0070_003r.org AM08-0070_001r.org NKS08-0045_166r.org
0,jaren,gml,GKS08-3487_001r.org
0,jasper,gml,GKS08-3487_104v.org
0,jch,gml,Koln-W52_167r.org
0,jck,gml,Gott-Theol242f_103r.org GKS08-3487_104v.org
0,jckj,da,Lund-0035_064v.org
0,jd,gml,GKS08-3487_001r.org
0,jdem,gml,GKS08-3487_009v.org
0,jec,da,Holm-A-0042_095v.org
0,jech,da,AM04-0789_001r.org AM04-0789_002v.org Holm-A-0042_095v.org
0,jeg,da,AM08-0072_128v.org AM12-0421_072r.org AM12-0421_022r.org NKS08-0045_120v.org AM12-0421_030r.org
0,jegen,gml,AM08-0070_003r.org UUB-C496_001r.org
0,jegh,da,AM12-0421_022r.org AM04-0782_001r.org Thott04-0553_021r.org
0,jeghen,gml,GKS08-3487_001r.org
0,jeghenwordyghen,gml,GKS08-3487_001r.org
0,jek,da,AM08-0072_128r.org AM08-0072_128v.org Thott04-0553_021r-2.org Thott04-0553_022r.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org AM08-0079Ieta_001r.org NKS08-0045_120v.org Thott04-0553_021v.org AM08-0072_127r.org
0,jemande,gml,GKS08-3487_001r.org
0,jen,da,AM08-0072_129v.org AM08-0072_128r.org AM08-0072_128v.org
0,jene,da,AM08-0070_247r.org
0,jenen,gml,AM08-0070_003r.org
0,jenich,gml,AM08-0070_003r.org GKS08-3487_001r.org
0,jenyghen,gml,GKS08-3487_001r.org
0,jerusalem,gml,AM08-0073_071r.org
0,jesu,da,AM04-0789_001r.org
0,jet,da,UUB-C496_136r.org Lund-0035_064v.org
0,jeth,da,Lund-0035_064v.org AM08-0072_127r.org
0,jewelik,gml,UBB-C496_019v.org
0,jewelikes,gml,AM08-0070_001r.org
0,jft,gml,GKS08-3487_001r.org
0,jfte,gml,GKS08-3487_001r.org
0,jgien,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,jgiømen,da,Holm-A-0042_095v.org
0,jherusalem,da,AM08-0079Ieta_001r.org
0,jherusalem,gml,AM08-0073_082v.org
0,jhesu,da,UUB-C496_136r.org Holm-A-0042_054r.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_021v.org GKS04-1614_001r.org
0,jhesu,gml,UUB-C496_002r.org GKS08-3487_001r.org GKS08-3487_104v.org
0,jhesum,gml,AM12-0417_001r.org GKS08-3487_104v.org
0,jhesum,da,AM12-0421_022r.org
0,jhesus,da,UUB-C496_136r.org
0,jhesus,gml,GKS08-3487_009v.org GKS08-3423_001r.org NKS08-0045_176r.org GKS08-3487_104v.org
0,jk,gml,UUB-C496_091v.org GKS08-3423_211r.org AM08-0073_109r.org AM08-0070_003r.org UUB-C496_002r.org Speghel_R1r.org AM08-0073_136v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org UBB-C496_019v.org
0,jmellom,da,Holm-A-0042_095v.org
0,jn,gml,GKS08-3423_211r.org AM08-0073_077r.org AM12-0417_050r.org AM08-0070_003r.org UUB-C496_002r.org GKS08-3487_009v.org AM08-0070_001r.org Beinecke-0218_127r.org UUB-C496_095r.org UUB-C496_001r.org AM08-0073_136v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM12-0417_063r.org
0,jndeme,gml,UUB-C496_091v.org
0,jndh,da,Lund-0035_064v.org
0,jndt,da,AM08-0073_098r.org
0,jngen,da,Holm-A-0042_054v.org
0,jngeweide,gml,AM12-0417_073v.org
