,word,language,documents
0,kald,da,GKS04-1615_019r.org
0,kalixtus,gml,AM08-0073_013r.org
0,kalk,da,AM04-0789_001r.org
0,kallest,da,Lund-0035_064v.org
0,kallet,da,Thott04-0553_125v.org Holm-A-0042_095v.org
0,kallis,da,AM08-0072_128r.org AM08-0072_128v.org
0,kallær,da,Holm-A-0042_095v.org
0,kaluere,gml,AM08-0073_013r.org
0,kam,gml,GKS08-3487_104v.org
0,kam,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,kame,gml,AM12-0417_001r.org GKS08-3423_071v.org AM12-0417_073v.org
0,kamen,gml,AM12-0417_001r.org GKS08-3423_211r.org AM12-0417_050r.org AM12-0417_063r.org
0,kamende,gml,GKS08-3487_001r.org
0,kamenn,gml,GKS08-3423_111r2.org
0,kameren,gml,AM08-0073_044r.org
0,kamme,da,Lund-0035_064v.org
0,kan,da,AM04-0782_216v.org Thott04-0553_021r.org Thott04-0553_125v.org Lund-0035_064v.org
0,kan,gml,GKS08-3423_211r.org AM12-0417_050r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM08-0073_054v.org GKS08-3423_111r2.org AM04-0782_091r.org
0,kand,da,AM04-0782_216v.org
0,kandh,da,AM04-0784_300r.org
0,kanst,gml,UUB-C496_091v.org
0,kanut,gml,AM08-0073_013r.org
0,kardynal,gml,GKS08-3487_009v.org
0,kareste,gml,AM08-0073_055r.org
0,kariner,da,Holm-A-0042_053r.org
0,karinær,da,Lund-0035_038v.org
0,karke,gml,GKS08-3423_111r2.org
0,karlen,gml,GKS08-3487_104v.org
0,karllo,gml,GKS08-3487_104v.org
0,katherina,gml,AM08-0073_013r.org
0,ke,gml,AM08-0073_071r.org AM08-0073_055r.org AM08-0073_074v.org
0,keden,gml,GKS08-3487_001r.org
0,kedome,gml,AM08-0073_077r.org
0,keghen,gml,AM08-0073_165v.org
0,kelen,gml,AM08-0073_054v.org
0,ken,gml,AM08-0073_077r.org AM08-0073_082v.org
0,kenne,da,Thott04-0553_125v.org
0,kennes,da,Thott04-0553_022r.org
0,kennest,gml,Speghel_R1r.org AM04-0782_091r.org
0,kerche,gml,GKS08-3487_001r.org
0,kere,gml,GKS08-3423_211r.org AM08-0073_077r.org AM08-0073_109r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org
0,kere,da,AM04-0789_001r.org AM04-0789_002v.org
0,keren,gml,AM12-0417_050r.org Speghel_R1r.org AM04-0782_091r.org
0,keret,gml,AM12-0417_073v.org AM08-0073_080r.org
0,kerke,gml,AM08-0070_001r.org AM08-0073_013r.org GKS08-3423_111r2.org
0,kerken,gml,UUB-C496_002r.org UUB-C496_003r.org GKS08-3487_009v.org AM08-0073_013r.org AM08-0073_136v.org GKS08-3487_001r.org UBB-C496_019v.org
0,kerlighedh,da,Thott04-0553_021r-2.org
0,kerligheet,da,AM08-0075_022v-4.org
0,kerlighet,da,AM04-0789_001r.org AM04-0782_001r.org AM04-0784_080r.org
0,kerlyghet,da,AM04-0782_001r.org AM04-0784_080r.org
0,keryste,da,AM04-0784_080r.org
0,kes,gml,AM08-0073_082v.org
0,keterye,gml,GKS08-3487_001r.org
0,keysær,da,Holm-A-0042_051v.org
0,khælith,da,AM08-0072_128v.org
0,kielde,da,AM04-0789_001r.org
0,kiende,da,Holm-A-0042_052v.org
0,kiene,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,kienne,da,AM04-0789_001r.org
0,kienner,da,AM04-0789_001r.org
0,kienæ,da,Lund-0035_064v.org
0,kierlighe,da,AM08-0075_009r.org
0,kierligheed,da,AM08-0075_009r.org
0,kierligæ,da,GKS04-1613_161r.org
0,kinde,gml,AM12-0417_050r.org Hamburg-CodConv-6_002r.org
0,kindere,gml,AM08-0070_064r.org AM08-0073_077r.org AM08-0073_082v.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org
0,kinderen,gml,AM08-0073_054v.org
0,kindes,gml,AM12-0417_001r.org AM12-0417_050r.org AM08-0073_228r.org AM08-0073_055r.org AM08-0073_054v.org
0,kint,gml,AM12-0417_001r.org AM08-0073_082v.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_087r.org AM08-0073_054v.org
0,kintheit,gml,AM08-0073_082v.org Beschauwing_009.org
0,kirieleyson,gml,NKS08-0045_194r.org
0,kirki,da,GKS04-1613_161r.org
0,kirtze,gml,Koln-W52_167r.org
0,kischeit,gml,AM08-0073_099r.org
0,kiær,da,Lund-0035_064v.org
0,kiære,da,AM04-0789_002v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,kiæriste,da,Lund-0035_064v.org AM12-0420_026r.org
0,kiæristæ,da,Holm-A-0042_095v.org
0,kiærligheet,da,Holm-A-0042_095v.org
0,kiærlighet,da,Lund-0035_064v.org
0,kiæræ,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,kiød,da,Thott04-0553_021r.org
0,kiøn,da,Lund-0035_023v.org
0,kiøste,da,AM12-0420_026r.org
0,klare,da,AM04-0782_216v.org Holm-A-0042_053r.org AM08-0072_126r.org
0,klarheyt,gml,GKS08-3423_211r.org GKS08-3423_111r2.org GKS08-3487_104v.org
0,klede,gml,GKS08-3423_111r2.org UBB-C496_019v.org
