,word,language,documents
0,l,gml,AM08-0073_044r.org
0,laa,da,AM04-0782_001r.org AM04-0784_080r.org
0,labia,gml,AM08-0073_044r.org
0,lach,gml,Beschauwing_009.org Hamburg-CodConv-6_002r.org GKS08-3423_202v.org
0,lad,da,AM08-0073_098r.org Holm-A-0042_053r.org AM08-0070_247r_m.org AM12-0421_030r.org
0,lade,da,AM04-0789_001r.org AM04-0789_002v.org
0,lade,gml,AM12-0417_073v.org
0,laden,gml,AM08-0073_088v.org
0,lader,da,AM08-0079Ieta_001r.org
0,ladest,gml,Beschauwing_009.org
0,ladet,da,NKS08-0045_120v.org
0,ladh,da,GKS04-1615_019r.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM04-0789_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org Lund-0035_023v.org
0,lafsstelik,da,AM08-0072_127r.org
0,lagde,da,AM04-0789_002v.org Thott04-0553_125v.org
0,lam,gml,AM08-0073_080r.org
0,lambrecht,gml,AM08-0073_013r.org
0,lancth,da,GKS04-1615_009r.org
0,land,gml,AM08-0073_013r.org
0,lande,gml,NKS08-0045_174r.org AM08-0070_001r.org
0,landh,da,Holm-A-0042_053r.org Lund-0035_038v.org
0,lange,da,UUB-C496_136r.org
0,lange,gml,AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_013r.org
0,langen,gml,AM12-0417_063r.org
0,langer,gml,GKS08-3423_111r2.org
0,langh,da,UUB-C496_136r.org
0,langhe,gml,GKS08-3423_211r.org GKS08-3487_001r.org
0,langhen,gml,AM08-0073_099r.org
0,lant,gml,AM12-0417_073v.org
0,lanth,da,NKS08-0045_120v.org
0,laren,gml,UBB-C496_019v.org
0,las,gml,UUB-C496_091v.org
0,las,da,AM08-0073_098r.org
0,lastefwlle,da,AM04-0789_001r.org
0,lastere,gml,AM12-0417_001r.org
0,lat,gml,GKS08-3423_211r.org AM08-0073_237v.org AM12-0417_050r.org Hamburg-CodConv-6_002r.org GKS08-3423_001r.org
0,laten,gml,GKS08-3423_211r.org AM08-0073_109r.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org AM08-0073_074v.org
0,latest,gml,AM08-0073_109r.org AM08-0073_228r.org UBB-C496_019v.org
0,lath,gml,Beinecke-0218_127r.org
0,lathen,gml,GKS08-3487_001r.org
0,latinghe,gml,AM08-0073_109r.org
0,laudamus,gml,AM08-0073_044r.org
0,laude,da,Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,laudem,gml,AM08-0073_044r.org
0,laudis,gml,AM08-0073_054v.org
0,laue,gml,AM12-0417_050r.org UUB-C496_001v.org GKS08-3423_111r2.org
0,laueden,gml,AM12-0417_073v.org
0,laueder,gml,GKS08-3487_001r.org
0,lauedest,gml,GKS08-3423_211r.org
0,lauelich,gml,AM08-0073_044r.org
0,lauen,gml,GKS08-3423_211r.org Beschauwing_009.org GKS08-3423_001r.org
0,lauesank,gml,GKS08-3423_111r2.org
0,lauet,gml,GKS08-3423_111r2.org
0,laurencius,gml,AM08-0073_013r.org
0,le,gml,AM08-0073_099r.org AM08-0073_071r.org
0,leccie,gml,AM08-0070_003r.org
0,leccio,gml,AM08-0073_044r.org
0,lecht,gml,AM12-0417_063r.org
0,lectio,gml,AM08-0073_044r.org
0,led,da,Holm-A-0042_053r.org
0,lede,da,UUB-C496_136r.org AM04-0789_001r.org
0,lede,gml,GKS08-3423_211r.org AM12-0417_073v.org
0,ledematen,gml,GKS08-3423_211r.org
0,leden,gml,AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_109r.org UBB-C496_019v.org
0,ledest,gml,GKS08-3423_211r.org
0,ledh,da,UUB-C496_136r.org AM04-0789_001r.org
0,ledær,da,Holm-A-0042_051v.org
0,leedest,gml,AM08-0073_228r.org
0,leedh,da,Lund-0035_038v.org
0,leef,gml,AM12-0417_063r.org
0,leeff,gml,AM08-0073_071r.org
0,lees,da,AM08-0072_126r.org
0,leet,gml,AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org
0,lef,gml,GKS08-3423_211r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0073_071r.org
0,leff,gml,AM08-0070_003r.org GKS08-3423_202v.org AM08-0073_013r.org GKS08-3487_104v.org
0,leffde,da,AM04-0782_216v.org
0,leffnede,da,AM04-0789_001r.org
0,leffnet,da,AM04-0789_001r.org Holm-A-0042_095v.org
0,leffuendis,da,Thott04-0553_021r-2.org Thott04-0553_015v.org
0,leffuer,da,Holm-A-0042_055v.org
0,leffuæ,da,GKS04-1613_161r.org
0,leffuændis,da,NKS08-0045_120v.org
0,leffwenyss,da,AM12-0421_022r.org
0,leffwet,da,AM04-0782_216v.org
0,leffwinde,da,Holm-A-0042_055v.org
0,leffwindis,da,Holm-A-0042_054r.org Holm-A-0042_052v.org AM04-0784_092r.org
0,leffwindæ,da,Holm-A-0042_055v.org
0,lefhadde,gml,AM12-0417_050r.org
0,lefhebber,gml,GKS08-3423_001r.org
0,lefhebberen,gml,GKS08-3423_211r.org
0,leflike,gml,AM08-0070_003r.org
0,leflyk,gml,GKS08-3423_001r.org
0,leflyke,gml,GKS08-3423_211r.org GKS08-3423_111r2.org
0,leflyken,gml,GKS08-3423_211r.org
0,lefsdhe,da,AM08-0072_127r.org
0,lefwendes,gml,AM04-0782_091r.org
0,legem,gml,GKS08-3487_009v.org
0,legemes,da,AM08-0079Ieta_001r.org
0,legemæ,da,Thott04-0553_125v.org
0,legerstede,gml,AM12-0417_073v.org
0,legge,gml,GKS08-3487_104v.org
0,leggedest,gml,Gott-Theol242f_103r.org
0,leggen,gml,AM12-0417_073v.org AM08-0073_013r.org
0,leggerstede,gml,AM08-0073_013r.org
0,legghe,da,AM12-0421_030r.org
0,leghedest,gml,Hamburg-CodConv-6_002r.org
0,legheringhe,gml,AM08-0070_003r.org
0,legom,da,Holm-A-0042_054v.org Holm-A-0042_055v.org Holm-A-0042_053r.org Lund-0035_064v.org
0,legome,da,AM04-0789_001r.org
0,legomligæ,da,NKS08-0045_120v.org
0,legomme,da,AM08-0070_002v.org AM04-0789_001r.org AM08-0075_022v-4.org AM04-0789_002v.org AM08-0075_009r.org
0,legommens,da,AM12-0421_022r.org
0,legommæ,da,AM08-0070_002v.org NKS08-0045_120v.org
0,legoms,da,AM04-0789_001r.org Lund-0035_064v.org AM12-0420_026r.org
0,legomæ,da,NKS08-0045_120v.org
0,legwmma,da,AM08-0072_127r.org
0,leide,gml,AM12-0417_073v.org
0,leider,gml,AM12-0417_001r.org
0,leidest,gml,Beinecke-0218_127r.org
0,leisten,gml,AM12-0417_001r.org
0,leit,gml,UUB-C496_091v.org
0,lelen,gml,AM08-0073_228r.org
0,len,gml,AM08-0073_054v.org
0,lena,da,Lund-0035_064v.org
0,lende,gml,AM08-0073_013r.org
0,lene,gml,AM08-0073_082v.org
0,lenge,gml,GKS08-3423_211r.org AM08-0073_054v.org
0,lengi,da,Holm-A-0042_055r.org
0,leo,gml,AM08-0073_013r.org GKS08-3487_104v.org
0,leoleo,da,Holm-A-0042_051v.org
0,leonardus,gml,AM08-0073_013r.org
0,lerde,da,AM04-0782_216v.org
0,lerde,gml,Hamburg-CodConv-6_002r.org AM04-0789_005r.org
0,lere,gml,AM12-0417_073v.org AM08-0073_013r.org
0,leredest,gml,GKS08-3423_211r.org
0,leren,gml,AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org
0,lerer,gml,GKS08-3423_202v.org
0,lerich,gml,AM08-0073_109r.org
0,les,da,Holm-A-0042_054v.org Holm-A-0042_052v.org Holm-A-0042_051v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,les,gml,Beschauwing_009.org Hamburg-CodConv-6_002r.org
0,leseet,gml,Gott-Theol242f_103r.org
0,lesen,gml,GKS08-3423_211r.org GKS08-3423_020r.org UUB-C496_003r.org Speghel_R1r.org UUB-C496_095r.org GKS08-3423_111r2.org UBB-C496_019v.org AM12-0417_063r.org
0,lesende,gml,GKS08-3423_020r.org AM08-0070_001r.org AM08-0073_228r.org
0,leset,gml,Koln-W52_167r.org NKS08-0045_174r.org
0,less,da,UUB-C496_136r.org Thott04-0553_125v.org
0,lesse,da,AM04-0784_080r.org
0,lesser,da,AM08-0072_127r.org
0,lessthende,gml,NKS08-0045_194r.org
0,lessæ,da,AM12-0420_026r.org
0,leste,gml,GKS08-3487_001r.org
0,lesten,gml,GKS08-3423_211r.org NKS08-0045_166r.org
0,lestu,gml,AM08-0073_088v.org
0,lesz,gml,Koln-W52_167r.org
0,leszet,gml,Koln-W52_167r.org
0,let,gml,AM08-0073_082v.org GKS08-3423_071v.org AM08-0073_067r.org GKS08-3423_109v.org AM08-0073_087r.org AM08-0073_074v.org
0,letanie,gml,AM12-0417_050r.org
0,letare,da,AM08-0070_247r.org
0,lethe,da,AM08-0072_126r.org
