,word,language,documents
0,m,da,AM04-0782_216v.org AM04-0789_001r.org
0,m,gml,GKS08-3423_211r.org
0,ma,da,Holm-A-0042_052v.org AM08-0075_022v-4.org Holm-A-0042_051v.org Lund-0035_064v.org
0,ma,gml,AM08-0073_067r.org AM08-0073_055r.org
0,maa,da,AM08-0073_098r.org Thott04-0553_021r-2.org AM04-0782_216v.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org
0,maade,da,AM04-0782_216v.org AM04-0784_300r.org
0,mach,gml,GKS08-3423_211r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3423_109v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org GKS08-3423_202v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_080r.org GKS08-3423_111r2.org GKS08-3487_104v.org NKS08-0045_166r.org
0,machen,gml,AM04-0782_091r.org
0,machstu,gml,Speghel_R1r.org
0,macht,gml,NKS08-0045_187r.org AM08-0073_109r.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org AM08-0073_013r.org
0,macht,da,Thott04-0553_015v.org Thott04-0553_021r.org AM08-0079Ieta_001r.org
0,macke,gml,GKS08-3487_104v.org
0,macth,da,AM12-0421_030r.org
0,magda,da,Lund-0035_064v.org
0,magdalena,gml,AM08-0073_013r.org
0,magdalena,da,Thott04-0553_125v.org AM08-0075_063r.org Holm-A-0042_095v.org AM12-0420_026r.org
0,magdalenen,gml,Hamburg-CodConv-6_002r.org Speghel_R1r.org Beinecke-0218_127r.org AM04-0782_091r.org
0,magdalenes,da,Thott04-0553_015v.org
0,maget,gml,UUB-C496_091v.org Beschauwing_009.org AM12-0417_050r.org
0,magetdom,gml,AM04-0789_005r.org
0,magh,gml,Beinecke-0218_127r.org
0,maghet,gml,Hamburg-CodConv-6_002r.org AM08-0073_074v.org GKS08-3487_001r.org
0,maghetdome,gml,Hamburg-CodConv-6_002r.org
0,maghin,other,Holm-A-0029_145v.org
0,magna,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,magnificat,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,magnificat,gml,AM08-0073_237v.org GKS08-3423_071v.org GKS08-3423_109v.org
0,magnificat,da,GKS04-1613_161r.org AM08-0075_063r.org
0,magnus,gml,AM08-0073_013r.org
0,maiestas,gml,GKS08-3487_104v.org
0,mak,gml,AM08-0073_055r.org
0,make,gml,UUB-C496_091v.org AM08-0070_064r.org AM12-0417_001r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM08-0070_003r.org AM08-0073_093r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org AM12-0417_073v.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_055r.org AM08-0073_054v.org AM08-0073_074v.org
0,makede,gml,AM08-0073_088v.org AM08-0073_044r.org AM08-0073_054v.org AM08-0073_074v.org
0,makeden,gml,AM08-0070_003r.org
0,makedest,gml,AM12-0417_001r.org AM08-0073_088v.org
0,maken,gml,Speghel_R1r.org AM08-0073_013r.org GKS08-3423_111r2.org
0,makende,gml,AM08-0073_071r.org
0,makest,gml,AM08-0070_064r.org Beschauwing_009.org
0,maket,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org GKS08-3423_109v.org AM08-0073_044r.org
0,makt,da,GKS04-1613_161r.org Holm-A-0042_053r.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org
0,male,gml,Hamburg-CodConv-6_002r.org AM12-0417_063r.org
0,mall,da,Holm-A-0042_055v.org
0,man,gml,AM12-0417_001r.org AM08-0073_077r.org Koln-W52_167r.org AM08-0073_082v.org Beschauwing_009.org AM12-0417_073v.org AM08-0073_013r.org GKS08-3487_104v.org NKS08-0045_166r.org
0,man,da,GKS04-1615_019r.org AM08-0075_022v-4.org NKS08-0045_120v.org Holm-A-0042_095v.org AM08-0075_009r.org
0,manck,gml,AM12-0417_073v.org Beinecke-0218_127r.org GKS08-3487_104v.org AM12-0417_063r.org
0,mand,da,AM04-0782_001r.org AM04-0784_080r.org Kalmar-0033_139v.org
0,mandom,da,AM08-0070_253v.org AM04-0789_002v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org GKS04-1614_001r.org
0,mandoms,da,AM04-0782_001r.org
0,mandomss,da,AM04-0784_080r.org
0,mandz,da,NKS08-0045_120v.org
0,mane,gml,AM08-0073_071r.org AM08-0073_054v.org
0,manen,gml,Koln-W52_167r.org AM08-0073_044r.org
0,manet,gml,GKS08-3487_009v.org
0,mange,da,Holm-A-0042_054v.org Holm-A-0042_055v.org AM04-0789_002v.org
0,mangefald,da,AM04-0789_002v.org
0,mangefoldhet,da,Holm-A-0042_055r.org
0,manghe,da,Holm-A-0042_095v.org
0,mangk,gml,AM08-0073_099r.org Beinecke-0218_127r.org
0,mank,gml,AM08-0073_094r.org GKS08-3423_211r.org AM08-0073_109r.org AM08-0073_082v.org GKS08-3423_001r.org AM08-0073_013r.org AM08-0073_055r.org
0,manliken,gml,NKS08-0045_194r.org
0,mannes,gml,AM08-0073_055r.org
0,manngenn,da,AM08-0073_011v.org
0,mannich,gml,AM08-0073_054v.org
0,mannichuoldicheit,gml,AM08-0073_013r.org
0,mannichuoldigen,gml,AM08-0073_054v.org
0,mans,da,AM08-0072_128r.org AM08-0072_128v.org
0,mante,gml,GKS08-3423_111r2.org
0,manynghe,gml,GKS08-3423_211r.org
0,marcellus,gml,AM08-0073_013r.org
0,march,gml,GKS08-3423_211r.org
0,marcus,gml,AM08-0073_013r.org
0,margareta,gml,AM12-0417_050r.org
0,margaretha,gml,AM08-0073_013r.org
0,mari,gml,AM08-0073_071r.org AM08-0073_067r.org AM08-0073_080r.org
0,maria,da,AM08-0072_129v.org AM08-0072_128r.org AM08-0070_253v.org GKS04-1613_161r.org AM08-0072_128v.org Thott04-0553_021r-2.org AM12-0421_072r.org Holm-A-0042_055v.org AM12-0421_022r.org Holm-A-0042_052v.org AM04-0789_001r.org AM04-0784_092r.org AM04-0782_001r.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_020v.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0421_030r.org AM12-0420_026r.org AM08-0072_126r.org AM04-0784_080r.org Lund-0035_023v.org AM08-0072_127r.org GKS04-1614_001r.org
