,word,language,documents
0,n,gml,GKS08-3423_211r.org
0,na,other,AM08-0070_254r.org
0,na,gml,AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_165v.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM12-0417_050r.org GKS08-3423_020r.org AM08-0073_093r.org UUB-C496_003r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org GKS08-3487_001r.org AM04-0782_091r.org UBB-C496_019v.org AM04-0789_005r.org AM12-0417_063r.org
0,na,da,AM08-0070_247r.org
0,naade,da,AM04-0784_092r.org
0,naadhe,da,AM04-0782_001r.org AM04-0784_080r.org
0,naar,da,AM04-0789_001r.org AM12-0421_030r.org
0,naath,da,AM08-0072_128r.org AM08-0072_128v.org
0,nach,gml,Koln-W52_167r.org AM08-0073_109r.org AM08-0073_071r.org GKS08-3423_020r.org AM08-0073_228r.org AM08-0073_080r.org
0,nacht,gml,AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_109r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3423_111r2.org UBB-C496_019v.org
0,nachtes,gml,Hamburg-CodConv-6_002r.org AM08-0073_088v.org
0,nachtrauen,gml,AM12-0417_073v.org
0,naculum,gml,AM08-0073_088v.org
0,nade,da,UUB-C496_136r.org Holm-A-0042_055v.org Thott04-0553_022r.org AM04-0789_001r.org AM04-0784_092r.org Thott04-0553_125v.org Holm-A-0042_095v.org AM12-0420_026r.org AM04-0784_080r.org
0,nadhe,da,AM08-0075_022v-4.org AM12-0421_030r.org AM04-0784_080r.org
0,nadhæ,da,GKS04-1613_161r.org Lund-0035_064v.org
0,nadæ,da,GKS04-1613_161r.org NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org
0,nadæligh,da,GKS04-1613_161r.org
0,naffn,da,AM08-0073_098r.org GKS04-1615_019r.org GKS04-1613_161r.org Thott04-0553_021r.org Holm-A-0042_051v.org NKS08-0045_120v.org Lund-0035_023v.org
0,nafn,da,AM08-0075_063r.org
0,nageschreuen,gml,AM04-0789_005r.org
0,nagescreuen,gml,UUB-C496_095r.org
0,nagle,da,Holm-A-0042_053r.org AM04-0789_001r.org
0,naglæ,da,Lund-0035_038v.org
0,nakeden,gml,GKS08-3423_211r.org GKS08-3487_001r.org
0,naket,gml,UBB-C496_019v.org
0,naleden,gml,AM12-0417_073v.org
0,nalen,gml,AM08-0070_003r.org AM12-0417_073v.org AM08-0073_013r.org
0,nalet,gml,AM08-0073_054v.org
0,naleten,gml,AM08-0070_064r.org
