,word,language,documents
0,,da,Holm-A-0042_055r.org Holm-A-0042_054v.org AM04-0784_026v_m.org AM08-0072_129v.org AM08-0072_128r.org UUB-C496_136r.org AM08-0073_098r.org AM08-0070_253v.org GKS04-1615_019r.org GKS04-1613_161r.org AM08-0072_128v.org Thott04-0553_021r-2.org AM12-0421_072r.org Holm-A-0042_054r.org Holm-A-0042_055v.org AM04-0782_216v.org AM08-0070_002v.org AM12-0421_022r.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM08-0073_011v.org Thott04-0553_022r.org AM04-0789_001r.org AM04-0784_092r.org AM04-0782_001r.org GKS04-1615_009r.org Thott04-0553_015v.org AM04-0784_300r.org Thott04-0553_021r.org Thott04-0553_020v.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM08-0070_247r_m.org AM12-0421_030r.org AM12-0420_026r.org AM08-0072_126r.org AM08-0075_009r.org AM08-0070_247r.org AM04-0784_080r.org AM08-0076_113r.org Lund-0035_023v.org AM08-0072_127r.org Kalmar-0033_139v.org GKS04-1614_001r.org
1,,gml,UUB-C496_091v.org AM08-0073_094r.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org GKS08-3423_103v.org GKS08-3423_103r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_165v.org AM08-0073_237v.org Koln-W52_167r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org GKS08-3423_020r.org UUB-C496_002r.org GKS08-3423_109v.org AM08-0073_093r.org UUB-C496_003r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org AM08-0073_230r.org Speghel_R1r.org AM08-0070_001r.org GKS08-3423_202v.org NKS08-0045_194r.org AM12-0417_073v.org UUB-C496_001v.org Beinecke-0218_127r.org AM08-0073_228r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org UUB-C496_001r.org AM08-0073_087r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org AM12-0417_063r.org
2,,other,Holm-A-0042_032r.org AM08-0070_254r.org Kalmar-0033_037v.org Holm-A-0029_145v.org
3,a,da,Holm-A-0042_053r.org GKS04-1615_009r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org
4,a,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
5,a,gml,GKS08-3423_211r.org AM08-0073_067r.org AM08-0073_080r.org GKS08-3423_111r2.org GKS08-3487_104v.org
6,aa,da,AM04-0789_001r.org AM04-0789_002v.org Lund-0035_038v.org
7,aal,da,NKS08-0045_120v.org AM08-0072_127r.org
8,aall,da,Lund-0035_064v.org
9,aalweldighe,gml,Beschauwing_009.org
10,aar,da,AM04-0782_216v.org AM08-0073_011v.org AM04-0789_001r.org AM04-0782_001r.org GKS04-1615_009r.org Lund-0035_038v.org AM04-0784_080r.org GKS04-1614_001r.org
11,aasyn,da,NKS08-0045_120v.org
12,ab,da,UUB-C496_136r.org
13,abbate,gml,AM08-0073_013r.org
14,abra,gml,AM08-0073_082v.org
15,abraham,da,GKS04-1615_019r.org GKS04-1613_161r.org AM08-0075_063r.org Lund-0035_023v.org
16,abraham,gml,GKS08-3423_071v.org AM12-0417_050r.org GKS08-3423_109v.org
17,abraham,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
18,abrahame,gml,AM08-0073_237v.org AM08-0073_054v.org
19,abrahamme,gml,AM12-0417_001r.org AM08-0073_087r.org
20,absolucio,gml,AM08-0070_003r.org
21,ach,gml,Speghel_R1r.org
22,achte,gml,GKS08-3423_211r.org GKS08-3487_001r.org UBB-C496_019v.org
23,achter,gml,AM12-0417_073v.org AM08-0073_013r.org GKS08-3487_001r.org
24,achtersprake,gml,GKS08-3487_001r.org
25,act,da,GKS04-1615_019r.org
26,acther,gml,GKS08-3487_104v.org
27,ad,gml,AM08-0073_082v.org AM08-0073_088v.org AM08-0073_013r.org
28,ad,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
29,ad,da,UUB-C496_136r.org
30,adam,gml,GKS08-3487_104v.org
31,addatur,gml,GKS08-3487_009v.org
32,ader,gml,Koln-W52_167r.org
33,aderen,gml,AM08-0073_080r.org
34,adintorium,gml,AM08-0073_071r.org
35,adiutorium,gml,AM08-0073_074v.org
36,adonay,gml,GKS08-3487_104v.org
37,aduente,gml,Beschauwing_009.org
38,adwent,da,AM04-0782_001r.org AM04-0784_080r.org
39,adwenth,da,AM04-0782_001r.org
40,af,gml,AM12-0417_001r.org AM08-0073_109r.org GKS08-3423_071v.org AM08-0073_013r.org
41,af,da,AM12-0420_026r.org
42,afbreket,gml,AM08-0073_013r.org
43,aff,da,Holm-A-0042_055r.org AM04-0784_026v_m.org AM08-0072_129v.org AM08-0072_128r.org AM08-0070_253v.org GKS04-1615_019r.org GKS04-1613_161r.org AM08-0072_128v.org Thott04-0553_021r-2.org Holm-A-0042_055v.org AM04-0782_216v.org AM08-0070_002v.org AM12-0421_022r.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM04-0789_001r.org AM04-0782_001r.org AM04-0784_300r.org Thott04-0553_021r.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org NKS08-0045_120v.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM08-0070_247r_m.org AM12-0421_030r.org AM12-0420_026r.org AM08-0072_126r.org AM08-0075_009r.org AM04-0784_080r.org AM08-0076_113r.org Lund-0035_023v.org AM08-0072_127r.org Kalmar-0033_139v.org GKS04-1614_001r.org
44,aff,other,Holm-A-0029_145v.org
45,aff,gml,UUB-C496_091v.org AM08-0073_099r.org AM08-0070_003r.org AM08-0073_088v.org GKS08-3487_001r.org AM04-0782_091r.org
46,affgrwndh,da,GKS04-1613_161r.org
47,afflat,gml,NKS08-0045_174r.org AM08-0073_054v.org
48,afflat,da,Holm-A-0042_054v.org Holm-A-0042_055v.org AM04-0789_001r.org Holm-A-0042_051v.org GKS04-1614_001r.org
49,afflate,gml,AM08-0073_054v.org
50,afflates,gml,UUB-C496_003r.org UUB-C496_001v.org
51,affløsn,da,AM08-0075_022v-4.org AM08-0075_009r.org
52,affrica,gml,AM08-0073_088v.org
53,affscedent,gml,AM04-0782_091r.org
54,afftensagn,other,AM08-0070_254r.org
55,affthen,da,AM04-0782_216v.org
56,afgesneden,gml,AM12-0417_063r.org
57,afghesneden,gml,Speghel_R1r.org
58,afgongh,da,AM08-0072_126r.org
59,afgrunde,gml,AM08-0073_054v.org
60,afgunsticheyth,gml,GKS08-3487_001r.org
61,afhendych,gml,GKS08-3487_001r.org
62,aflat,gml,AM08-0073_228r.org
63,aflate,gml,AM08-0073_109r.org
64,aflates,gml,GKS08-3423_020r.org
65,aflath,da,AM08-0072_127r.org
66,aflatis,gml,AM08-0073_228r.org
67,afschedent,gml,Speghel_R1r.org
68,agatha,gml,AM08-0073_013r.org
69,agentess,da,UUB-C496_136r.org
70,agnete,gml,AM08-0073_013r.org
71,agustino,da,AM04-0784_300r.org
72,al,gml,UUB-C496_091v.org GKS08-3423_211r.org GKS08-3423_103r.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_082v.org GKS08-3423_020r.org AM08-0073_088v.org AM08-0070_001r.org GKS08-3423_202v.org AM12-0417_073v.org UUB-C496_095r.org
73,al,da,AM08-0072_128r.org AM08-0072_128v.org NKS08-0045_120v.org AM04-0784_080r.org AM08-0072_127r.org
74,albanus,gml,AM08-0073_013r.org
75,ald,da,AM04-0782_216v.org AM04-0782_001r.org AM04-0784_080r.org Kalmar-0033_139v.org
76,aldat,gml,AM12-0417_050r.org
77,alde,gml,AM08-0070_003r.org
78,alden,gml,AM12-0417_063r.org
79,aldende,gml,AM12-0417_050r.org
80,alder,gml,AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM12-0417_050r.org AM08-0070_003r.org UUB-C496_002r.org GKS08-3423_001r.org NKS08-0045_194r.org UUB-C496_001v.org AM08-0073_228r.org NKS08-0045_176r.org UUB-C496_001r.org AM08-0073_055r.org GKS08-3423_111r2.org AM12-0417_063r.org
81,alderbarmehertige,gml,AM08-0073_109r.org
82,alderbyttersten,gml,GKS08-3423_211r.org
83,alderhiligheste,gml,AM08-0073_109r.org
84,alderhilligisten,gml,AM08-0070_003r.org
85,alderhogest,gml,AM08-0070_003r.org
86,alderhogesten,gml,AM08-0070_003r.org
87,alderleuesten,gml,GKS08-3423_020r.org GKS08-3423_111r2.org
88,aldermildeste,gml,AM08-0073_109r.org
89,aldermyldeste,gml,GKS08-3423_001r.org
90,aldersachtmodigheste,gml,AM08-0073_109r.org
91,aldh,da,AM04-0782_001r.org
92,aldiels,da,Lund-0035_064v.org
93,aldmectiste,da,AM04-0782_216v.org
94,aldmectistæ,da,AM04-0782_001r.org
