,word,language,documents
0,pa,da,Holm-A-0042_055r.org Holm-A-0042_054v.org GKS04-1613_161r.org AM12-0421_022r.org Thott04-0553_015v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,paa,da,Holm-A-0042_055r.org AM12-0421_022r.org AM04-0789_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0421_030r.org AM04-0784_080r.org
0,paamyner,da,Holm-A-0042_095v.org
0,paamynner,da,Holm-A-0042_095v.org
0,paanie,da,AM04-0782_216v.org
0,paater,gml,AM08-0073_044r.org
0,paeschelam,gml,Speghel_R1r.org
0,paffuæ,da,Lund-0035_038v.org
0,pafor,da,Lund-0035_064v.org
0,page,gml,AM08-0073_044r.org
0,pallas,gml,AM08-0073_099r.org AM12-0417_050r.org AM12-0417_063r.org
0,palme,gml,AM08-0073_099r.org AM12-0417_063r.org
0,pamyner,da,Holm-A-0042_095v.org
0,pamynner,da,Holm-A-0042_095v.org
0,paradiis,gml,Beinecke-0218_127r.org
0,paradiis,da,Thott04-0553_125v.org
0,paradijs,da,AM08-0072_129v.org AM12-0420_026r.org
0,paradises,gml,AM12-0417_050r.org
0,paradiss,da,AM04-0782_216v.org
0,paradys,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org
0,paradyse,gml,GKS08-3423_211r.org AM08-0073_230r.org
0,paredis,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,paska,da,Lund-0035_064v.org
0,paske,gml,GKS08-3423_211r.org
0,passche,gml,Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org
0,pastere,other,AM08-0070_254r.org
0,pater,da,UUB-C496_136r.org GKS04-1613_161r.org Thott04-0553_021r-2.org Holm-A-0042_054r.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org Holm-A-0042_051v.org Thott04-0553_021v.org Lund-0035_038v.org
