,word,language,documents
0,quade,gml,AM08-0073_013r.org
0,quademe,gml,GKS08-3487_001r.org
0,quaden,gml,AM12-0417_001r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0073_013r.org UUB-C496_001r.org GKS08-3487_001r.org
0,quader,gml,AM12-0417_001r.org Speghel_R1r.org GKS08-3487_001r.org
0,quadraginta,gml,AM08-0070_003r.org
0,quale,gml,UBB-C496_019v.org
0,quam,gml,UUB-C496_091v.org Beschauwing_009.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org AM08-0070_001r.org NKS08-0045_194r.org Beinecke-0218_127r.org AM08-0073_013r.org AM04-0789_005r.org
0,quat,gml,Hamburg-CodConv-6_002r.org AM08-0073_074v.org AM04-0789_005r.org
0,quegh,da,Lund-0035_023v.org
0,quem,gml,AM08-0070_001r.org
0,queme,gml,AM08-0070_003r.org
0,quemen,gml,AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org
0,qui,da,AM08-0072_126r.org
0,qui,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,qui,gml,GKS08-3487_009v.org
0,quia,other,Holm-A-0042_032r.org
0,quick,gml,AM08-0073_054v.org
0,quickede,other,AM08-0070_254r.org
0,quicumque,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,quik,gml,AM08-0073_044r.org
0,quilkende,gml,AM04-0782_091r.org
0,quinner,da,AM12-0420_026r.org
0,quinnæ,da,AM12-0420_026r.org
0,quinnæs,da,AM08-0075_063r.org
0,quis,gml,GKS08-3487_009v.org
0,quis,da,UUB-C496_136r.org AM08-0073_011v.org
0,quoniam,other,AM08-0070_254r.org
0,quorum,gml,AM08-0073_013r.org
0,qvi,da,UUB-C496_136r.org
0,qvinnæ,da,AM04-0782_001r.org
0,qwade,gml,GKS08-3487_104v.org
0,qwader,gml,AM04-0782_091r.org
0,qwaet,gml,GKS08-3487_104v.org
0,qwide,da,Thott04-0553_020v.org
0,qwinde,da,AM04-0784_092r.org AM04-0784_080r.org
0,qwinne,da,AM04-0789_001r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_023v.org
0,qwinner,da,AM08-0079Ieta_001r.org Holm-A-0042_095v.org
0,qwinnæ,da,Thott04-0553_125v.org
0,qwinnær,da,Lund-0035_064v.org
0,qwyndhæ,da,AM04-0784_080r.org
0,qwynnes,da,GKS04-1615_019r.org
0,qwynnæ,da,Thott04-0553_125v.org
0,qwær,da,AM08-0079Ieta_001r.org
