,word,language,documents
0,r,da,AM08-0072_128r.org GKS04-1615_019r.org
0,r,other,Holm-A-0042_032r.org
0,r,gml,AM08-0073_099r.org AM08-0073_044r.org UBB-C496_019v.org
0,ra,gml,AM08-0073_067r.org
0,raad,da,NKS08-0045_120v.org
0,raadh,da,Thott04-0553_125v.org
0,rad,da,NKS08-0045_120v.org AM12-0420_026r.org
0,rade,gml,AM12-0417_001r.org Gott-Theol242f_103r.org Koln-W52_167r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org UUB-C496_095r.org GKS08-3487_001r.org
0,rades,gml,AM08-0073_109r.org GKS08-3487_001r.org
0,radh,da,NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org
0,radhe,gml,GKS08-3487_001r.org
0,raet,gml,AM12-0417_001r.org
0,rand,da,Holm-A-0042_053r.org Lund-0035_038v.org
0,randh,da,Holm-A-0042_053r.org Lund-0035_038v.org
0,ransager,da,Holm-A-0042_054r.org
0,raphael,gml,AM08-0073_013r.org
0,raphael,da,AM04-0784_026v_m.org
0,raphaelem,da,UUB-C496_136r.org
0,raphaelss,da,UUB-C496_136r.org
0,rast,gml,UUB-C496_003r.org
0,rauen,gml,AM08-0073_077r.org AM08-0073_013r.org
0,re,gml,AM08-0073_109r.org AM08-0073_082v.org AM08-0073_088v.org AM08-0073_054v.org
0,recht,gml,Beschauwing_009.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org
0,rechte,gml,UUB-C496_091v.org AM08-0070_003r.org GKS08-3423_202v.org AM08-0073_013r.org AM08-0073_080r.org GKS08-3487_001r.org GKS08-3487_104v.org
0,rechteme,gml,AM08-0070_003r.org AM08-0073_013r.org
0,rechten,gml,GKS08-3423_211r.org AM08-0073_109r.org AM08-0070_003r.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org AM08-0073_074v.org
0,rechter,gml,AM08-0073_013r.org GKS08-3487_001r.org
0,rechteren,gml,Beinecke-0218_127r.org AM08-0073_136v.org
0,rechtes,gml,AM08-0073_074v.org
0,rechticheit,gml,AM08-0073_082v.org AM08-0070_003r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org
0,rechtuerdich,gml,GKS08-3487_001r.org AM12-0417_063r.org
0,rechtuerdicheit,gml,AM08-0070_064r.org AM08-0070_003r.org AM12-0417_073v.org
0,rechtuerdicheyt,gml,AM12-0417_001r.org
0,rechtuerdigen,gml,AM12-0417_001r.org
0,rechtuerdycheyt,gml,Speghel_R1r.org
0,rechtwedich,gml,AM08-0073_099r.org
0,rechtwerdichheyt,gml,AM04-0782_091r.org
0,rechtwerdighen,gml,AM08-0073_230r.org
0,rechuerdicheit,gml,AM08-0070_064r.org
0,recita,gml,GKS08-3487_009v.org
0,reck,gml,AM12-0417_050r.org
0,reckede,gml,AM12-0417_073v.org AM08-0073_013r.org
0,reckeden,gml,GKS08-3423_211r.org
0,recken,gml,AM08-0073_074v.org
0,reckynghe,gml,GKS08-3487_001r.org
0,recordatus,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
0,recth,gml,GKS08-3487_104v.org
0,recthe,gml,GKS08-3487_104v.org
0,red,gml,UUB-C496_091v.org AM08-0073_094r.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_103v.org GKS08-3423_103r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_067r.org UUB-C496_002r.org AM08-0073_093r.org UUB-C496_003r.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org GKS08-3423_001r.org Speghel_R1r.org NKS08-0045_194r.org AM12-0417_073v.org UUB-C496_001v.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org NKS08-0045_166r.org AM12-0417_063r.org
0,red,da,Holm-A-0042_055r.org Holm-A-0042_054v.org Thott04-0553_021r-2.org Holm-A-0042_054r.org Holm-A-0042_055v.org AM04-0782_216v.org Holm-A-0042_052v.org Holm-A-0042_053r.org Thott04-0553_015v.org AM04-0784_300r.org Thott04-0553_021r.org Thott04-0553_020v.org Holm-A-0042_051v.org Thott04-0553_125v.org Thott04-0553_021v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org Kalmar-0033_139v.org
0,red,other,Holm-A-0029_145v.org
0,redaar,da,GKS04-1615_009r.org
0,redalle,gml,AM12-0417_073v.org AM08-0073_013r.org
0,redalso,gml,AM12-0417_001r.org AM08-0073_109r.org AM08-0073_082v.org GKS08-3423_109v.org
0,redalzo,gml,AM08-0073_044r.org
0,redanna,gml,AM12-0417_063r.org
0,redbehude,gml,AM08-0070_064r.org
0,redbenedie,gml,AM08-0073_109r.org
0,redbenediet,gml,AM08-0073_109r.org
0,redbeskerme,gml,AM08-0070_064r.org
0,redbidde,gml,AM08-0070_003r.org AM12-0417_063r.org
0,redcherubin,gml,AM08-0073_044r.org
0,redconcede,other,Kalmar-0033_037v.org
0,redcriste,gml,AM08-0073_109r.org
0,reddar,gml,AM12-0417_001r.org AM12-0417_050r.org AM12-0417_073v.org GKS08-3423_111r2.org
0,reddat,gml,AM08-0070_064r.org AM12-0417_001r.org AM08-0073_082v.org AM08-0073_067r.org AM12-0417_073v.org AM08-0073_013r.org GKS08-3423_111r2.org
0,redde,gml,AM08-0070_064r.org AM12-0417_001r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org NKS08-0045_174r.org AM12-0417_073v.org AM08-0073_044r.org AM12-0417_063r.org
0,reddelicheyt,gml,GKS08-3487_001r.org
0,reddenet,gml,AM08-0070_003r.org
0,redder,gml,GKS08-3423_111r2.org AM12-0417_063r.org
0,reddes,gml,AM08-0073_044r.org
0,reddesse,gml,AM08-0073_099r.org AM12-0417_073v.org
0,reddo,gml,NKS08-0045_174r.org AM12-0417_073v.org AM08-0073_044r.org
0,reddoe,gml,AM08-0073_013r.org
0,reddomine,gml,AM08-0073_044r.org
0,reddu,gml,AM08-0070_064r.org AM12-0417_001r.org AM08-0073_099r.org AM12-0417_050r.org NKS08-0045_174r.org AM12-0417_073v.org AM08-0073_044r.org AM12-0417_063r.org
0,reddwinge,gml,AM12-0417_073v.org
0,reddyn,gml,AM12-0417_073v.org AM08-0073_044r.org
0,reddyner,gml,AM12-0417_063r.org
0,rede,gml,AM08-0073_082v.org AM08-0070_001r.org AM12-0417_073v.org
0,redeere,gml,AM08-0073_109r.org
0,redemptoris,gml,AM08-0073_093r.org
0,redemtor,gml,GKS08-3423_111r2.org
0,reden,gml,AM12-0417_001r.org AM12-0417_073v.org AM08-0073_013r.org
0,redentfenghe,gml,AM12-0417_001r.org
0,redere,gml,AM08-0070_064r.org AM12-0417_001r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0070_003r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM12-0417_063r.org
0,rederæ,da,Lund-0035_023v.org
0,redesurientes,other,Kalmar-0033_037v.org
0,redet,gml,AM12-0417_001r.org
0,redet,other,Kalmar-0033_037v.org
0,redewyge,gml,AM08-0073_044r.org
0,redeya,gml,AM12-0417_050r.org
0,redfecit,other,Kalmar-0033_037v.org
0,redforthy,da,Lund-0035_023v.org
0,redfra,da,AM12-0421_030r.org
0,redgade,gml,GKS08-3423_111r2.org
0,redghebenediet,gml,AM08-0073_109r.org
0,redghegrotet,gml,GKS08-3423_103v.org
0,redgi,gml,AM12-0417_073v.org
0,redgif,gml,AM12-0417_001r.org AM12-0417_073v.org AM12-0417_063r.org
0,redgiff,da,AM08-0072_128v.org
0,redgijf,gml,AM12-0417_073v.org
0,redgnade,gml,AM08-0070_003r.org
0,redgod,gml,AM12-0417_001r.org AM12-0417_050r.org AM12-0417_073v.org AM12-0417_063r.org
0,redgodes,gml,AM08-0073_099r.org AM12-0417_063r.org
0,redgot,gml,AM08-0073_099r.org AM08-0073_109r.org AM08-0073_067r.org AM08-0073_044r.org
0,redgy,gml,AM08-0070_003r.org AM08-0073_013r.org
0,redhan,da,Lund-0035_023v.org
0,redhe,gml,AM08-0073_082v.org GKS08-3423_109v.org AM12-0417_073v.org
0,redhee,gml,AM12-0417_073v.org
0,redheel,da,Holm-A-0042_053r.org
0,redhellige,da,GKS04-1614_001r.org
0,redhemmel,gml,AM08-0073_044r.org
0,redhere,gml,AM08-0070_064r.org AM12-0417_001r.org NKS08-0045_187r.org AM08-0073_109r.org GKS08-3423_109v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM04-0782_091r.org
0,redherræ,da,Lund-0035_023v.org
0,redhilge,gml,AM12-0417_001r.org AM08-0073_013r.org
0,redhilghe,gml,AM12-0417_001r.org
0,redhir,gml,AM08-0070_003r.org
0,redhoss,da,AM12-0421_030r.org
0,redhwa,da,AM12-0421_030r.org
0,redieg,da,AM08-0072_128v.org
0,redihesu,other,Holm-A-0029_145v.org
0,rediin,gml,AM12-0417_073v.org
0,redik,gml,AM08-0070_064r.org AM08-0073_109r.org AM12-0417_050r.org AM08-0070_003r.org NKS08-0045_174r.org AM12-0417_073v.org AM08-0073_013r.org
0,redin,gml,AM12-0417_001r.org AM08-0073_099r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM12-0417_063r.org
0,redis,da,GKS04-1615_019r.org
0,redisrahel,gml,GKS08-3423_109v.org
0,redjft,gml,GKS08-3487_001r.org
0,redjk,gml,NKS08-0045_187r.org
0,redjn,gml,NKS08-0045_174r.org
0,redkere,gml,AM12-0417_073v.org
0,redkomet,gml,AM08-0073_044r.org
0,redlad,da,AM12-0421_030r.org
0,redlam,gml,AM08-0073_013r.org
0,redleyde,gml,AM08-0073_013r.org
0,redlof,gml,AM08-0073_099r.org AM12-0417_063r.org
0,redmake,gml,AM12-0417_073v.org AM08-0073_044r.org
0,redmaria,gml,AM12-0417_050r.org AM08-0070_003r.org AM08-0073_067r.org Hamburg-CodConv-6_002r.org UUB-C496_095r.org
0,redmen,gml,AM12-0417_073v.org AM08-0073_044r.org
0,redmeyn,gml,AM12-0417_073v.org
0,redmin,da,AM04-0789_002v.org Lund-0035_023v.org
0,redminer,gml,AM08-0070_064r.org
0,redmit,gml,AM08-0070_064r.org
0,redmyn,gml,AM12-0417_073v.org
0,redmyne,gml,GKS08-3423_109v.org AM12-0417_073v.org
0,rednicht,gml,AM12-0417_001r.org
0,rednu,gml,AM12-0417_063r.org
0,redo,da,AM08-0072_129v.org AM04-0782_216v.org Holm-A-0042_052v.org Thott04-0553_022r.org AM04-0782_001r.org AM12-0421_030r.org AM08-0072_126r.org AM04-0784_080r.org AM08-0072_127r.org
0,redo,gml,AM12-0417_001r.org Gott-Theol242f_103r.org AM08-0073_109r.org AM12-0417_050r.org AM08-0073_067r.org GKS08-3423_111r2.org AM04-0782_091r.org AM12-0417_063r.org
0,redoch,da,Lund-0035_023v.org
0,redoffert,gml,AM08-0070_003r.org
0,redok,gml,GKS08-3423_111r2.org
0,redothmodighe,gml,AM12-0417_050r.org
