,word,language,documents
0,s,gml,AM08-0073_013r.org AM04-0789_005r.org
0,s,da,AM04-0784_080r.org
0,sa,gml,AM08-0073_055r.org
0,sa,da,Holm-A-0042_055r.org Holm-A-0042_054v.org UUB-C496_136r.org GKS04-1613_161r.org Holm-A-0042_055v.org Holm-A-0042_053r.org Holm-A-0042_051v.org Holm-A-0042_095v.org AM12-0421_030r.org
0,saa,da,AM04-0784_026v_m.org AM08-0073_098r.org GKS04-1615_019r.org AM04-0782_216v.org Holm-A-0042_052v.org AM08-0073_011v.org AM04-0782_001r.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org Lund-0035_064v.org AM12-0421_030r.org AM12-0420_026r.org AM04-0784_080r.org
0,saade,da,AM04-0782_216v.org
0,saar,da,Holm-A-0042_055r.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM04-0789_001r.org Lund-0035_038v.org AM12-0421_030r.org
0,saar,other,AM08-0070_254r.org
0,saare,da,Thott04-0553_125v.org Lund-0035_064v.org
0,saast,da,Thott04-0553_125v.org
0,saat,da,AM04-0789_002v.org
0,saath,da,Lund-0035_023v.org
0,sacerdotes,other,AM08-0070_254r.org
0,sach,gml,AM12-0417_073v.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_074v.org UBB-C496_019v.org
0,sacharias,gml,AM12-0417_001r.org
0,sachmodich,gml,NKS08-0045_187r.org
0,sachmodigeste,gml,AM12-0417_050r.org
0,sacht,gml,AM08-0073_082v.org AM08-0073_054v.org
0,sachten,gml,AM08-0073_013r.org
0,sachtmodicheit,gml,AM08-0073_088v.org AM08-0073_013r.org
0,sachtnisse,gml,NKS08-0045_194r.org
0,sacrament,gml,GKS08-3487_001r.org
0,sacramenten,gml,GKS08-3487_001r.org
0,sacramenth,da,AM08-0072_126r.org
0,sacramentæ,da,NKS08-0045_120v.org
0,sades,gml,GKS08-3423_111r2.org
0,sadet,gml,AM08-0073_082v.org
0,sadh,da,GKS04-1615_019r.org
0,sadhe,da,AM04-0782_001r.org
0,saet,gml,AM08-0073_077r.org AM12-0417_073v.org
0,sagde,da,Thott04-0553_021r-2.org AM04-0789_001r.org AM08-0079Ieta_001r.org Thott04-0553_125v.org AM04-0784_080r.org
0,sagdhæ,da,AM04-0784_080r.org
0,sagdæ,da,AM04-0784_080r.org
0,sagt,da,NKS08-0045_120v.org
0,sagtmodig,da,NKS08-0045_120v.org
0,sake,gml,AM08-0070_003r.org
0,sal,gml,Koln-W52_167r.org
0,salchliken,gml,AM08-0073_099r.org
0,sale,gml,GKS08-3423_111r2.org
0,salen,gml,AM08-0073_082v.org AM08-0073_071r.org AM08-0073_088v.org
0,salich,gml,AM08-0073_094r.org AM12-0417_001r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_237v.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_055r.org GKS08-3487_001r.org AM12-0417_063r.org
0,salicheit,gml,AM08-0073_109r.org AM08-0070_003r.org UUB-C496_002r.org AM08-0073_013r.org AM08-0073_054v.org NKS08-0045_166r.org
