,word,language,documents
0,b,da,GKS04-1615_009r.org
1,b,gml,AM12-0417_050r.org GKS08-3487_104v.org
2,baa,da,AM04-0782_001r.org AM04-0784_080r.org
3,babarmhertycheyt,gml,GKS08-3423_071v.org
4,bade,gml,GKS08-3423_211r.org AM08-0073_165v.org
5,badh,da,AM04-0789_001r.org
6,bag,da,NKS08-0045_120v.org
7,bagtaall,da,NKS08-0045_120v.org
8,baltazar,gml,GKS08-3487_104v.org
9,bameherticheit,gml,AM08-0073_099r.org
10,band,da,Holm-A-0042_053r.org
11,bande,gml,AM08-0073_013r.org GKS08-3487_104v.org
12,bandh,da,Holm-A-0042_051v.org
13,bant,gml,GKS08-3423_211r.org
14,baptista,gml,AM08-0073_013r.org
15,bar,gml,AM08-0073_082v.org AM08-0073_054v.org
16,barbara,da,AM08-0072_126r.org
17,barbara,gml,AM08-0073_013r.org
18,barm,da,AM08-0070_253v.org
19,barm,gml,AM08-0073_082v.org
20,barmeherticheit,gml,NKS08-0045_187r.org AM08-0073_109r.org Hamburg-CodConv-6_002r.org NKS08-0045_176r.org AM08-0073_087r.org
21,barmeherticheyt,gml,AM08-0073_055r.org
22,barmehertigen,gml,AM08-0073_013r.org
23,barmhartighedh,da,Thott04-0553_125v.org
24,barmher,gml,Guelf-1025Novi_230r.org AM08-0073_055r.org
25,barmherthicheit,gml,Gott-Theol242f_103r.org
26,barmherticcheit,gml,AM08-0073_013r.org
27,barmhertich,gml,GKS08-3487_001r.org
28,barmherticheit,gml,UUB-C496_091v.org AM08-0070_064r.org AM12-0417_001r.org Gott-Theol242f_103r.org AM08-0073_165v.org AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org UUB-C496_002r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_087r.org AM08-0073_054v.org AM12-0417_063r.org
29,barmherticheit,other,AM08-0070_254r.org Guelf08-6114Aug_181r.org
30,barmhertichesse,gml,AM08-0073_071r.org
31,barmherticheyt,gml,GKS08-3423_211r.org Guelf-1155Helmst_308v.org NKS08-0045_174r.org Guelf-1025Novi_230r.org Speghel_R1r.org AM08-0073_013r.org Arndes1487_265r.org AM08-0073_080r.org GKS08-3487_001r.org
32,barmhertichliken,gml,AM12-0417_001r.org AM08-0073_109r.org
33,barmhertige,gml,AM08-0073_077r.org
34,barmhertigeste,gml,AM08-0073_077r.org AM12-0417_050r.org
35,barmhertighe,gml,AM12-0417_001r.org AM08-0070_003r.org AM08-0073_071r.org
36,barmhertigheit,gml,Beinecke-0218_127r.org
37,barmhertighet,da,AM08-0075_063r.org
38,barmhertikeyt,gml,AM08-0073_071r.org AM08-0073_013r.org
