,word,language,documents
0,c,gml,GKS08-3423_211r.org
1,c,da,Holm-A-0042_055v.org GKS04-1615_009r.org Thott04-0553_125v.org Lund-0035_064v.org
2,call,da,NKS08-0045_120v.org
3,caluer,gml,AM12-0417_073v.org
4,canticulum,gml,AM08-0073_044r.org
5,canticum,da,AM08-0075_063r.org
6,capetulum,gml,AM08-0073_099r.org
7,capitele,gml,GKS08-3487_009v.org
8,capiti,gml,GKS08-3487_009v.org
9,capitulo,gml,GKS08-3487_009v.org
10,capitulum,other,AM08-0070_254r.org
11,capitulum,gml,AM08-0073_077r.org AM08-0073_099r.org AM08-0073_082v.org AM08-0073_071r.org AM08-0073_088v.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org
12,cardinale,gml,UUB-C496_002r.org
13,caritas,gml,AM08-0073_013r.org
14,castitas,gml,AM08-0073_013r.org
15,cccc,gml,UUB-C496_001v.org
16,cecia,gml,AM08-0073_013r.org
17,cecilia,gml,AM08-0073_013r.org
18,cedar,gml,AM08-0073_071r.org
19,cederbome,gml,AM08-0073_054v.org
20,cele,other,Holm-A-0042_032r.org
21,celebrant,other,Kalmar-0033_037v.org
22,celi,gml,AM08-0073_044r.org
23,celi,da,AM08-0070_247r.org
24,cella,other,AM08-0070_254r.org
25,celorum,gml,AM08-0073_094r.org
26,cetera,other,AM08-0070_254r.org
27,cetera,gml,AM08-0073_082v.org AM08-0073_088v.org
28,chame,gml,AM08-0073_067r.org
29,charitas,gml,GKS08-3487_009v.org
30,charlemagnekarl,da,Holm-A-0042_051v.org
31,chen,gml,AM08-0073_044r.org
32,cherubin,gml,UUB-C496_001r.org AM08-0073_055r.org
33,chore,gml,AM08-0073_055r.org
34,chore,other,Guelf08-6114Aug_181r.org
35,chrisi,gml,GKS08-3487_001r.org
36,christe,gml,GKS08-3423_211r.org GKS08-3423_103v.org GKS08-3423_103r.org AM08-0073_165v.org AM08-0073_109r.org UUB-C496_002r.org UUB-C496_003r.org AM08-0073_230r.org AM08-0073_013r.org GKS08-3423_111r2.org AM04-0782_091r.org
37,christe,da,UUB-C496_136r.org Thott04-0553_021r-2.org AM12-0421_072r.org AM08-0070_002v.org Holm-A-0042_052v.org Holm-A-0042_053r.org AM04-0789_001r.org NRA-0085-b_001v.org Thott04-0553_015v.org Thott04-0553_021v.org Lund-0035_038v.org AM08-0072_126r.org
38,christe,other,AM08-0070_254r.org Holm-A-0029_145v.org
39,christeleyson,gml,AM08-0073_088v.org NKS08-0045_194r.org AM08-0073_013r.org AM08-0073_080r.org
40,christelige,da,AM04-0782_216v.org
