,word,language,documents
0,d,da,GKS04-1615_009r.org
1,d,gml,GKS08-3423_211r.org AM08-0073_109r.org NKS08-0045_174r.org
2,d,other,Guelf08-6114Aug_181r.org
3,da,gml,GKS08-3423_211r.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_001r.org
4,daancken,gml,AM08-0073_109r.org
5,dach,other,Guelf08-6114Aug_181r.org
6,dach,gml,AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org GKS08-3423_111r2.org UBB-C496_019v.org
7,dacht,gml,AM08-0073_054v.org
8,dachte,gml,AM08-0073_237v.org AM08-0073_082v.org GKS08-3423_071v.org GKS08-3423_109v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_054v.org
9,dachten,gml,AM08-0070_003r.org AM12-0417_073v.org AM08-0073_013r.org
10,dachtnisse,gml,AM08-0073_109r.org
11,dachtnysse,gml,AM08-0070_003r.org
12,dack,gml,AM04-0782_091r.org
13,dacke,gml,AM08-0073_013r.org
14,dade,gml,GKS08-3487_001r.org
15,daed,gml,AM04-0782_091r.org
16,daen,gml,AM08-0073_082v.org AM08-0073_087r.org
17,daer,gml,AM08-0070_064r.org Arndes1487_265r.org
18,dag,da,AM04-0789_001r.org AM04-0782_001r.org GKS04-1615_009r.org Holm-A-0042_051v.org AM12-0420_026r.org Kalmar-0033_139v.org
19,dage,da,Holm-A-0042_054v.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM04-0789_001r.org GKS04-1615_009r.org AM04-0789_002v.org Thott04-0553_125v.org Holm-A-0042_095v.org GKS04-1614_001r.org
20,dage,gml,Gott-Theol242f_103r.org AM08-0073_082v.org Beschauwing_009.org AM12-0417_050r.org Guelf-1155Helmst_308v.org UUB-C496_003r.org NKS08-0045_174r.org Guelf-1025Novi_230r.org GKS08-3423_202v.org AM12-0417_073v.org UUB-C496_001v.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_054v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org
21,dage,other,Guelf08-6114Aug_181r.org
22,dagelig,da,Holm-A-0042_055v.org
23,dagen,gml,GKS08-3423_111r2.org AM04-0782_091r.org
24,dages,gml,AM08-0073_071r.org
25,dagh,da,AM08-0072_128r.org AM08-0072_128v.org Holm-A-0042_055v.org AM12-0421_022r.org AM04-0782_001r.org Thott04-0553_021r.org AM08-0075_022v-4.org Holm-A-0042_051v.org Thott04-0553_125v.org Thott04-0553_021v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org AM08-0075_009r.org AM04-0784_080r.org GKS04-1614_001r.org
26,dagh,gml,Beinecke-0218_127r.org
