,word,language,documents
0,e,gml,GKS08-3423_211r.org AM08-0073_082v.org AM08-0073_088v.org AM08-0073_044r.org AM08-0073_054v.org
1,e,da,Holm-A-0042_055v.org GKS04-1615_009r.org Thott04-0553_125v.org Lund-0035_064v.org
2,ecce,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
3,echschap,gml,AM12-0417_063r.org
4,echscop,gml,AM12-0417_063r.org
5,echtes,gml,AM08-0073_099r.org
6,echtesschap,gml,AM08-0073_099r.org
7,eddel,gml,Arndes1487_265r.org
8,eddele,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_228r.org NKS08-0045_176r.org UUB-C496_095r.org GKS08-3423_111r2.org
9,eddelen,gml,Beschauwing_009.org Guelf-1025Novi_065r.org AM08-0073_054v.org
10,eddeler,gml,AM08-0073_044r.org
11,eddelste,gml,AM12-0417_050r.org
12,edder,gml,AM08-0070_003r.org UUB-C496_002r.org AM08-0073_044r.org AM08-0073_013r.org GKS08-3487_001r.org UBB-C496_019v.org
13,edele,other,Guelf08-6114Aug_181r.org
14,edele,da,Holm-A-0042_095v.org
15,edelen,gml,Gott-Theol242f_103r.org
16,edelygh,da,AM04-0782_001r.org
17,eder,da,Holm-A-0042_095v.org
18,edher,da,Thott04-0553_125v.org
19,edæle,da,Lund-0035_064v.org
20,edær,da,Lund-0035_064v.org
21,ee,gml,AM12-0417_001r.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_080r.org
22,ee,da,Thott04-0553_015v.org
23,eechlyk,gml,Speghel_R1r.org
24,eeden,gml,GKS08-3487_001r.org
25,eehuare,da,Lund-0035_038v.org
26,eelenden,gml,GKS08-3487_001r.org
27,eelick,gml,AM04-0782_091r.org
28,een,da,AM04-0789_001r.org NRA-0085-b_001v.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_125v.org Thott04-0553_021v.org
29,een,other,AM08-0070_254r.org
30,een,gml,AM08-0073_109r.org AM12-0417_050r.org UUB-C496_002r.org AM04-0789_005r.org AM12-0417_063r.org
31,eenfoldighedh,da,Thott04-0553_015v.org
32,eengeboren,gml,AM12-0417_050r.org
33,eenæ,da,Thott04-0553_125v.org
34,eer,other,Guelf08-6114Aug_181r.org
35,eer,gml,Koln-W52_167r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org Beinecke-0218_127r.org Arndes1487_265r.org AM08-0073_074v.org AM12-0417_063r.org
36,eere,gml,GKS08-3423_211r.org
37,eerlike,gml,AM12-0417_050r.org
38,eerliken,gml,Beschauwing_009.org
39,eervoldigen,gml,AM12-0417_063r.org
40,eewynnelige,da,GKS04-1614_001r.org
41,efft,gml,Beschauwing_009.org
42,effte,gml,GKS08-3487_001r.org
43,effter,da,AM04-0789_001r.org AM04-0782_001r.org AM04-0784_300r.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM04-0784_080r.org
44,effterscreffne,da,Thott04-0553_021r-2.org Thott04-0553_022r.org Thott04-0553_125v.org AM08-0075_009r.org
45,effterscriffues,da,Thott04-0553_021r.org
46,effterscriwes,da,Thott04-0553_125v.org Thott04-0553_021v.org
47,effterskreffne,da,Thott04-0553_020v.org Kalmar-0033_139v.org GKS04-1614_001r.org
48,effthe,gml,GKS08-3487_104v.org
49,effther,da,AM12-0421_022r.org AM04-0782_001r.org AM08-0075_022v-4.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0075_009r.org AM04-0784_080r.org
50,efftherscreffne,da,Thott04-0553_125v.org
51,efftherscriues,da,Thott04-0553_125v.org
52,eft,gml,GKS08-3487_001r.org
53,efte,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org UBB-C496_019v.org
54,efter,da,AM04-0782_216v.org GKS04-1615_009r.org AM12-0420_026r.org
55,eg,da,AM08-0072_128r.org
56,egeme,gml,GKS08-3487_001r.org
57,egen,da,AM08-0073_098r.org
58,egen,gml,GKS08-3423_211r.org AM08-0073_099r.org GKS08-3423_111r2.org
59,eghe,gml,Speghel_R1r.org AM04-0782_091r.org
60,eghen,da,GKS04-1613_161r.org
61,eghen,gml,GKS08-3487_001r.org
62,eghene,gml,GKS08-3487_001r.org
63,eghenen,gml,AM08-0070_001r.org
64,egidius,gml,AM08-0073_013r.org
65,egipciata,gml,AM08-0073_013r.org
66,egnen,gml,GKS08-3423_211r.org
67,ego,gml,GKS08-3487_104v.org
68,egressus,gml,GKS08-3423_111r2.org
69,ehuare,da,Holm-A-0042_053r.org
70,ehuat,da,Holm-A-0042_095v.org
71,ein,gml,Arndes1487_265r.org
72,eine,gml,Beschauwing_009.org AM08-0073_228r.org
73,einem,gml,Beschauwing_009.org
74,einen,gml,Beschauwing_009.org
75,eit,gml,AM12-0417_001r.org
76,eius,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
77,eius,gml,GKS08-3487_009v.org GKS08-3423_111r2.org
78,ek,gml,Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org
79,eld,da,Holm-A-0042_053r.org
80,elementen,gml,AM08-0070_003r.org
