,word,language,documents
0,f,da,GKS04-1615_009r.org Thott04-0553_125v.org
1,faa,da,AM04-0782_001r.org AM12-0421_030r.org AM04-0784_080r.org
2,faal,da,Lund-0035_064v.org
3,faar,da,AM04-0789_001r.org
4,faare,da,AM04-0784_026v_m.org
5,fabiane,gml,AM08-0073_013r.org
6,fader,da,GKS04-1613_161r.org Thott04-0553_021r-2.org Holm-A-0042_055v.org AM04-0782_216v.org Holm-A-0042_052v.org AM04-0789_001r.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org
7,faders,da,AM04-0782_216v.org AM04-0789_001r.org Thott04-0553_021r.org NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org
8,fadher,da,GKS04-1615_019r.org AM12-0421_072r.org AM12-0421_022r.org AM04-0782_001r.org NKS08-0045_120v.org AM04-0784_080r.org
9,fadheren,other,AM08-0070_254r.org
10,fadherens,da,Thott04-0553_021r.org
11,fadhers,da,AM12-0421_022r.org
12,fadhær,da,Holm-A-0042_095v.org
13,fadær,da,Lund-0035_064v.org Lund-0035_023v.org
14,faen,gml,AM08-0073_054v.org
15,fafængom,other,Holm-A-0029_145v.org
16,fagnæ,da,NKS08-0045_120v.org
17,fal,da,Holm-A-0042_095v.org AM12-0420_026r.org
18,falde,da,AM04-0789_002v.org
19,fall,da,Thott04-0553_125v.org AM12-0420_026r.org
20,falle,da,AM04-0789_001r.org
21,falled,da,NKS08-0045_120v.org
22,fallet,da,NKS08-0045_120v.org
23,falsk,da,NKS08-0045_120v.org
24,falskæ,da,AM08-0072_128r.org AM08-0072_128v.org NKS08-0045_120v.org
25,famulos,other,Kalmar-0033_037v.org
26,famvlo,da,UUB-C496_136r.org
27,famvlvm,da,UUB-C496_136r.org
28,fandst,da,Lund-0035_064v.org Holm-A-0042_095v.org
29,fange,da,Kalmar-0033_139v.org
30,fangen,gml,GKS08-3487_104v.org
31,fangen,da,AM04-0789_002v.org
32,fangende,gml,AM08-0073_044r.org
33,fanger,da,Kalmar-0033_139v.org
34,fanghe,da,AM08-0070_247r_m.org
35,fanst,da,Lund-0035_064v.org AM12-0420_026r.org
