,word,language,documents
0,g,gml,GKS08-3487_001r.org GKS08-3487_104v.org
1,g,da,GKS04-1615_009r.org Thott04-0553_125v.org
2,ga,gml,AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org GKS08-3487_104v.org
3,gaa,da,AM04-0782_001r.org AM08-0079Ieta_001r.org AM12-0421_030r.org AM04-0784_080r.org
4,gaar,da,AM08-0075_022v-4.org Holm-A-0042_051v.org Lund-0035_038v.org
5,gabriel,gml,Gott-Theol242f_103r.org Beschauwing_009.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Beinecke-0218_127r.org AM08-0073_013r.org UUB-C496_095r.org AM04-0789_005r.org
6,gabriel,other,Guelf08-6114Aug_181r.org
7,gabriel,da,AM08-0072_128r.org AM04-0782_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org AM04-0784_080r.org AM08-0072_127r.org
8,gabriele,gml,AM08-0073_093r.org
9,gabrielem,da,AM04-0784_080r.org
10,gabrielis,gml,AM08-0073_082v.org GKS08-3487_009v.org
11,gabriell,da,AM04-0782_001r.org
12,gabryel,other,Guelf08-6114Aug_181r.org
13,gack,da,AM12-0421_030r.org
14,gade,gml,GKS08-3423_071v.org GKS08-3423_109v.org AM08-0070_001r.org GKS08-3423_202v.org Guelf-1025Novi_065r.org GKS08-3423_111r2.org
15,gades,gml,AM12-0417_001r.org AM12-0417_050r.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org AM12-0417_063r.org
16,gaen,gml,AM08-0073_071r.org AM12-0417_073v.org
17,gaf,da,AM12-0420_026r.org
18,gaf,gml,Hamburg-CodConv-6_002r.org AM08-0073_054v.org AM08-0073_074v.org
19,gaff,other,Guelf08-6114Aug_181r.org
20,gaff,da,Holm-A-0042_054v.org GKS04-1613_161r.org Holm-A-0042_055v.org Holm-A-0042_053r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0421_030r.org
21,gaff,gml,Gott-Theol242f_103r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Beinecke-0218_127r.org UUB-C496_095r.org GKS08-3487_104v.org UBB-C496_019v.org
22,gaffn,da,NKS08-0045_120v.org
23,gaffuær,da,NKS08-0045_120v.org
24,gaib,gml,Koln-W52_167r.org
25,gallen,gml,GKS08-3423_211r.org AM08-0073_228r.org UBB-C496_019v.org
26,gallenskab,da,Thott04-0553_015v.org
27,gallich,gml,UBB-C496_019v.org
28,gallæ,other,AM08-0070_254r.org
