,word,language,documents
0,h,gml,AM08-0073_082v.org AM12-0417_073v.org
1,h,da,Thott04-0553_125v.org
2,ha,gml,AM08-0073_071r.org Arndes1487_265r.org
3,haandt,da,AM08-0073_098r.org
4,haar,da,AM12-0421_030r.org
5,haare,da,AM04-0782_216v.org
6,habraham,gml,GKS08-3487_104v.org
7,had,gml,AM08-0073_074v.org
8,hadde,gml,UUB-C496_091v.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0070_003r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_013r.org AM08-0073_074v.org UBB-C496_019v.org AM04-0789_005r.org AM12-0417_063r.org
9,hadde,other,Guelf08-6114Aug_181r.org
10,hadde,da,AM04-0782_216v.org AM08-0070_247r.org
11,hadden,gml,AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org UUB-C496_095r.org AM08-0073_074v.org
12,hadden,other,Guelf08-6114Aug_181r.org
13,haddest,gml,GKS08-3423_211r.org Gott-Theol242f_103r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Beinecke-0218_127r.org AM08-0073_044r.org UUB-C496_095r.org Arndes1487_265r.org GKS08-3423_111r2.org
14,haddest,other,Guelf08-6114Aug_181r.org
15,haddestu,gml,AM08-0070_003r.org
16,hadeth,da,AM04-0782_216v.org
17,haest,gml,UUB-C496_091v.org
18,hafde,da,AM04-0789_001r.org AM04-0789_002v.org
19,hafdæ,da,NRA-0085-b_001v.org
20,haffd,da,NKS08-0045_120v.org
21,haffde,da,AM04-0782_216v.org AM04-0789_001r.org AM04-0789_002v.org Thott04-0553_125v.org
22,haffdæ,da,GKS04-1613_161r.org
23,haffer,da,AM04-0782_216v.org AM04-0784_300r.org AM04-0784_080r.org
24,haffs,da,Holm-A-0042_054v.org
25,haffue,da,Thott04-0553_022r.org
26,haffuer,da,AM04-0784_026v_m.org AM08-0073_011v.org AM08-0075_022v-4.org NKS08-0045_120v.org
27,haffuæ,da,NRA-0085-b_001v.org NKS08-0045_120v.org
28,haffuær,da,NKS08-0045_120v.org
29,haffwer,da,GKS04-1615_019r.org GKS04-1613_161r.org AM04-0782_216v.org AM04-0782_001r.org AM08-0075_009r.org AM04-0784_080r.org
30,haffwær,da,GKS04-1613_161r.org NKS08-0045_120v.org
31,haffzens,da,AM04-0789_001r.org
32,hafthen,da,AM08-0072_128r.org AM08-0072_128v.org
33,hafuer,da,AM08-0075_063r.org
34,hagel,gml,AM08-0073_054v.org
35,hager,gml,AM08-0073_082v.org
36,haghet,gml,Arndes1487_265r.org
37,halen,gml,GKS08-3487_104v.org
38,halligherede,gml,AM08-0070_001r.org
39,halp,gml,Arndes1487_265r.org
40,hals,gml,GKS08-3423_211r.org AM08-0073_080r.org
41,halt,other,Holm-A-0029_145v.org
42,halteren,gml,AM12-0417_073v.org
43,hamm,da,AM08-0073_011v.org NKS08-0045_120v.org
44,hamme,gml,AM08-0073_082v.org
45,han,da,Holm-A-0042_055r.org AM08-0072_128r.org UUB-C496_136r.org GKS04-1615_019r.org GKS04-1613_161r.org AM08-0072_128v.org Thott04-0553_021r-2.org AM12-0421_072r.org Holm-A-0042_055v.org Holm-A-0042_052v.org Thott04-0553_022r.org AM04-0789_001r.org Thott04-0553_020v.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org AM04-0789_002v.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0421_030r.org AM12-0420_026r.org AM08-0075_009r.org Lund-0035_023v.org AM08-0072_127r.org Kalmar-0033_139v.org
46,han,gml,AM08-0073_054v.org AM08-0073_074v.org
47,hand,da,AM04-0782_216v.org AM12-0421_022r.org Holm-A-0042_053r.org AM08-0073_011v.org AM04-0782_001r.org Holm-A-0042_051v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0421_030r.org AM04-0784_080r.org
48,hand,gml,AM08-0073_044r.org AM08-0073_013r.org Arndes1487_265r.org GKS08-3487_104v.org
49,hande,gml,GKS08-3423_211r.org AM08-0073_082v.org AM08-0073_088v.org AM08-0070_001r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_054v.org
50,handelynghe,gml,GKS08-3423_211r.org
51,handen,gml,AM08-0073_044r.org
52,handh,da,Thott04-0553_015v.org Thott04-0553_125v.org Lund-0035_064v.org Lund-0035_038v.org
53,hanem,da,UUB-C496_136r.org
54,hanene,gml,AM08-0073_109r.org
55,hangede,gml,AM08-0073_013r.org AM08-0073_054v.org
56,hangeden,gml,AM12-0417_073v.org
57,hangedest,gml,UBB-C496_019v.org
58,hangende,gml,AM08-0073_228r.org
59,hangendes,gml,GKS08-3423_211r.org
60,hanghedest,gml,GKS08-3423_211r.org
61,hanmyn,da,AM08-0075_063r.org
62,hanndt,da,AM08-0073_098r.org
63,hannum,da,AM04-0784_026v_m.org NKS08-0045_120v.org
64,hannwm,da,AM12-0421_030r.org
65,hanom,da,AM08-0073_098r.org GKS04-1613_161r.org
66,hans,da,AM08-0073_098r.org GKS04-1615_019r.org GKS04-1613_161r.org Thott04-0553_021r-2.org AM04-0782_216v.org AM12-0421_022r.org Holm-A-0042_052v.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org NKS08-0045_120v.org AM04-0789_002v.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org AM08-0070_247r_m.org AM12-0421_030r.org AM12-0420_026r.org Lund-0035_023v.org AM08-0072_127r.org
67,hansegnælsæ,da,NKS08-0045_120v.org
68,hanss,da,UUB-C496_136r.org AM04-0782_216v.org AM04-0784_300r.org NKS08-0045_120v.org AM12-0421_030r.org
69,hant,gml,AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org Gott-Theol242f_103r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0073_071r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_013r.org UUB-C496_095r.org Arndes1487_265r.org AM08-0073_136v.org AM08-0073_054v.org GKS08-3487_001r.org GKS08-3487_104v.org
70,hant,other,Guelf08-6114Aug_181r.org
71,hanterynghe,gml,GKS08-3423_211r.org
72,hantwerke,gml,AM12-0417_073v.org
73,hanum,da,Holm-A-0042_054v.org GKS04-1615_019r.org Thott04-0553_022r.org AM04-0789_001r.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org AM04-0789_002v.org Thott04-0553_125v.org AM08-0075_063r.org Holm-A-0042_095v.org Lund-0035_023v.org AM08-0072_127r.org
74,hanwm,da,AM08-0072_126r.org
75,hape,gml,AM12-0417_050r.org
76,hapede,gml,AM12-0417_073v.org
77,hapen,gml,GKS08-3423_001r.org AM12-0417_073v.org
78,har,gml,GKS08-3423_211r.org
79,harde,da,Holm-A-0042_053r.org AM04-0789_001r.org
80,harde,gml,AM08-0070_064r.org
81,harden,gml,GKS08-3423_211r.org Speghel_R1r.org AM04-0782_091r.org
82,hardicheit,gml,AM08-0073_109r.org
83,harpen,gml,AM08-0073_054v.org
84,harte,gml,AM12-0417_073v.org
85,harten,gml,GKS08-3487_104v.org
86,hastighæ,da,Lund-0035_064v.org
87,hat,gml,AM08-0073_109r.org NKS08-0045_174r.org
88,hate,gml,AM08-0073_013r.org GKS08-3487_001r.org
89,hateden,gml,AM12-0417_001r.org AM08-0073_080r.org AM08-0073_054v.org
90,hateen,gml,NKS08-0045_174r.org
91,haten,gml,AM12-0417_073v.org AM08-0073_013r.org
92,hatzske,da,Thott04-0553_125v.org
93,haude,da,Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
94,haudhæ,da,Lund-0035_064v.org Holm-A-0042_095v.org
95,haudæ,da,Lund-0035_064v.org
96,haue,da,Holm-A-0042_054r.org
97,hauer,da,Holm-A-0042_051v.org Holm-A-0042_095v.org Lund-0035_023v.org
98,hawer,da,Holm-A-0042_055r.org Holm-A-0042_055v.org AM04-0789_001r.org AM08-0075_063r.org AM08-0072_127r.org
99,hawyn,da,AM08-0076_113r.org
100,hayn,gml,Koln-W52_167r.org
101,he,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_237v.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org GKS08-3423_109v.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org Guelf-1025Novi_230r.org Speghel_R1r.org AM08-0070_001r.org GKS08-3423_202v.org Guelf-1025Novi_065r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_087r.org Arndes1487_265r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org AM12-0417_063r.org
102,he,other,Guelf08-6114Aug_181r.org
103,he,da,AM08-0070_247r.org
104,hebbe,gml,UUB-C496_091v.org AM08-0070_064r.org GKS08-3423_211r.org AM08-0073_165v.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3487_009v.org NKS08-0045_174r.org AM08-0073_088v.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_228r.org AM08-0073_013r.org UUB-C496_001r.org GKS08-3487_001r.org AM04-0782_091r.org
