,word,language,documents
0,j,gml,GKS08-3487_009v.org
1,j,other,Holm-A-0029_145v.org
2,j,da,Holm-A-0042_054v.org AM08-0072_129v.org UUB-C496_136r.org AM08-0072_128v.org Thott04-0553_021r-2.org Holm-A-0042_055v.org Holm-A-0042_052v.org Holm-A-0042_053r.org Thott04-0553_022r.org AM04-0789_001r.org Thott04-0553_021r.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org Thott04-0553_125v.org Thott04-0553_021v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0421_030r.org AM08-0072_126r.org Lund-0035_023v.org AM08-0072_127r.org
3,jak,other,Holm-A-0029_145v.org
4,jar,gml,UUB-C496_091v.org AM08-0070_003r.org AM08-0070_001r.org NKS08-0045_166r.org
5,jaren,gml,GKS08-3487_001r.org
6,jasper,gml,GKS08-3487_104v.org
7,jch,gml,Koln-W52_167r.org
8,jck,gml,Gott-Theol242f_103r.org GKS08-3487_104v.org
9,jckj,da,Lund-0035_064v.org
10,jd,gml,GKS08-3487_001r.org
11,jdem,gml,GKS08-3487_009v.org
12,jec,da,Holm-A-0042_095v.org
13,jech,da,AM04-0789_001r.org AM04-0789_002v.org Holm-A-0042_095v.org
14,jeg,da,AM08-0072_128v.org AM12-0421_072r.org AM12-0421_022r.org NKS08-0045_120v.org AM12-0421_030r.org
15,jegen,gml,AM08-0070_003r.org UUB-C496_001r.org
16,jegh,da,AM12-0421_022r.org AM04-0782_001r.org Thott04-0553_021r.org
17,jeghen,gml,GKS08-3487_001r.org
18,jeghenwordyghen,gml,GKS08-3487_001r.org
19,jek,da,AM08-0072_128r.org AM08-0072_128v.org Thott04-0553_021r-2.org Thott04-0553_022r.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org AM08-0079Ieta_001r.org NKS08-0045_120v.org Thott04-0553_021v.org AM08-0072_127r.org
20,jemande,gml,GKS08-3487_001r.org
21,jen,da,AM08-0072_129v.org AM08-0072_128r.org AM08-0072_128v.org
22,jene,da,AM08-0070_247r.org
23,jenen,gml,AM08-0070_003r.org
24,jenich,gml,AM08-0070_003r.org GKS08-3487_001r.org
25,jenyghen,gml,GKS08-3487_001r.org
26,jerusalem,gml,AM08-0073_071r.org
27,jesu,da,AM04-0789_001r.org
28,jet,da,UUB-C496_136r.org Lund-0035_064v.org
29,jeth,da,Lund-0035_064v.org AM08-0072_127r.org
30,jewelik,gml,UBB-C496_019v.org
31,jewelikes,gml,AM08-0070_001r.org
32,jft,gml,GKS08-3487_001r.org
33,jfte,gml,GKS08-3487_001r.org
34,jgien,da,Lund-0035_064v.org Holm-A-0042_095v.org
35,jgiømen,da,Holm-A-0042_095v.org
36,jherusalem,da,AM08-0079Ieta_001r.org
37,jherusalem,gml,AM08-0073_082v.org
38,jhesu,gml,UUB-C496_002r.org GKS08-3487_001r.org GKS08-3487_104v.org
39,jhesu,da,UUB-C496_136r.org Holm-A-0042_054r.org AM04-0789_001r.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_021v.org GKS04-1614_001r.org
40,jhesum,gml,AM12-0417_001r.org GKS08-3487_104v.org
41,jhesum,da,AM12-0421_022r.org
42,jhesus,gml,GKS08-3487_009v.org GKS08-3423_001r.org NKS08-0045_176r.org GKS08-3487_104v.org
43,jhesus,da,UUB-C496_136r.org
44,jk,gml,UUB-C496_091v.org GKS08-3423_211r.org AM08-0073_109r.org AM08-0070_003r.org UUB-C496_002r.org Speghel_R1r.org AM08-0073_136v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org UBB-C496_019v.org
45,jk,other,Guelf08-6114Aug_181r.org
46,jmellom,da,Holm-A-0042_095v.org
47,jn,gml,GKS08-3423_211r.org AM08-0073_077r.org AM12-0417_050r.org AM08-0070_003r.org UUB-C496_002r.org Guelf-1155Helmst_308v.org GKS08-3487_009v.org AM08-0070_001r.org Beinecke-0218_127r.org UUB-C496_095r.org UUB-C496_001r.org AM08-0073_136v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM12-0417_063r.org
48,jndeme,gml,UUB-C496_091v.org
49,jndh,da,Lund-0035_064v.org
50,jndt,da,AM08-0073_098r.org
