,word,language,documents
0,kald,da,GKS04-1615_019r.org
1,kalixtus,gml,AM08-0073_013r.org
2,kalk,da,AM04-0789_001r.org
3,kallest,da,Lund-0035_064v.org
4,kallet,da,Thott04-0553_125v.org Holm-A-0042_095v.org
5,kallis,da,AM08-0072_128r.org AM08-0072_128v.org
6,kallær,da,Holm-A-0042_095v.org
7,kaluere,gml,AM08-0073_013r.org
8,kam,da,Lund-0035_064v.org Holm-A-0042_095v.org
9,kam,gml,GKS08-3487_104v.org
10,kame,gml,AM12-0417_001r.org GKS08-3423_071v.org AM12-0417_073v.org
11,kamen,gml,AM12-0417_001r.org GKS08-3423_211r.org AM12-0417_050r.org AM12-0417_063r.org
12,kamende,gml,GKS08-3487_001r.org
13,kamenn,gml,GKS08-3423_111r2.org
14,kameren,gml,AM08-0073_044r.org
15,kamme,da,Lund-0035_064v.org
16,kan,gml,GKS08-3423_211r.org AM12-0417_050r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org Guelf-1025Novi_065r.org Arndes1487_265r.org AM08-0073_054v.org GKS08-3423_111r2.org AM04-0782_091r.org
17,kan,da,AM04-0782_216v.org Thott04-0553_021r.org Thott04-0553_125v.org Lund-0035_064v.org
18,kand,da,AM04-0782_216v.org
19,kandh,da,AM04-0784_300r.org
20,kanst,gml,UUB-C496_091v.org
21,kanut,gml,AM08-0073_013r.org
22,kardynal,gml,GKS08-3487_009v.org
23,kareste,gml,AM08-0073_055r.org
24,kariner,da,Holm-A-0042_053r.org
25,karinær,da,Lund-0035_038v.org
26,karke,gml,GKS08-3423_111r2.org
27,karlen,gml,GKS08-3487_104v.org
28,karllo,gml,GKS08-3487_104v.org
29,katherina,gml,AM08-0073_013r.org
30,ke,gml,AM08-0073_071r.org AM08-0073_055r.org AM08-0073_074v.org
31,keden,gml,GKS08-3487_001r.org
32,kedome,gml,AM08-0073_077r.org
33,keghen,gml,AM08-0073_165v.org
34,kelen,gml,AM08-0073_054v.org
35,ken,gml,AM08-0073_077r.org AM08-0073_082v.org
36,kenne,da,Thott04-0553_125v.org
37,kennes,da,Thott04-0553_022r.org
38,kennest,gml,Speghel_R1r.org AM04-0782_091r.org
39,kerche,gml,GKS08-3487_001r.org
40,kere,da,AM04-0789_001r.org AM04-0789_002v.org
41,kere,gml,GKS08-3423_211r.org AM08-0073_077r.org AM08-0073_109r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org
42,keren,gml,AM12-0417_050r.org Speghel_R1r.org AM04-0782_091r.org
43,keret,gml,AM12-0417_073v.org AM08-0073_080r.org
44,kerke,gml,AM08-0070_001r.org AM08-0073_013r.org GKS08-3423_111r2.org
45,kerken,gml,UUB-C496_002r.org UUB-C496_003r.org GKS08-3487_009v.org AM08-0073_013r.org AM08-0073_136v.org GKS08-3487_001r.org UBB-C496_019v.org
46,kerlighedh,da,Thott04-0553_021r-2.org
47,kerligheet,da,AM08-0075_022v-4.org
48,kerlighet,da,AM04-0789_001r.org AM04-0782_001r.org AM04-0784_080r.org
49,kerlyghet,da,AM04-0782_001r.org AM04-0784_080r.org
50,keryste,da,AM04-0784_080r.org
51,kes,gml,AM08-0073_082v.org
52,keterye,gml,GKS08-3487_001r.org
53,ketteren,gml,Arndes1487_265r.org
