,word,language,documents
0,l,gml,AM08-0073_044r.org
1,laa,da,AM04-0782_001r.org AM04-0784_080r.org
2,labia,gml,AM08-0073_044r.org
3,lach,gml,Beschauwing_009.org Hamburg-CodConv-6_002r.org GKS08-3423_202v.org
4,lad,da,AM08-0073_098r.org Holm-A-0042_053r.org AM08-0070_247r_m.org AM12-0421_030r.org
5,lade,da,AM04-0789_001r.org AM04-0789_002v.org
6,lade,gml,AM12-0417_073v.org
7,laden,gml,AM08-0073_088v.org
8,lader,da,AM08-0079Ieta_001r.org
9,ladest,gml,Beschauwing_009.org
10,ladet,da,NKS08-0045_120v.org
11,ladh,da,GKS04-1615_019r.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM04-0789_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org Lund-0035_023v.org
12,laet,other,Guelf08-6114Aug_181r.org
13,lafsstelik,da,AM08-0072_127r.org
14,lagde,da,AM04-0789_002v.org Thott04-0553_125v.org
15,lam,gml,AM08-0073_080r.org
16,lambrecht,gml,AM08-0073_013r.org
17,lanck,gml,Gott-Theol242f_103r.org
18,lancth,da,GKS04-1615_009r.org
19,land,gml,AM08-0073_013r.org
20,lande,gml,NKS08-0045_174r.org AM08-0070_001r.org
21,lande,other,Guelf08-6114Aug_181r.org
22,landh,da,Holm-A-0042_053r.org Lund-0035_038v.org
23,lange,da,UUB-C496_136r.org
24,lange,gml,Gott-Theol242f_103r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_013r.org
25,langen,gml,AM12-0417_063r.org
26,langer,gml,GKS08-3423_111r2.org
27,langh,da,UUB-C496_136r.org
28,langhe,gml,GKS08-3423_211r.org GKS08-3487_001r.org
29,langhen,gml,AM08-0073_099r.org
30,lant,gml,AM12-0417_073v.org
31,lanth,da,NKS08-0045_120v.org
32,laren,gml,UBB-C496_019v.org
33,las,da,AM08-0073_098r.org
34,las,gml,UUB-C496_091v.org
35,lastefwlle,da,AM04-0789_001r.org
36,lastere,gml,AM12-0417_001r.org
