,word,language,documents
0,m,gml,GKS08-3423_211r.org
1,m,da,AM04-0782_216v.org AM04-0789_001r.org
2,ma,gml,AM08-0073_067r.org AM08-0073_055r.org
3,ma,da,Holm-A-0042_052v.org AM08-0075_022v-4.org Holm-A-0042_051v.org Lund-0035_064v.org
4,maa,da,AM08-0073_098r.org Thott04-0553_021r-2.org AM04-0782_216v.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org
5,maade,da,AM04-0782_216v.org AM04-0784_300r.org
6,mach,gml,GKS08-3423_211r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3423_109v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org GKS08-3423_202v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org Arndes1487_265r.org AM08-0073_080r.org GKS08-3423_111r2.org GKS08-3487_104v.org NKS08-0045_166r.org
7,machen,gml,AM04-0782_091r.org
8,machstu,gml,Speghel_R1r.org
9,macht,gml,NKS08-0045_187r.org AM08-0073_109r.org AM08-0070_003r.org Hamburg-CodConv-6_002r.org AM08-0073_013r.org Arndes1487_265r.org
10,macht,da,Thott04-0553_015v.org Thott04-0553_021r.org AM08-0079Ieta_001r.org
11,macke,gml,GKS08-3487_104v.org
12,macth,da,AM12-0421_030r.org
13,magda,da,Lund-0035_064v.org
14,magdalena,gml,AM08-0073_013r.org
15,magdalena,da,Thott04-0553_125v.org AM08-0075_063r.org Holm-A-0042_095v.org AM12-0420_026r.org
16,magdalenen,other,Guelf08-6114Aug_181r.org
17,magdalenen,gml,Gott-Theol242f_103r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Speghel_R1r.org Beinecke-0218_127r.org UUB-C496_095r.org AM04-0782_091r.org
18,magdalenes,da,Thott04-0553_015v.org
19,maget,other,Guelf08-6114Aug_181r.org
20,maget,gml,UUB-C496_091v.org Beschauwing_009.org AM12-0417_050r.org Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org UUB-C496_095r.org
21,magetdom,gml,AM04-0789_005r.org
22,magh,gml,Beinecke-0218_127r.org
23,maghet,gml,Hamburg-CodConv-6_002r.org AM08-0073_074v.org GKS08-3487_001r.org
24,maghetdome,gml,Hamburg-CodConv-6_002r.org
25,maghin,other,Holm-A-0029_145v.org
26,magna,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
27,magnificat,gml,AM08-0073_237v.org GKS08-3423_071v.org GKS08-3423_109v.org
28,magnificat,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
29,magnificat,da,GKS04-1613_161r.org AM08-0075_063r.org
30,magnus,gml,AM08-0073_013r.org
31,maiestas,gml,GKS08-3487_104v.org
32,mak,gml,AM08-0073_055r.org
33,make,gml,UUB-C496_091v.org AM08-0070_064r.org AM12-0417_001r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM08-0070_003r.org AM08-0073_093r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org AM12-0417_073v.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_055r.org AM08-0073_054v.org AM08-0073_074v.org
34,makede,gml,AM08-0073_088v.org AM08-0073_044r.org AM08-0073_054v.org AM08-0073_074v.org
35,makeden,gml,AM08-0070_003r.org
36,makedest,gml,AM12-0417_001r.org AM08-0073_088v.org
37,maken,gml,Speghel_R1r.org AM08-0073_013r.org GKS08-3423_111r2.org
38,makende,gml,AM08-0073_071r.org
39,makest,gml,AM08-0070_064r.org Beschauwing_009.org
40,maket,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org GKS08-3423_109v.org AM08-0073_044r.org
41,makt,da,GKS04-1613_161r.org Holm-A-0042_053r.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org
42,male,gml,Hamburg-CodConv-6_002r.org Arndes1487_265r.org AM12-0417_063r.org
43,mall,da,Holm-A-0042_055v.org
44,man,gml,AM12-0417_001r.org AM08-0073_077r.org Koln-W52_167r.org AM08-0073_082v.org Beschauwing_009.org AM12-0417_073v.org AM08-0073_013r.org Arndes1487_265r.org GKS08-3487_104v.org NKS08-0045_166r.org
45,man,da,GKS04-1615_019r.org AM08-0075_022v-4.org NKS08-0045_120v.org Holm-A-0042_095v.org AM08-0075_009r.org
46,manck,gml,AM12-0417_073v.org Beinecke-0218_127r.org GKS08-3487_104v.org AM12-0417_063r.org
47,mand,da,AM04-0782_001r.org AM04-0784_080r.org Kalmar-0033_139v.org
48,mandom,da,AM08-0070_253v.org AM04-0789_002v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org GKS04-1614_001r.org
49,mandoms,da,AM04-0782_001r.org
50,mandomss,da,AM04-0784_080r.org
51,mandz,da,NKS08-0045_120v.org
52,mane,gml,AM08-0073_071r.org AM08-0073_054v.org
53,manen,gml,Koln-W52_167r.org AM08-0073_044r.org
54,manet,gml,GKS08-3487_009v.org
55,mange,da,Holm-A-0042_054v.org Holm-A-0042_055v.org AM04-0789_002v.org
56,mangefald,da,AM04-0789_002v.org
57,mangefoldhet,da,Holm-A-0042_055r.org
58,manghe,da,Holm-A-0042_095v.org
59,mangk,gml,AM08-0073_099r.org Beinecke-0218_127r.org
60,mank,gml,AM08-0073_094r.org GKS08-3423_211r.org AM08-0073_109r.org AM08-0073_082v.org GKS08-3423_001r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_055r.org
61,manliken,gml,NKS08-0045_194r.org
62,mannes,gml,AM08-0073_055r.org
63,manngenn,da,AM08-0073_011v.org
64,mannich,gml,AM08-0073_054v.org
65,mannichuoldicheit,gml,AM08-0073_013r.org
66,mannichuoldigen,gml,AM08-0073_054v.org
67,mans,da,AM08-0072_128r.org AM08-0072_128v.org
68,mante,gml,GKS08-3423_111r2.org
69,manynghe,gml,GKS08-3423_211r.org
70,marcellus,gml,AM08-0073_013r.org
71,march,gml,GKS08-3423_211r.org
72,marcus,gml,AM08-0073_013r.org
73,margareta,gml,AM12-0417_050r.org
74,margaretha,gml,AM08-0073_013r.org
75,mari,gml,AM08-0073_071r.org AM08-0073_067r.org AM08-0073_080r.org
76,maria,da,AM08-0072_129v.org AM08-0072_128r.org AM08-0070_253v.org GKS04-1613_161r.org AM08-0072_128v.org Thott04-0553_021r-2.org AM12-0421_072r.org Holm-A-0042_055v.org AM12-0421_022r.org Holm-A-0042_052v.org AM04-0789_001r.org AM04-0784_092r.org AM04-0782_001r.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_020v.org AM04-0789_002v.org Thott04-0553_125v.org Thott04-0553_021v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0421_030r.org AM12-0420_026r.org AM08-0072_126r.org AM04-0784_080r.org Lund-0035_023v.org AM08-0072_127r.org GKS04-1614_001r.org
77,maria,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org Gott-Theol242f_103r.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org Guelf-1155Helmst_308v.org AM08-0073_093r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org AM08-0073_230r.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org UUB-C496_001r.org AM08-0073_087r.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org GKS08-3487_104v.org AM04-0789_005r.org AM12-0417_063r.org
78,maria,other,Holm-A-0042_032r.org AM08-0070_254r.org Guelf08-6114Aug_181r.org Kalmar-0033_037v.org
79,mariam,gml,AM08-0073_055r.org GKS08-3487_104v.org
80,mariam,da,NKS08-0045_120v.org
81,marian,gml,AM12-0417_063r.org
82,mariaria,gml,Gott-Theol242f_103r.org
83,marie,da,Thott04-0553_015v.org Thott04-0553_125v.org AM04-0784_080r.org
84,marie,gml,AM08-0073_099r.org AM08-0073_109r.org Speghel_R1r.org AM04-0782_091r.org
85,marien,gml,AM08-0073_077r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_165v.org Koln-W52_167r.org AM08-0073_109r.org AM08-0070_003r.org AM08-0073_071r.org UUB-C496_002r.org Guelf-1155Helmst_308v.org AM08-0073_093r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org Speghel_R1r.org AM08-0070_001r.org Beinecke-0218_127r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_136v.org AM08-0073_054v.org AM08-0073_074v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org AM12-0417_063r.org
86,marien,other,AM08-0070_254r.org Guelf08-6114Aug_181r.org
87,mariinus,gml,AM08-0073_013r.org
88,maris,gml,AM08-0073_082v.org
89,mariæ,da,AM08-0070_002v.org AM04-0782_001r.org NKS08-0045_120v.org
90,martelare,gml,NKS08-0045_166r.org
91,martelere,gml,AM12-0417_050r.org
92,marteleren,gml,AM12-0417_050r.org
93,martelers,gml,NKS08-0045_194r.org
94,marter,gml,Beschauwing_009.org AM08-0073_013r.org UBB-C496_019v.org
95,martere,gml,AM08-0073_109r.org UBB-C496_019v.org
96,martha,gml,AM08-0073_013r.org
97,martinus,gml,AM08-0073_013r.org
98,martir,da,Holm-A-0042_054v.org AM08-0072_126r.org
99,marya,gml,GKS08-3423_211r.org GKS08-3423_071v.org GKS08-3423_111r2.org
100,maryen,gml,GKS08-3423_001r.org GKS08-3423_111r2.org
101,mate,gml,AM08-0070_003r.org NKS08-0045_174r.org AM08-0070_001r.org Arndes1487_265r.org
102,mater,gml,AM08-0070_003r.org AM08-0073_067r.org
103,materilik,gml,AM08-0070_003r.org
104,mathis,gml,AM08-0073_013r.org
105,matrris,gml,GKS08-3487_009v.org
106,matte,da,AM08-0072_126r.org AM08-0075_009r.org AM08-0072_127r.org
107,matthe,da,AM08-0072_127r.org
108,maurus,gml,AM08-0073_013r.org
109,mdeme,gml,AM08-0073_099r.org
110,mdoer,gml,AM08-0073_099r.org
111,me,gml,AM08-0073_099r.org AM08-0073_082v.org AM08-0073_088v.org UUB-C496_001v.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org GKS08-3487_104v.org
112,me,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
113,mea,gml,AM08-0073_044r.org
114,mea,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
115,mea,da,AM08-0073_011v.org
116,meam,gml,NKS08-0045_174r.org AM08-0073_013r.org
117,meam,other,Holm-A-0042_032r.org
118,mec,da,GKS04-1615_019r.org
119,mechtet,gml,AM08-0073_071r.org
120,mechtich,gml,UUB-C496_091v.org
121,mechticheit,gml,AM08-0073_099r.org AM08-0073_109r.org AM12-0417_063r.org
122,mechtildmettilde,da,Holm-A-0042_052v.org
123,mechtych,gml,GKS08-3423_111r2.org
124,mectistæ,da,AM04-0784_080r.org
125,mectugh,da,GKS04-1615_019r.org
126,mectwgh,da,GKS04-1615_019r.org
127,mectwghe,da,GKS04-1615_019r.org
128,mectystæ,da,AM04-0782_001r.org
129,med,other,AM08-0070_254r.org
130,med,da,AM12-0421_072r.org AM04-0782_216v.org AM12-0421_030r.org
131,mede,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org Hamburg-CodConv-6_002r.org GKS08-3423_001r.org UUB-C496_095r.org AM08-0073_055r.org
132,mede,other,AM08-0070_254r.org
133,medelidinge,gml,AM08-0073_165v.org
134,medelidynghe,gml,GKS08-3487_001r.org
135,medelydich,gml,GKS08-3487_001r.org
136,medelydych,gml,GKS08-3423_211r.org
137,medelydynghe,gml,GKS08-3423_211r.org
138,medferder,da,AM08-0075_009r.org
139,medgong,da,AM04-0784_026v_m.org
140,medh,da,AM12-0421_030r.org
141,medytatio,gml,GKS08-3423_111r2.org
142,meed,da,AM12-0421_030r.org
143,meenløs,da,Holm-A-0042_054v.org
144,meer,gml,Beschauwing_009.org AM08-0070_001r.org AM08-0073_044r.org Arndes1487_265r.org GKS08-3487_001r.org
145,meers,gml,AM08-0073_054v.org
146,meg,da,AM08-0072_128r.org AM08-0072_128v.org AM12-0421_072r.org AM04-0784_092r.org AM04-0782_001r.org AM12-0421_030r.org AM04-0784_080r.org AM08-0072_127r.org
147,meget,da,AM08-0079Ieta_001r.org
148,megh,da,AM08-0072_129v.org AM08-0072_128r.org GKS04-1615_019r.org AM08-0072_128v.org AM04-0782_001r.org Thott04-0553_021r.org AM12-0421_030r.org AM04-0784_080r.org AM08-0072_127r.org
149,meglæ,da,Thott04-0553_015v.org
150,meherticheit,gml,AM08-0073_082v.org
151,mei,gml,GKS08-3487_009v.org AM08-0073_013r.org
152,mei,other,AM08-0070_254r.org
153,mek,gml,Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org
154,mek,da,GKS04-1613_161r.org Thott04-0553_022r.org Thott04-0553_015v.org Thott04-0553_021r.org Thott04-0553_125v.org Thott04-0553_021v.org
155,mektig,da,AM08-0075_063r.org
156,mektige,da,AM08-0075_063r.org
157,mektighe,da,AM08-0075_063r.org
158,mektista,da,GKS04-1613_161r.org
159,mektugestæ,da,Holm-A-0042_055r.org
160,mektugæste,da,Holm-A-0042_055v.org
161,mel,gml,AM08-0073_082v.org AM08-0073_088v.org AM08-0073_074v.org
162,meland,da,AM04-0782_216v.org
163,melchior,gml,GKS08-3487_104v.org
164,melchise,gml,AM08-0073_082v.org
165,mele,gml,AM08-0073_082v.org
166,melen,gml,AM08-0073_082v.org
167,melle,da,Holm-A-0042_095v.org
168,mellen,da,Thott04-0553_125v.org
169,mellom,da,NKS08-0045_120v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org
170,mellum,da,GKS04-1615_009r.org
171,melske,da,Thott04-0553_125v.org
172,men,da,GKS04-1613_161r.org Holm-A-0042_055v.org AM04-0782_216v.org Holm-A-0042_052v.org AM04-0782_001r.org Thott04-0553_015v.org AM04-0784_300r.org AM04-0789_002v.org Lund-0035_064v.org AM04-0784_080r.org
173,men,gml,AM12-0417_001r.org GKS08-3423_211r.org Koln-W52_167r.org AM08-0073_109r.org AM08-0070_003r.org Guelf-1155Helmst_308v.org UUB-C496_003r.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Speghel_R1r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org Arndes1487_265r.org GKS08-3423_111r2.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org AM04-0789_005r.org AM12-0417_063r.org
174,menden,gml,AM08-0073_109r.org
175,mendest,gml,GKS08-3423_211r.org
176,mene,gml,AM12-0417_001r.org GKS08-3487_001r.org
177,menegerleyde,other,AM08-0070_254r.org
178,menen,gml,GKS08-3487_001r.org
179,mengede,gml,AM12-0417_073v.org AM08-0073_013r.org
180,mennich,gml,UUB-C496_091v.org AM08-0070_003r.org
181,mennichuoldicheit,gml,AM12-0417_073v.org AM08-0073_054v.org
182,mennichuoldighet,gml,AM08-0070_003r.org
183,mennichuoldyghen,gml,GKS08-3487_001r.org
184,mennighen,gml,Arndes1487_265r.org
185,menniska,da,Lund-0035_064v.org
186,menniske,da,Holm-A-0042_054v.org Holm-A-0042_055v.org AM04-0782_216v.org Holm-A-0042_053r.org AM04-0789_001r.org AM08-0075_022v-4.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org AM08-0075_009r.org
187,mennisken,da,Thott04-0553_020v.org Holm-A-0042_051v.org Lund-0035_064v.org Holm-A-0042_095v.org AM04-0784_080r.org
188,menniskes,da,AM12-0421_022r.org NKS08-0045_120v.org Thott04-0553_125v.org Lund-0035_064v.org AM12-0421_030r.org
189,menniskæ,da,GKS04-1613_161r.org AM04-0782_216v.org NRA-0085-b_001v.org AM04-0784_300r.org NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM04-0784_080r.org
190,mennych,gml,AM12-0417_073v.org
191,mennychuoldyghen,gml,GKS08-3423_211r.org GKS08-3487_001r.org
192,mennyger,gml,GKS08-3423_211r.org
193,mennygerleie,gml,AM12-0417_001r.org
194,mennyske,da,AM04-0782_001r.org AM04-0784_080r.org
195,mennysken,da,AM04-0782_001r.org AM04-0784_080r.org
196,mennyskens,da,AM04-0782_001r.org
197,menscap,gml,AM08-0073_136v.org
198,mensche,gml,Gott-Theol242f_103r.org Koln-W52_167r.org
199,menscheit,gml,Koln-W52_167r.org
200,menschen,gml,AM08-0073_044r.org
201,menschop,gml,GKS08-3487_001r.org
202,menschoppynghe,gml,GKS08-3487_001r.org
203,mente,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
204,meo,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
205,mer,gml,GKS08-3423_211r.org AM08-0073_109r.org AM08-0070_003r.org AM08-0073_044r.org Arndes1487_265r.org AM08-0073_054v.org
206,merch,gml,GKS08-3423_211r.org
207,mere,da,Lund-0035_064v.org
208,mere,gml,UUB-C496_091v.org GKS08-3487_001r.org
209,merealis,gml,GKS08-3487_104v.org
210,merer,gml,AM12-0417_063r.org
