,word,language,documents
0,pa,da,Holm-A-0042_055r.org Holm-A-0042_054v.org GKS04-1613_161r.org AM12-0421_022r.org Thott04-0553_015v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
1,paa,da,Holm-A-0042_055r.org AM12-0421_022r.org AM04-0789_001r.org Holm-A-0042_051v.org NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0421_030r.org AM04-0784_080r.org
2,paamyner,da,Holm-A-0042_095v.org
3,paamynner,da,Holm-A-0042_095v.org
4,paanie,da,AM04-0782_216v.org
5,paater,gml,AM08-0073_044r.org
6,paeschelam,gml,Speghel_R1r.org
7,paffuæ,da,Lund-0035_038v.org
8,pafor,da,Lund-0035_064v.org
9,page,gml,AM08-0073_044r.org
10,pallas,gml,AM08-0073_099r.org AM12-0417_050r.org AM12-0417_063r.org
11,palme,gml,AM08-0073_099r.org AM12-0417_063r.org
12,pamyner,da,Holm-A-0042_095v.org
13,pamynner,da,Holm-A-0042_095v.org
14,paradiis,gml,Beinecke-0218_127r.org
15,paradiis,da,Thott04-0553_125v.org
16,paradijs,gml,UUB-C496_095r.org
17,paradijs,da,AM08-0072_129v.org AM12-0420_026r.org
18,paradis,other,Guelf08-6114Aug_181r.org
19,paradises,gml,AM12-0417_050r.org
20,paradiss,da,AM04-0782_216v.org
21,paradys,gml,GKS08-3423_211r.org Hamburg-CodConv-6_002r.org
22,paradyse,gml,GKS08-3423_211r.org AM08-0073_230r.org
23,paradyses,gml,Arndes1487_265r.org
24,paredis,da,Lund-0035_064v.org Holm-A-0042_095v.org
25,pasche,gml,Gott-Theol242f_103r.org Guelf-1155Helmst_308v.org UUB-C496_095r.org
26,paschen,gml,Guelf-1155Helmst_308v.org
27,paska,da,Lund-0035_064v.org
28,paske,gml,GKS08-3423_211r.org
29,passche,gml,Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org
30,passche,other,Guelf08-6114Aug_181r.org
31,passchen,gml,Guelf-1025Novi_230r.org
32,pastere,other,AM08-0070_254r.org
