,word,language,documents
0,quade,gml,AM08-0073_013r.org
1,quademe,gml,GKS08-3487_001r.org
2,quaden,gml,AM12-0417_001r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0073_013r.org UUB-C496_001r.org GKS08-3487_001r.org
3,quader,gml,AM12-0417_001r.org Speghel_R1r.org GKS08-3487_001r.org
4,quadraginta,gml,AM08-0070_003r.org
5,quale,gml,UBB-C496_019v.org
6,quam,gml,UUB-C496_091v.org Beschauwing_009.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org AM08-0070_001r.org NKS08-0045_194r.org Beinecke-0218_127r.org AM08-0073_013r.org UUB-C496_095r.org AM04-0789_005r.org
7,quam,other,Guelf08-6114Aug_181r.org
8,quan,gml,Arndes1487_265r.org
9,quat,gml,Hamburg-CodConv-6_002r.org AM08-0073_074v.org AM04-0789_005r.org
10,quegh,da,Lund-0035_023v.org
11,quem,gml,AM08-0070_001r.org
12,queme,gml,AM08-0070_003r.org
13,quemen,gml,AM08-0070_003r.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org UUB-C496_095r.org
14,quemen,other,Guelf08-6114Aug_181r.org
15,qui,gml,GKS08-3487_009v.org
16,qui,da,AM08-0072_126r.org
17,qui,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
18,quia,other,Holm-A-0042_032r.org
19,quick,gml,AM08-0073_054v.org
20,quickede,other,AM08-0070_254r.org
21,quicumque,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
22,quik,gml,AM08-0073_044r.org
23,quilkende,gml,AM04-0782_091r.org
24,quinner,da,AM12-0420_026r.org
25,quinnæ,da,AM12-0420_026r.org
26,quinnæs,da,AM08-0075_063r.org
27,quis,gml,GKS08-3487_009v.org
28,quis,da,UUB-C496_136r.org AM08-0073_011v.org
29,quoniam,other,AM08-0070_254r.org
30,quorum,gml,AM08-0073_013r.org
31,qvi,da,UUB-C496_136r.org
32,qvinnæ,da,AM04-0782_001r.org
33,qwade,gml,GKS08-3487_104v.org
34,qwader,gml,AM04-0782_091r.org
35,qwaet,gml,GKS08-3487_104v.org
36,qwide,da,Thott04-0553_020v.org
37,qwinde,da,AM04-0784_092r.org AM04-0784_080r.org
38,qwinne,da,AM04-0789_001r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_023v.org
39,qwinner,da,AM08-0079Ieta_001r.org Holm-A-0042_095v.org
40,qwinnæ,da,Thott04-0553_125v.org
41,qwinnær,da,Lund-0035_064v.org
42,qwyndhæ,da,AM04-0784_080r.org
43,qwynnes,da,GKS04-1615_019r.org
44,qwynnæ,da,Thott04-0553_125v.org
45,qwær,da,AM08-0079Ieta_001r.org
