,word,language,documents
0,r,gml,AM08-0073_099r.org Guelf-1025Novi_230r.org AM08-0073_044r.org UBB-C496_019v.org
1,r,da,AM08-0072_128r.org GKS04-1615_019r.org
2,r,other,Holm-A-0042_032r.org
3,ra,gml,AM08-0073_067r.org
4,raad,da,NKS08-0045_120v.org
5,raadh,da,Thott04-0553_125v.org
6,rad,da,NKS08-0045_120v.org AM12-0420_026r.org
7,rade,gml,AM12-0417_001r.org Gott-Theol242f_103r.org Koln-W52_167r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Beinecke-0218_127r.org UUB-C496_095r.org GKS08-3487_001r.org
8,rade,other,Guelf08-6114Aug_181r.org
9,rades,gml,AM08-0073_109r.org GKS08-3487_001r.org
10,radh,da,NKS08-0045_120v.org Lund-0035_064v.org Holm-A-0042_095v.org
11,radhe,gml,GKS08-3487_001r.org
12,raet,gml,AM12-0417_001r.org
13,rand,da,Holm-A-0042_053r.org Lund-0035_038v.org
14,randh,da,Holm-A-0042_053r.org Lund-0035_038v.org
15,ransager,da,Holm-A-0042_054r.org
16,raphael,da,AM04-0784_026v_m.org
17,raphael,gml,AM08-0073_013r.org
18,raphaelem,da,UUB-C496_136r.org
19,raphaelss,da,UUB-C496_136r.org
20,rast,gml,UUB-C496_003r.org
21,rauen,gml,AM08-0073_077r.org AM08-0073_013r.org
22,re,gml,AM08-0073_109r.org AM08-0073_082v.org AM08-0073_088v.org AM08-0073_054v.org
23,recht,gml,Beschauwing_009.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org Arndes1487_265r.org AM08-0073_054v.org
24,rechte,gml,UUB-C496_091v.org AM08-0070_003r.org GKS08-3423_202v.org AM08-0073_013r.org AM08-0073_080r.org GKS08-3487_001r.org GKS08-3487_104v.org Beinecke-0218_157r.org
25,rechteme,gml,AM08-0070_003r.org AM08-0073_013r.org
26,rechten,gml,GKS08-3423_211r.org AM08-0073_109r.org AM08-0070_003r.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org AM08-0073_074v.org
27,rechter,gml,AM08-0073_013r.org GKS08-3487_001r.org
28,rechteren,gml,Beinecke-0218_127r.org AM08-0073_136v.org
29,rechtes,gml,AM08-0073_074v.org
30,rechticheit,gml,AM08-0073_082v.org AM08-0070_003r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org
31,rechtuerdich,gml,GKS08-3487_001r.org AM12-0417_063r.org
32,rechtuerdicheit,gml,AM08-0070_064r.org AM08-0070_003r.org AM12-0417_073v.org
33,rechtuerdicheyt,gml,AM12-0417_001r.org
34,rechtuerdigen,gml,AM12-0417_001r.org
35,rechtuerdycheyt,gml,Speghel_R1r.org
36,rechtwedich,gml,AM08-0073_099r.org
37,rechtwerdichheyt,gml,AM04-0782_091r.org
38,rechtwerdighen,gml,AM08-0073_230r.org
39,rechuerdicheit,gml,AM08-0070_064r.org
40,recita,gml,GKS08-3487_009v.org
41,reck,gml,AM12-0417_050r.org
42,reckede,gml,AM12-0417_073v.org AM08-0073_013r.org
43,reckeden,gml,GKS08-3423_211r.org
44,recken,gml,AM08-0073_074v.org
45,reckynghe,gml,GKS08-3487_001r.org
46,recordatus,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
47,recth,gml,GKS08-3487_104v.org
48,recthe,gml,GKS08-3487_104v.org
