,word,language,documents
0,s,da,AM04-0784_080r.org
1,s,gml,AM08-0073_013r.org AM04-0789_005r.org
2,sa,da,Holm-A-0042_055r.org Holm-A-0042_054v.org UUB-C496_136r.org GKS04-1613_161r.org Holm-A-0042_055v.org Holm-A-0042_053r.org Holm-A-0042_051v.org Holm-A-0042_095v.org AM12-0421_030r.org
3,sa,gml,AM08-0073_055r.org
4,saa,da,AM04-0784_026v_m.org AM08-0073_098r.org GKS04-1615_019r.org AM04-0782_216v.org Holm-A-0042_052v.org AM08-0073_011v.org AM04-0782_001r.org AM08-0075_022v-4.org AM08-0079Ieta_001r.org Holm-A-0042_051v.org Lund-0035_064v.org AM12-0421_030r.org AM12-0420_026r.org AM04-0784_080r.org
5,saade,da,AM04-0782_216v.org
6,saar,other,AM08-0070_254r.org
7,saar,da,Holm-A-0042_055r.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM04-0789_001r.org Lund-0035_038v.org AM12-0421_030r.org
8,saare,da,Thott04-0553_125v.org Lund-0035_064v.org
9,saast,da,NRA-0085-b_001v.org Thott04-0553_125v.org
10,saat,da,AM04-0789_002v.org
11,saath,da,Lund-0035_023v.org
12,sacerdotes,other,AM08-0070_254r.org
13,sach,gml,AM12-0417_073v.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_074v.org UBB-C496_019v.org
14,sacharias,gml,AM12-0417_001r.org
15,sachmodich,gml,NKS08-0045_187r.org
16,sachmodigeste,gml,AM12-0417_050r.org
17,sacht,gml,AM08-0073_082v.org AM08-0073_054v.org
18,sachten,gml,AM08-0073_013r.org
19,sachtmodicheit,gml,AM08-0073_088v.org AM08-0073_013r.org
20,sachtnisse,gml,NKS08-0045_194r.org
21,sacrament,gml,GKS08-3487_001r.org
22,sacramenten,gml,GKS08-3487_001r.org
23,sacramenth,da,AM08-0072_126r.org
24,sacramentæ,da,NKS08-0045_120v.org
25,sades,gml,GKS08-3423_111r2.org
26,sadet,gml,AM08-0073_082v.org
27,sadh,da,GKS04-1615_019r.org
28,sadhe,da,AM04-0782_001r.org
29,saet,gml,AM08-0073_077r.org AM12-0417_073v.org
30,sagde,da,Thott04-0553_021r-2.org AM04-0789_001r.org AM08-0079Ieta_001r.org Thott04-0553_125v.org AM04-0784_080r.org
31,sagdhæ,da,AM04-0784_080r.org
32,sagdæ,da,AM04-0784_080r.org
33,sagt,da,NKS08-0045_120v.org
34,sagtmodig,da,NKS08-0045_120v.org
35,sake,gml,AM08-0070_003r.org
36,sal,gml,Koln-W52_167r.org
37,salchliken,gml,AM08-0073_099r.org
38,sale,gml,GKS08-3423_111r2.org
39,salen,gml,AM08-0073_082v.org AM08-0073_071r.org AM08-0073_088v.org
40,salich,gml,AM08-0073_094r.org AM12-0417_001r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_237v.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_055r.org GKS08-3487_001r.org AM12-0417_063r.org
41,salicheit,gml,AM08-0073_109r.org AM08-0070_003r.org UUB-C496_002r.org AM08-0073_013r.org AM08-0073_054v.org NKS08-0045_166r.org
42,salicheyt,gml,GKS08-3487_001r.org
43,salichliken,gml,AM08-0073_099r.org AM12-0417_063r.org
44,salichmake,gml,AM08-0070_003r.org
45,salichmaker,gml,AM12-0417_001r.org AM08-0073_109r.org UUB-C496_002r.org Speghel_R1r.org AM08-0070_001r.org AM08-0073_080r.org
46,salichmakere,gml,AM08-0073_077r.org
47,salichmakers,gml,AM08-0070_001r.org
48,salichsten,gml,AM08-0073_044r.org
49,salickmacker,gml,AM04-0782_091r.org
50,salige,gml,AM08-0073_099r.org AM08-0073_093r.org AM12-0417_063r.org
51,saligen,gml,AM08-0073_093r.org AM08-0073_044r.org
52,saligen,other,Guelf08-6114Aug_181r.org
53,saligeste,gml,AM12-0417_050r.org Guelf-1025Novi_065r.org
54,saligesten,gml,AM08-0073_044r.org
55,saligh,gml,AM08-0073_054v.org
56,salighe,gml,AM12-0417_001r.org AM08-0073_099r.org AM12-0417_050r.org AM12-0417_063r.org
57,salighen,gml,AM08-0070_001r.org
58,salighet,da,AM08-0075_063r.org
59,salligh,da,GKS04-1613_161r.org
60,sallighet,da,Holm-A-0042_054v.org GKS04-1613_161r.org
61,salme,gml,AM12-0417_073v.org
62,salmen,gml,AM08-0073_044r.org AM08-0073_013r.org
63,salmon,other,Guelf08-6114Aug_181r.org
64,salmæ,da,AM08-0076_113r.org
65,salomon,gml,Gott-Theol242f_103r.org Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org Beinecke-0218_127r.org
66,salue,da,AM08-0072_126r.org
67,salue,gml,AM08-0073_088v.org
68,saluinghe,gml,AM12-0417_001r.org
69,salutari,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
70,salych,gml,GKS08-3423_211r.org GKS08-3423_109v.org GKS08-3423_001r.org GKS08-3423_111r2.org GKS08-3487_104v.org
71,salycheit,gml,AM08-0073_230r.org
72,salycheyt,gml,GKS08-3423_211r.org GKS08-3423_111r2.org
73,salychmaker,gml,GKS08-3423_001r.org
74,salygen,gml,GKS08-3487_001r.org
75,salyghedh,da,AM04-0782_001r.org AM04-0784_080r.org
76,salyghet,da,AM04-0782_001r.org AM04-0784_080r.org
77,same,da,Lund-0035_064v.org Holm-A-0042_095v.org AM08-0072_127r.org
78,samel,da,Holm-A-0042_095v.org
79,samelinge,gml,AM08-0073_109r.org AM08-0073_013r.org
80,samen,gml,AM08-0070_003r.org GKS08-3487_001r.org
81,samen,da,Lund-0035_064v.org
82,samende,gml,AM08-0073_082v.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org AM08-0073_013r.org UUB-C496_095r.org
83,samende,other,Guelf08-6114Aug_181r.org
84,samene,gml,AM08-0073_109r.org
85,samfwn,da,AM12-0421_022r.org
86,samlet,gml,AM08-0073_080r.org
87,samlinge,gml,AM08-0073_054v.org
88,samme,da,AM04-0784_026v_m.org Thott04-0553_021r.org Thott04-0553_125v.org Thott04-0553_021v.org
89,sammelde,gml,AM12-0417_073v.org
90,sammelin,gml,AM08-0073_054v.org
91,sammelinge,gml,AM08-0073_013r.org
92,sammelst,gml,AM08-0073_054v.org
93,sammelt,gml,AM12-0417_001r.org
94,sammæ,da,NKS08-0045_120v.org
95,samtøckæ,da,NKS08-0045_120v.org
96,samwitichent,gml,AM08-0073_109r.org
97,samæ,da,Lund-0035_064v.org
98,san,da,GKS04-1613_161r.org Thott04-0553_021r-2.org
99,sanck,gml,AM08-0073_109r.org
100,sancta,gml,AM12-0417_050r.org AM08-0073_044r.org AM08-0073_013r.org
101,sancta,other,Holm-A-0042_032r.org Kalmar-0033_037v.org
