,word,language,documents
0,t,gml,AM08-0073_067r.org AM12-0417_063r.org
1,taal,da,AM04-0789_001r.org
2,taar,da,AM12-0421_030r.org
3,taaræ,da,Thott04-0553_020v.org
4,taber,gml,AM08-0073_088v.org
5,tabernaculo,gml,AM08-0073_067r.org
6,tabernakel,gml,AM08-0073_088v.org
7,tabet,da,AM04-0789_002v.org Lund-0035_064v.org Holm-A-0042_095v.org
8,tabeth,da,Thott04-0553_125v.org
9,tack,da,Thott04-0553_021v.org
10,tacke,da,AM04-0782_001r.org AM04-0784_080r.org
11,tacknæmeligh,da,Thott04-0553_125v.org
12,tackæd,da,NKS08-0045_120v.org
13,tag,da,Holm-A-0042_053r.org
14,tage,da,AM04-0789_001r.org
15,taget,da,NKS08-0045_120v.org
16,tagh,da,AM04-0789_002v.org Lund-0035_038v.org AM08-0076_113r.org
17,taghe,da,AM08-0072_127r.org
18,tagæ,da,Holm-A-0042_051v.org
19,tagækors,da,Holm-A-0042_051v.org
20,take,da,AM08-0073_011v.org
21,takker,da,AM08-0075_022v-4.org AM08-0075_009r.org
22,taknameligh,da,Lund-0035_064v.org
23,taknæmæligh,da,Lund-0035_064v.org
24,tal,gml,NKS08-0045_174r.org GKS08-3423_001r.org AM08-0073_044r.org
25,tal,da,GKS04-1615_009r.org
26,tala,other,Holm-A-0029_145v.org
27,talamo,gml,GKS08-3423_111r2.org
28,tale,da,Holm-A-0042_054r.org
29,tale,gml,GKS08-3423_211r.org
30,taledæ,da,Lund-0035_064v.org Holm-A-0042_095v.org
31,talet,da,NKS08-0045_120v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_023v.org
32,taleth,da,GKS04-1615_019r.org
33,tallen,gml,AM08-0073_082v.org
34,talæ,da,AM08-0079Ieta_001r.org AM08-0072_127r.org
35,tam,gml,AM12-0417_073v.org AM08-0073_013r.org
36,tangat,gml,GKS08-3487_104v.org
37,tasten,gml,GKS08-3487_001r.org
38,tastende,gml,AM08-0070_003r.org GKS08-3487_001r.org
39,tawel,da,GKS04-1615_009r.org
40,te,other,Holm-A-0042_032r.org
41,te,gml,Gott-Theol242f_103r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_044r.org AM08-0073_013r.org Arndes1487_265r.org AM08-0073_055r.org AM08-0073_054v.org AM08-0073_074v.org NKS08-0045_166r.org
42,teck,da,AM04-0782_216v.org
43,teckelige,da,AM12-0421_030r.org
44,tede,gml,AM08-0073_071r.org AM08-0073_054v.org
45,teen,gml,AM08-0073_109r.org
46,teende,gml,AM08-0070_001r.org
47,teertz,other,AM08-0070_254r.org
48,tees,da,Holm-A-0042_095v.org
49,teg,da,AM12-0421_072r.org AM04-0784_092r.org AM04-0784_300r.org AM12-0421_030r.org AM04-0784_080r.org
50,tegen,da,Holm-A-0042_051v.org
51,tegen,gml,AM08-0070_064r.org AM08-0073_013r.org
52,tegh,da,GKS04-1615_019r.org AM12-0421_072r.org NRA-0085-b_001v.org AM04-0789_002v.org AM12-0421_030r.org AM08-0072_127r.org
53,tek,da,Thott04-0553_021r-2.org Thott04-0553_022r.org Thott04-0553_015v.org AM08-0079Ieta_001r.org Thott04-0553_125v.org Thott04-0553_021v.org
54,teken,gml,GKS08-3423_211r.org GKS08-3423_103v.org GKS08-3487_009v.org NKS08-0045_174r.org
55,tekene,gml,GKS08-3423_111r2.org
56,tekent,gml,AM08-0070_003r.org GKS08-3487_009v.org
57,teledest,gml,AM08-0073_044r.org
58,telerinne,gml,AM08-0073_077r.org AM08-0073_099r.org AM08-0073_013r.org AM08-0073_055r.org
59,telerinnen,gml,AM08-0070_003r.org AM12-0417_063r.org
60,telerynne,gml,AM08-0070_003r.org AM12-0417_063r.org
61,telerynne,da,AM08-0070_247r.org
62,telerynnen,gml,AM08-0073_094r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_013r.org
63,telet,gml,GKS08-3423_111r2.org
64,telinge,gml,AM08-0070_003r.org
65,tellerinne,other,AM08-0070_254r.org
66,temet,gml,GKS08-3423_111r2.org
67,tempel,other,Guelf08-6114Aug_181r.org
68,tempel,gml,Gott-Theol242f_103r.org AM12-0417_050r.org Guelf-1155Helmst_308v.org AM08-0073_055r.org GKS08-3423_111r2.org AM12-0417_063r.org
69,tempele,gml,AM12-0417_001r.org Guelf-1025Novi_230r.org Beinecke-0218_127r.org
70,temple,gml,AM08-0073_099r.org
71,ten,gml,AM08-0073_077r.org AM08-0073_071r.org GKS08-3423_109v.org AM08-0073_044r.org AM08-0073_054v.org
72,tenen,gml,AM08-0070_003r.org
73,tenke,da,Holm-A-0042_054r.org AM12-0421_030r.org
