,word,language,documents
0,uadere,gml,AM08-0073_013r.org
1,ualschen,gml,GKS08-3487_001r.org
2,uan,gml,AM08-0073_082v.org AM08-0073_013r.org Arndes1487_265r.org
3,uden,gml,AM08-0073_067r.org
4,uele,gml,AM08-0073_013r.org
5,ueler,gml,AM12-0417_073v.org
6,uen,gml,AM08-0073_082v.org AM08-0073_067r.org AM08-0073_080r.org AM08-0073_054v.org
7,uer,gml,AM08-0073_074v.org
8,uerdige,gml,AM08-0073_055r.org
9,uertich,gml,AM08-0070_003r.org
10,ues,gml,AM08-0073_082v.org AM08-0073_088v.org
11,uet,gml,AM08-0073_082v.org AM08-0073_054v.org
12,uetten,gml,AM12-0417_073v.org
13,uger,da,GKS04-1615_009r.org
14,uigen,gml,AM08-0073_088v.org
15,uingeren,gml,GKS08-3423_211r.org
16,uirginem,gml,AM08-0073_055r.org
17,uirgo,other,AM08-0070_254r.org
18,uites,gml,AM08-0073_054v.org
19,ulodighe,gml,AM12-0417_063r.org
20,umbekeret,other,AM08-0070_254r.org
21,umme,other,AM08-0070_254r.org
22,un,gml,AM08-0073_054v.org
23,unbeuleckede,gml,AM12-0417_063r.org
24,unde,other,AM08-0070_254r.org
25,unde,gml,AM08-0073_077r.org AM08-0073_237v.org AM08-0073_082v.org GKS08-3423_071v.org AM08-0070_003r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_080r.org AM08-0073_054v.org
26,uns,da,AM08-0070_247r.org
27,unse,gml,AM08-0073_082v.org AM08-0073_074v.org
28,unwissen,gml,AM12-0417_073v.org
29,uoldich,gml,AM12-0417_073v.org
30,uoldichliche,gml,AM08-0073_054v.org
31,uoldigheit,gml,AM08-0073_054v.org
32,uor,gml,Gott-Theol242f_103r.org AM08-0073_082v.org
33,uorlat,gml,AM08-0073_013r.org
34,uorlene,gml,AM08-0073_088v.org
35,uortmer,gml,AM08-0073_013r.org
36,up,gml,AM08-0073_077r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0073_071r.org AM08-0073_067r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_136v.org AM08-0073_054v.org GKS08-3487_104v.org
37,upboren,gml,AM08-0073_054v.org
38,upgange,gml,AM08-0073_082v.org
39,upgeghaen,gml,AM08-0073_077r.org
40,upgerich,gml,AM08-0073_054v.org
41,upgesloten,gml,AM08-0073_088v.org
42,upgestaan,gml,AM12-0417_063r.org
43,upgestan,da,AM08-0070_247r.org
44,uphore,gml,AM08-0073_013r.org
45,uplose,gml,AM08-0073_013r.org
46,upon,da,NKS08-0045_120v.org
47,upp,gml,Beinecke-0218_127r.org
48,uppaa,da,AM08-0070_002v.org
49,uppe,gml,AM08-0070_003r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_054v.org UBB-C496_019v.org
50,uprichten,gml,AM08-0073_013r.org
51,upstandingen,gml,AM08-0073_013r.org
52,urede,gml,AM08-0073_082v.org AM08-0073_071r.org
53,urolich,gml,AM08-0073_099r.org
54,urouwe,gml,AM08-0073_055r.org
55,ut,gml,AM12-0417_001r.org AM08-0070_001r.org
56,uterkorn,gml,AM12-0417_050r.org AM12-0417_063r.org
57,utersten,gml,AM12-0417_063r.org
58,utgegoten,gml,AM12-0417_063r.org
59,utgrwdh,other,AM08-0070_254r.org
60,uth,gml,AM12-0417_001r.org AM12-0417_050r.org AM08-0073_074v.org AM12-0417_063r.org
61,uthgevloten,gml,AM12-0417_001r.org
62,uthgewelt,gml,AM12-0417_063r.org
63,uuer,gml,AM08-0073_013r.org
64,uullet,gml,AM08-0073_077r.org
65,uultu,gml,AM04-0789_005r.org
66,uur,gml,AM08-0073_054v.org
67,uwen,da,AM04-0789_001r.org
68,uwenner,da,AM04-0789_001r.org
69,uwenners,da,AM04-0789_002v.org
70,uwnden,gml,AM08-0070_064r.org
71,uwr,gml,AM08-0070_064r.org
