,word,language,documents
0,v,gml,AM08-0073_099r.org AM12-0417_050r.org Guelf-1025Novi_230r.org AM08-0073_044r.org AM08-0073_080r.org UBB-C496_019v.org
1,v,da,GKS04-1615_019r.org GKS04-1613_161r.org AM12-0421_072r.org GKS04-1615_009r.org Lund-0035_064v.org Holm-A-0042_095v.org
2,v,other,Holm-A-0042_032r.org
3,va,gml,AM08-0073_082v.org AM08-0070_001r.org AM08-0073_054v.org
4,vaben,da,Holm-A-0042_051v.org
5,vachen,gml,GKS08-3487_001r.org
6,vachene,gml,GKS08-3487_001r.org
7,vacken,gml,AM04-0782_091r.org
8,vader,gml,AM12-0417_001r.org GKS08-3423_211r.org GKS08-3423_103v.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_109r.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org Guelf-1155Helmst_308v.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org Arndes1487_265r.org AM08-0073_136v.org NKS08-0041_257v.org AM08-0073_054v.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org Beinecke-0218_157r.org UBB-C496_019v.org AM12-0417_063r.org
9,vadere,gml,AM12-0417_001r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org UUB-C496_002r.org AM08-0073_088v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_080r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org UBB-C496_019v.org AM12-0417_063r.org
10,vaderlandes,gml,AM08-0073_109r.org
11,vaders,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0070_003r.org Guelf-1155Helmst_308v.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org UUB-C496_095r.org AM08-0073_136v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0789_005r.org AM12-0417_063r.org
12,vaders,other,Guelf08-6114Aug_181r.org
13,vades,gml,AM08-0073_099r.org
14,vaenheyt,gml,AM04-0782_091r.org
15,vaer,gml,AM08-0073_074v.org
16,vaken,gml,GKS08-3423_211r.org Speghel_R1r.org GKS08-3487_001r.org UBB-C496_019v.org
17,vakene,gml,AM12-0417_050r.org Arndes1487_265r.org GKS08-3487_001r.org
18,val,gml,Koln-W52_167r.org
19,valentin,gml,AM08-0073_013r.org
20,valerian,gml,AM08-0073_013r.org
21,valle,gml,AM08-0073_082v.org Hamburg-CodConv-6_002r.org AM08-0073_013r.org UUB-C496_095r.org AM04-0789_005r.org
22,vallen,gml,AM08-0073_109r.org NKS08-0045_194r.org AM12-0417_073v.org AM08-0073_044r.org UUB-C496_095r.org
23,vallenden,gml,AM08-0073_093r.org
24,vallet,gml,AM12-0417_001r.org AM08-0073_013r.org UUB-C496_095r.org
25,valsche,gml,GKS08-3487_001r.org
26,valschen,gml,AM08-0070_064r.org GKS08-3423_211r.org GKS08-3487_001r.org
27,van,other,AM08-0070_254r.org Guelf08-6114Aug_181r.org
28,van,gml,UUB-C496_091v.org AM08-0073_094r.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org GKS08-3423_103v.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_237v.org Koln-W52_167r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org UUB-C496_002r.org GKS08-3423_109v.org Guelf-1155Helmst_308v.org AM08-0073_093r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org Guelf-1025Novi_230r.org AM08-0073_230r.org Speghel_R1r.org AM08-0070_001r.org Guelf-1025Novi_065r.org NKS08-0045_194r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org UUB-C496_001r.org AM08-0073_087r.org Arndes1487_265r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM12-0417_063r.org
29,vanbuten,other,AM08-0070_254r.org
30,vand,da,Lund-0035_038v.org
31,vander,gml,AM08-0073_109r.org
32,vandh,da,Holm-A-0042_053r.org
33,vandre,da,AM04-0784_026v_m.org
34,vandy,gml,AM04-0782_091r.org
35,vandzst,da,Thott04-0553_125v.org
36,vange,gml,AM12-0417_073v.org AM08-0073_013r.org
37,vangen,gml,AM08-0073_013r.org
38,vangenne,gml,AM12-0417_073v.org
39,vanghen,gml,AM08-0073_099r.org GKS08-3487_001r.org
40,vann,gml,Gott-Theol242f_103r.org
41,vantroo,da,Thott04-0553_021r-2.org
42,var,gml,AM04-0782_091r.org
43,var,da,AM08-0072_129v.org Holm-A-0042_053r.org AM08-0079Ieta_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org
44,vare,da,Holm-A-0042_055v.org AM08-0079Ieta_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
45,vare,gml,AM08-0073_067r.org AM12-0417_073v.org AM08-0073_013r.org AM04-0782_091r.org
46,varen,gml,AM08-0073_074v.org AM04-0782_091r.org
47,varet,gml,AM08-0073_013r.org
48,varlicheit,gml,NKS08-0045_187r.org
49,varloren,gml,AM04-0782_091r.org
50,varæ,da,GKS04-1613_161r.org Thott04-0553_125v.org Lund-0035_064v.org
51,vas,gml,AM08-0073_099r.org
52,vasen,gml,GKS08-3423_211r.org
53,vast,other,Holm-A-0029_145v.org
54,vast,da,Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
55,vaste,gml,GKS08-3423_211r.org
56,vasteldaghe,gml,GKS08-3487_001r.org
57,vasten,gml,Speghel_R1r.org AM08-0073_013r.org AM04-0782_091r.org
58,vat,gml,AM04-0782_091r.org
59,vaters,gml,Koln-W52_167r.org
60,vather,gml,AM04-0782_091r.org
61,vatter,gml,Koln-W52_167r.org
62,vavtem,da,UUB-C496_136r.org
63,vbegribeligh,da,Holm-A-0042_055r.org
64,vd,da,Holm-A-0042_053r.org
65,vdaff,da,AM04-0782_216v.org
66,vden,da,Holm-A-0042_054v.org Thott04-0553_015v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Kalmar-0033_139v.org
67,vderste,da,Holm-A-0042_055v.org
68,vderstæ,da,Holm-A-0042_095v.org
69,vdh,da,Holm-A-0042_055r.org Holm-A-0042_053r.org Thott04-0553_125v.org Holm-A-0042_095v.org Lund-0035_038v.org
70,vdhe,da,Thott04-0553_125v.org
71,vdi,da,Holm-A-0042_051v.org Thott04-0553_125v.org
72,vdj,da,Lund-0035_064v.org
73,vdnde,gml,NKS08-0045_187r.org
74,vecthyt,gml,GKS08-3487_104v.org
75,ved,da,Holm-A-0042_054v.org AM04-0782_216v.org
76,vedder,gml,AM08-0073_109r.org AM04-0782_091r.org
77,vedderde,gml,AM08-0073_054v.org
78,veder,da,Holm-A-0042_052v.org
79,vedere,gml,AM08-0073_099r.org AM08-0073_109r.org AM08-0070_003r.org
80,vederen,gml,AM12-0417_001r.org GKS08-3423_109v.org AM08-0073_054v.org
81,veders,gml,AM08-0073_013r.org
82,vedh,da,Lund-0035_023v.org
83,vedhergangæ,da,Thott04-0553_021r-2.org
84,vedt,da,AM08-0073_011v.org
85,vedær,da,Lund-0035_023v.org
86,vee,da,Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
87,veedh,da,Thott04-0553_125v.org
88,veer,gml,GKS08-3487_001r.org
89,veerde,gml,GKS08-3487_104v.org
90,veerden,gml,AM04-0782_091r.org
91,veest,other,Holm-A-0029_145v.org
92,vefte,gml,GKS08-3487_104v.org
93,vegevuers,gml,GKS08-3487_104v.org
94,veghevueres,gml,GKS08-3487_009v.org
95,vegnæ,da,GKS04-1613_161r.org
96,vel,da,AM04-0782_216v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
97,veldelig,da,AM12-0420_026r.org
98,veldes,gml,AM08-0073_044r.org
99,veldæ,da,GKS04-1613_161r.org
100,veldæligh,da,Lund-0035_064v.org Holm-A-0042_095v.org
101,vele,gml,UUB-C496_091v.org GKS08-3423_211r.org AM08-0070_003r.org Guelf-1025Novi_065r.org AM08-0073_044r.org GKS08-3487_001r.org
102,velen,gml,Speghel_R1r.org UUB-C496_001r.org AM04-0782_091r.org
103,veler,gml,AM08-0073_082v.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3487_001r.org
104,velgerninger,da,AM08-0073_011v.org
105,velhet,gml,GKS08-3423_211r.org
106,velheyt,gml,GKS08-3423_211r.org
107,vell,da,AM08-0073_011v.org
108,velle,gml,GKS08-3487_001r.org
109,velsighnede,da,Thott04-0553_021r.org
110,velsigne,da,Holm-A-0042_051v.org
111,velsignet,da,Holm-A-0042_095v.org
112,velsignete,da,Thott04-0553_021r.org
113,velwilighet,da,Holm-A-0042_052v.org
114,velwiliæde,da,Holm-A-0042_055v.org
115,ven,da,UUB-C496_136r.org
116,vencknisse,gml,AM08-0073_077r.org
117,venelse,da,AM08-0079Ieta_001r.org
118,vengenisse,other,AM08-0070_254r.org
119,veni,gml,GKS08-3423_111r2.org
120,veniat,other,Holm-A-0042_032r.org
121,venknisse,gml,AM08-0073_074v.org
122,venner,da,AM04-0789_001r.org Lund-0035_064v.org Holm-A-0042_095v.org
123,vente,gml,AM08-0073_099r.org AM04-0782_091r.org
124,venturus,da,AM08-0072_126r.org
125,venyn,gml,Arndes1487_265r.org
126,ver,gml,GKS08-3423_211r.org
127,ver,da,UUB-C496_136r.org AM12-0420_026r.org
128,verbo,gml,GKS08-3487_009v.org
129,verde,gml,GKS08-3423_211r.org AM08-0073_228r.org AM04-0782_091r.org
130,verden,da,Holm-A-0042_055v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
131,verdens,da,AM04-0784_026v_m.org
132,verderen,gml,AM08-0073_237v.org
133,verdhens,da,GKS04-1615_019r.org
134,verdige,gml,AM08-0073_228r.org
135,verdige,da,AM04-0782_216v.org
136,verdighedh,da,Thott04-0553_125v.org
137,verdighet,da,AM12-0420_026r.org
138,verdighæ,da,AM04-0782_216v.org
139,verduga,da,GKS04-1613_161r.org
140,verduge,da,AM08-0070_002v.org Thott04-0553_021r.org
141,verduges,da,Holm-A-0042_055v.org
142,verduget,da,AM12-0420_026r.org
143,verdughet,da,Holm-A-0042_095v.org AM12-0420_026r.org
144,verdæligh,da,Holm-A-0042_055v.org
145,vere,da,AM08-0073_098r.org
146,vere,gml,AM08-0070_003r.org
147,verfullet,gml,Gott-Theol242f_103r.org
148,verie,da,Holm-A-0042_051v.org
149,verievære,da,Holm-A-0042_051v.org
150,veritas,gml,GKS08-3487_104v.org
151,veritate,gml,GKS08-3487_009v.org
152,verkos,gml,Gott-Theol242f_103r.org
153,verkriget,gml,Koln-W52_167r.org
154,verkundygen,gml,Gott-Theol242f_103r.org
155,verlangen,gml,Gott-Theol242f_103r.org
156,verlem,gml,AM04-0782_091r.org
157,verlene,da,AM04-0784_026v_m.org
158,verloren,gml,Gott-Theol242f_103r.org
159,verlost,gml,Gott-Theol242f_103r.org
160,verlythe,da,AM08-0072_127r.org
161,vermanet,gml,Koln-W52_167r.org
162,vermant,gml,Gott-Theol242f_103r.org
163,verne,gml,AM12-0417_001r.org AM08-0073_099r.org Speghel_R1r.org AM12-0417_073v.org AM04-0782_091r.org
164,veronicaveroneken,gml,GKS08-3423_103v.org
165,vers,da,Holm-A-0042_053r.org
166,versch,gml,NKS08-0045_174r.org
167,versen,gml,GKS08-3423_211r.org
168,versicula,da,AM04-0782_216v.org
169,versiculum,gml,AM08-0073_099r.org AM12-0417_063r.org
170,versiculus,gml,GKS08-3423_211r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org AM08-0070_001r.org AM08-0073_044r.org AM08-0073_080r.org AM08-0073_054v.org AM08-0073_074v.org
171,versiculus,da,AM08-0072_126r.org AM08-0070_247r.org AM08-0072_127r.org
172,versikel,gml,Speghel_R1r.org Arndes1487_265r.org
173,versis,da,AM04-0782_216v.org
174,versk,gml,GKS08-3423_111r2.org
175,verstest,gml,AM04-0782_091r.org
176,versus,gml,AM08-0073_099r.org AM08-0073_093r.org AM08-0073_044r.org AM04-0782_091r.org
177,vert,gml,AM04-0782_091r.org
178,verteyn,gml,Guelf-1155Helmst_308v.org
179,verteynde,gml,GKS08-3423_211r.org
180,vertich,gml,Gott-Theol242f_103r.org
181,veruullen,gml,Beschauwing_009.org
182,verwunderde,gml,Beschauwing_009.org
183,vesper,gml,AM08-0073_099r.org AM12-0417_063r.org
184,vesper,other,AM08-0070_254r.org
185,vesperas,gml,AM08-0073_082v.org
186,vespere,gml,AM08-0073_109r.org
187,vet,da,Thott04-0553_022r.org
188,vethe,da,AM04-0782_216v.org
189,vetticheit,gml,AM08-0073_054v.org
190,vetticheyt,gml,AM08-0073_082v.org
191,vey,da,UUB-C496_136r.org Holm-A-0042_053r.org Lund-0035_038v.org
192,veyfarinde,da,Kalmar-0033_139v.org
193,veyzens,da,AM04-0784_026v_m.org
194,veyæ,da,Holm-A-0042_051v.org
195,vff,gml,Koln-W52_167r.org
196,vger,da,GKS04-1615_009r.org
197,vi,da,Holm-A-0042_055v.org AM04-0782_216v.org AM08-0073_011v.org GKS04-1615_009r.org
198,via,gml,GKS08-3487_104v.org
199,viand,gml,AM08-0070_003r.org
200,viande,gml,AM12-0417_001r.org AM08-0073_082v.org UUB-C496_002r.org AM12-0417_073v.org AM08-0073_054v.org
201,vianden,gml,AM12-0417_001r.org UUB-C496_002r.org AM12-0417_073v.org
202,viant,gml,AM12-0417_001r.org AM12-0417_073v.org AM08-0073_044r.org
203,victor,gml,AM08-0073_013r.org
204,vid,da,GKS04-1613_161r.org
205,vid,gml,AM08-0073_055r.org
206,vide,da,Holm-A-0042_055v.org
207,vide,other,AM08-0070_254r.org
208,vidhe,da,Thott04-0553_125v.org
209,vidhæ,da,Lund-0035_064v.org
210,vien,gml,AM08-0073_082v.org
211,viende,gml,AM08-0070_064r.org AM12-0417_050r.org AM08-0073_071r.org AM08-0073_088v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_074v.org
212,vienden,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0073_093r.org AM08-0073_013r.org AM08-0073_054v.org
213,viendes,gml,AM08-0073_013r.org
214,vient,gml,NKS08-0045_174r.org AM08-0073_013r.org
215,vii,da,GKS04-1615_009r.org
216,viii,da,GKS04-1615_009r.org NKS08-0045_120v.org
217,viij,da,GKS04-1615_009r.org
218,viisdom,da,Thott04-0553_021r-2.org
219,viishet,da,AM12-0420_026r.org
220,viishetz,da,Lund-0035_064v.org
221,vij,da,GKS04-1615_009r.org
222,vij,gml,GKS08-3487_001r.org
223,vijff,gml,NKS08-0045_166r.org
224,vil,gml,AM08-0073_071r.org Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org AM12-0417_073v.org
225,vil,da,UUB-C496_136r.org Lund-0035_064v.org Kalmar-0033_139v.org
226,vildæ,da,AM08-0079Ieta_001r.org Thott04-0553_125v.org
227,vilie,da,Holm-A-0042_095v.org
228,viliæ,da,Lund-0035_064v.org AM12-0420_026r.org
229,vill,da,Thott04-0553_022r.org Thott04-0553_125v.org
230,ville,gml,AM04-0782_091r.org
231,ville,da,Holm-A-0042_054r.org AM04-0782_216v.org Lund-0035_064v.org
232,villiæ,da,Thott04-0553_020v.org Thott04-0553_125v.org
233,villæ,da,Thott04-0553_022r.org NKS08-0045_120v.org
234,vilt,da,UUB-C496_136r.org Thott04-0553_125v.org Lund-0035_064v.org
235,vincencius,gml,AM08-0073_013r.org
236,vinde,gml,AM08-0073_088v.org
237,vindest,gml,Beschauwing_009.org UBB-C496_019v.org
238,vingere,gml,AM08-0073_044r.org
239,vingers,gml,NKS08-0045_166r.org
240,vinne,gml,AM08-0070_003r.org
241,vinster,gml,AM08-0073_067r.org
242,vinstre,da,Holm-A-0042_053r.org
243,vinstræ,da,Lund-0035_038v.org
244,viorvm,da,UUB-C496_136r.org
245,vire,gml,AM08-0073_013r.org
246,virginis,gml,GKS08-3423_111r2.org
247,virgo,gml,AM08-0070_003r.org
248,virgo,da,AM08-0070_247r_m.org
249,virili,gml,GKS08-3423_111r2.org
250,virtutes,gml,UUB-C496_001r.org
251,visdom,da,GKS04-1613_161r.org Holm-A-0042_052v.org
252,vise,da,AM04-0789_001r.org
253,vishedh,da,Thott04-0553_125v.org
254,vishedz,da,Thott04-0553_125v.org
255,vishet,da,Lund-0035_064v.org Holm-A-0042_095v.org
256,visible,gml,Guelf-1025Novi_230r.org
257,viss,da,Thott04-0553_125v.org
258,vissche,gml,AM08-0073_044r.org
259,vissæ,da,Lund-0035_064v.org
260,vissæligh,da,Lund-0035_064v.org
261,vista,da,Lund-0035_064v.org
262,viste,da,Holm-A-0042_095v.org AM12-0420_026r.org
263,vistæ,da,Thott04-0553_125v.org Lund-0035_064v.org
264,vit,gml,AM08-0073_013r.org
265,vita,gml,GKS08-3487_104v.org
266,vital,gml,AM08-0073_013r.org
267,vitten,gml,AM08-0070_064r.org
268,vitterligh,da,Holm-A-0042_051v.org
269,viue,gml,UBB-C496_019v.org
270,viße,da,AM08-0073_011v.org
271,vj,gml,AM08-0073_099r.org
272,vlammen,gml,AM08-0070_003r.org
273,vlecken,gml,UUB-C496_091v.org
274,vlee,gml,AM08-0073_013r.org
275,vleen,gml,AM12-0417_050r.org GKS08-3487_104v.org
276,vleet,gml,Arndes1487_265r.org
277,vleischlike,gml,UUB-C496_002r.org
278,vlen,gml,AM08-0073_067r.org GKS08-3423_001r.org
279,vlerde,da,AM04-0782_216v.org
280,vlesch,gml,AM08-0073_071r.org
281,vlesche,gml,AM12-0417_073v.org AM08-0073_013r.org
282,vlesches,gml,AM08-0073_136v.org
283,vleschliche,gml,AM08-0073_013r.org
284,vleschliker,gml,AM08-0073_013r.org
285,vlesk,gml,AM08-0073_054v.org
286,vleske,gml,GKS08-3423_211r.org
287,vleskes,gml,GKS08-3423_111r2.org
288,vlessches,gml,AM08-0073_109r.org
289,vlesskes,gml,GKS08-3423_111r2.org
290,vlete,gml,AM12-0417_001r.org
291,vletet,gml,AM08-0073_082v.org AM08-0073_088v.org
292,vleysche,gml,AM08-0073_013r.org
293,vleyssche,gml,AM08-0073_013r.org
294,vloch,gml,AM12-0417_073v.org
295,vlocht,gml,AM12-0417_073v.org
296,vlode,gml,AM08-0073_054v.org
297,vlodygen,gml,GKS08-3423_111r2.org
298,vlogele,gml,AM08-0073_054v.org
299,vlogeles,gml,AM08-0070_064r.org
300,vloschliken,gml,AM08-0073_109r.org
301,vlot,gml,GKS08-3423_211r.org AM08-0073_082v.org AM08-0073_044r.org
302,vlucht,gml,NKS08-0045_174r.org UUB-C496_001r.org
303,vlus,gml,AM08-0073_071r.org
304,vlytich,gml,Arndes1487_265r.org
305,vlytliken,gml,AM08-0070_001r.org
306,vm,gml,AM08-0073_099r.org AM08-0073_055r.org
307,vmbe,gml,GKS08-3487_001r.org
308,vmbekant,gml,Beinecke-0218_157r.org
309,vmbesaluet,gml,AM08-0073_044r.org
310,vmbesloten,gml,AM08-0070_064r.org
311,vmbeuleckede,gml,AM08-0073_099r.org
312,vmbeulecket,gml,AM08-0073_082v.org
313,vmbevleckeder,gml,AM08-0073_071r.org
314,vmme,gml,UUB-C496_091v.org GKS08-3423_211r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_237v.org AM08-0073_109r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3423_109v.org AM08-0073_093r.org Hamburg-CodConv-6_002r.org GKS08-3423_001r.org Speghel_R1r.org NKS08-0045_194r.org AM12-0417_073v.org AM08-0073_228r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org Arndes1487_265r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org AM12-0417_063r.org
315,vmme,other,AM08-0070_254r.org
316,vmmegan,gml,AM08-0073_013r.org
317,vmmeghebyldet,gml,Speghel_R1r.org
318,vmmeringet,gml,AM08-0070_064r.org
319,vmmestandicheyt,gml,GKS08-3487_001r.org
320,vmmetigen,gml,AM08-0073_044r.org
321,vmmme,gml,Beschauwing_009.org
322,vmmmeringet,gml,AM08-0070_064r.org
323,vmmode,gml,AM08-0070_003r.org AM08-0073_013r.org
324,vmwittich,gml,AM08-0073_055r.org
325,vn,gml,GKS08-3423_211r.org AM08-0073_109r.org AM08-0073_082v.org UUB-C496_095r.org Arndes1487_265r.org
326,vnachten,gml,Guelf-1025Novi_065r.org
327,vnbarmhertichliken,gml,UBB-C496_019v.org
328,vnbarmhertychlyken,gml,GKS08-3423_211r.org
329,vnbegripelike,gml,UUB-C496_095r.org
330,vnbegrypelyker,gml,GKS08-3423_111r2.org
331,vnbegryplyke,gml,GKS08-3423_001r.org
332,vnbegryplyken,gml,GKS08-3423_111r2.org
333,vnbekanden,gml,GKS08-3487_001r.org
334,vnbekant,gml,GKS08-3423_202v.org
335,vnbesaluet,gml,AM08-0073_044r.org
336,vnbeuleckede,gml,AM08-0073_044r.org
337,vnbeulecket,gml,AM08-0073_109r.org
338,vnd,gml,Koln-W52_167r.org AM08-0073_109r.org Beinecke-0218_127r.org AM08-0073_228r.org Arndes1487_265r.org
339,vndbevleckede,gml,AM08-0073_044r.org
340,vndd,gml,AM08-0073_228r.org
341,vnde,gml,UUB-C496_091v.org AM08-0073_094r.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org GKS08-3423_103v.org GKS08-3423_103r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_165v.org AM08-0073_237v.org Koln-W52_167r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org UUB-C496_002r.org GKS08-3423_109v.org Guelf-1155Helmst_308v.org AM08-0073_093r.org UUB-C496_003r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org Guelf-1025Novi_230r.org AM08-0073_230r.org Speghel_R1r.org AM08-0070_001r.org GKS08-3423_202v.org Guelf-1025Novi_065r.org NKS08-0045_194r.org AM12-0417_073v.org UUB-C496_001v.org AM08-0073_228r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org UUB-C496_001r.org AM08-0073_087r.org Arndes1487_265r.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM04-0789_005r.org AM12-0417_063r.org
342,vnde,other,AM08-0070_254r.org Guelf08-6114Aug_181r.org
