,word,language,documents
0,w,gml,AM12-0417_001r.org
1,wa,gml,AM08-0073_054v.org
2,waadhe,da,AM12-0421_030r.org
3,waerheyt,gml,GKS08-3487_001r.org
4,wake,gml,AM08-0073_054v.org
5,wakede,gml,AM12-0417_073v.org AM08-0073_013r.org
6,waken,gml,GKS08-3487_001r.org
7,waket,gml,AM08-0073_082v.org
8,wal,other,Guelf08-6114Aug_181r.org
9,walburgis,gml,AM08-0073_013r.org
10,wald,gml,Arndes1487_265r.org
11,walde,gml,GKS08-3487_001r.org
12,walt,gml,AM12-0417_001r.org AM08-0073_109r.org AM08-0070_003r.org Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org GKS08-3487_001r.org
13,wan,gml,GKS08-3423_211r.org AM08-0073_077r.org AM08-0073_082v.org AM12-0417_050r.org Hamburg-CodConv-6_002r.org GKS08-3423_001r.org AM04-0789_005r.org
14,wand,da,AM12-0421_030r.org
15,wandele,gml,AM12-0417_001r.org AM08-0073_082v.org
16,wandelet,gml,AM12-0417_073v.org
17,wandere,gml,AM12-0417_073v.org AM08-0073_013r.org
18,wanderen,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_044r.org
19,wandest,gml,AM08-0073_013r.org
20,wanen,gml,AM08-0073_013r.org
21,wangen,gml,AM12-0417_073v.org
22,wanghen,gml,GKS08-3423_211r.org
23,wanheit,gml,AM12-0417_001r.org
24,wanhoff,da,NKS08-0045_120v.org
25,wanmæctælig,da,NKS08-0045_120v.org
26,wanneer,gml,GKS08-3487_001r.org
27,wanner,gml,GKS08-3423_211r.org AM08-0073_099r.org UUB-C496_095r.org GKS08-3487_001r.org AM12-0417_063r.org
28,wannynghe,gml,GKS08-3423_211r.org
29,wanttu,gml,Gott-Theol242f_103r.org
30,wanynghe,gml,GKS08-3423_111r2.org
31,wapen,gml,GKS08-3487_104v.org
32,wapens,gml,AM08-0073_228r.org
33,wapn,da,NRA-0085-b_001v.org
34,war,gml,AM08-0073_109r.org AM08-0070_003r.org AM08-0070_001r.org AM08-0073_044r.org GKS08-3487_104v.org
35,war,da,AM08-0072_128r.org AM08-0072_128v.org AM04-0789_001r.org AM04-0789_002v.org AM12-0421_030r.org AM08-0072_126r.org AM08-0072_127r.org
36,war,other,AM08-0070_254r.org
37,warafftige,gml,UUB-C496_001r.org
38,warafftigen,gml,UUB-C496_002r.org
39,warafticheme,gml,GKS08-3487_001r.org
40,waraftighen,gml,GKS08-3487_001r.org
41,waraftyge,gml,GKS08-3423_211r.org
42,waraftyghe,gml,GKS08-3423_211r.org
43,waraftyghen,gml,GKS08-3423_211r.org
44,ward,gml,Gott-Theol242f_103r.org Hamburg-CodConv-6_002r.org
45,wardden,gml,AM08-0073_013r.org
46,warde,gml,AM08-0073_109r.org AM08-0073_013r.org
47,warden,gml,AM08-0073_013r.org
48,wardest,gml,AM08-0073_013r.org
49,ware,da,AM12-0421_072r.org AM04-0789_001r.org AM12-0421_030r.org
50,ware,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_109r.org Speghel_R1r.org Guelf-1025Novi_065r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3487_104v.org AM12-0417_063r.org
51,wareden,gml,UBB-C496_019v.org
52,waren,gml,AM08-0073_109r.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Speghel_R1r.org
53,warer,da,AM08-0073_098r.org
54,warer,gml,GKS08-3487_001r.org
55,waret,da,AM04-0789_001r.org NRA-0085-b_001v.org
56,waret,gml,AM08-0073_077r.org
57,warheit,gml,AM08-0070_003r.org NKS08-0045_174r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org
58,warheyt,gml,Hamburg-CodConv-6_002r.org AM08-0073_013r.org
59,warlicke,gml,GKS08-3487_104v.org
60,warliken,gml,AM08-0070_003r.org
61,warlnd,gml,Arndes1487_265r.org
62,wart,gml,UUB-C496_091v.org GKS08-3423_211r.org GKS08-3423_103v.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_071r.org Guelf-1155Helmst_308v.org Guelf-1025Novi_230r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_136v.org GKS08-3423_111r2.org GKS08-3487_104v.org UBB-C496_019v.org AM12-0417_063r.org
63,wart,other,Guelf08-6114Aug_181r.org
64,warth,gml,GKS08-3423_111r2.org
65,warvmme,gml,AM08-0073_013r.org
66,waræd,da,NKS08-0045_120v.org
67,was,other,AM08-0070_254r.org Guelf08-6114Aug_181r.org
68,was,gml,AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM08-0070_003r.org AM08-0073_071r.org Guelf-1155Helmst_308v.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org Guelf-1025Novi_230r.org AM08-0070_001r.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org NKS08-0041_257v.org AM08-0073_074v.org GKS08-3487_104v.org UBB-C496_019v.org AM04-0789_005r.org AM12-0417_063r.org
69,waschen,gml,AM08-0073_013r.org
70,wasdomes,gml,GKS08-3423_211r.org
71,wasdy,gml,GKS08-3423_211r.org
72,wassche,gml,AM12-0417_073v.org UUB-C496_001v.org AM08-0073_013r.org
73,wasschen,gml,AM12-0417_073v.org AM08-0073_013r.org
74,wasschest,gml,NKS08-0045_176r.org
75,wassen,gml,AM08-0070_003r.org GKS08-3423_111r2.org
76,wasth,da,AM04-0789_001r.org
77,wat,gml,GKS08-3423_211r.org AM08-0073_165v.org AM08-0070_003r.org GKS08-3423_001r.org Speghel_R1r.org AM08-0073_044r.org AM08-0073_013r.org Arndes1487_265r.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org UBB-C496_019v.org AM04-0789_005r.org
78,water,gml,GKS08-3423_211r.org AM08-0070_003r.org Speghel_R1r.org AM12-0417_073v.org UUB-C496_001v.org AM08-0073_013r.org AM08-0073_074v.org
79,watere,gml,AM12-0417_001r.org AM08-0073_082v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org AM08-0073_074v.org
80,wath,gml,Arndes1487_265r.org GKS08-3487_001r.org
81,watskillige,da,GKS04-1614_001r.org
82,wawrt,gml,AM12-0417_063r.org
83,waß,gml,Koln-W52_167r.org
84,wddragne,da,AM04-0789_001r.org
85,wdersthe,da,AM08-0072_127r.org
86,wdest,da,AM08-0072_127r.org
87,wdhen,da,NKS08-0045_120v.org
88,wdhfortæret,da,AM08-0079Ieta_001r.org
89,wdi,da,AM04-0789_001r.org
90,wdmighe,da,GKS04-1615_019r.org
91,wdmighet,da,AM04-0782_001r.org AM04-0784_080r.org
92,wdrackte,da,AM04-0789_001r.org
93,wdrand,da,AM12-0421_030r.org
94,wdsende,da,AM04-0784_080r.org
95,wdsendhe,da,AM04-0782_001r.org
96,wdvisær,da,NKS08-0045_120v.org
97,wdwaldh,da,AM08-0072_126r.org
98,wdwoldeæ,da,AM04-0782_001r.org AM04-0784_080r.org
99,wdydæligæ,da,NKS08-0045_120v.org
100,we,gml,AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org AM08-0073_093r.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_202v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_104v.org Beinecke-0218_157r.org UBB-C496_019v.org NKS08-0045_166r.org
101,wech,gml,AM12-0417_001r.org AM08-0073_082v.org UUB-C496_002r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3423_111r2.org GKS08-3487_104v.org
102,wecket,gml,AM08-0073_082v.org
103,wed,da,AM12-0421_030r.org
104,wed,gml,AM08-0073_044r.org
105,wedder,da,AM08-0070_247r.org
