,word,language,documents
0,x,other,Guelf08-6114Aug_181r.org
1,x,da,GKS04-1615_009r.org NKS08-0045_120v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
2,x,gml,Gott-Theol242f_103r.org Koln-W52_167r.org UUB-C496_095r.org UBB-C496_019v.org AM04-0789_005r.org
3,xi,da,GKS04-1615_009r.org
4,xii,da,NKS08-0045_120v.org Thott04-0553_125v.org Holm-A-0042_095v.org
5,xiii,da,GKS04-1615_009r.org
6,xiiii,gml,Guelf-1025Novi_230r.org
7,xiiii,da,GKS04-1615_009r.org
8,xij,da,Lund-0035_064v.org Holm-A-0042_095v.org
9,xij,gml,UUB-C496_095r.org UBB-C496_019v.org
10,xim,gml,GKS08-3423_020r.org
11,xix,da,GKS04-1615_009r.org
12,xl,gml,UUB-C496_003r.org
13,xlc,gml,AM08-0073_228r.org
14,xlm,gml,AM08-0073_228r.org
15,xpe,gml,UBB-C496_019v.org
16,xpi,gml,UBB-C496_019v.org
17,xpm,da,UUB-C496_136r.org
18,xriste,gml,AM08-0073_228r.org
19,xristi,gml,AM08-0073_228r.org
20,xv,da,AM04-0789_001r.org GKS04-1615_009r.org
21,xv,gml,GKS08-3423_211r.org
22,xvi,da,GKS04-1615_009r.org
23,xviii,da,GKS04-1615_009r.org
24,xxiiij,gml,NKS08-0045_187r.org
25,xxx,gml,GKS08-3423_202v.org AM04-0789_005r.org
26,xxx,da,AM04-0782_216v.org Thott04-0553_125v.org Lund-0035_064v.org
