,word,language,documents
0,y,gml,AM08-0073_071r.org
1,y,da,GKS04-1615_019r.org AM04-0782_216v.org AM04-0782_001r.org AM04-0784_080r.org
2,yam,gml,GKS08-3423_111r2.org
3,yamerlyken,gml,GKS08-3423_111r2.org
4,yar,gml,Beschauwing_009.org AM08-0073_044r.org AM08-0073_013r.org
5,yare,gml,AM08-0073_013r.org
6,yck,gml,AM04-0782_091r.org
7,yd,da,GKS04-1615_019r.org
8,yd,gml,GKS08-3423_211r.org AM08-0073_077r.org Speghel_R1r.org AM08-0073_044r.org GKS08-3487_001r.org AM04-0782_091r.org
9,yddel,gml,GKS08-3423_071v.org
10,ydel,gml,AM08-0073_237v.org AM08-0073_082v.org GKS08-3423_109v.org AM08-0073_087r.org GKS08-3487_001r.org
11,ydelecheit,gml,AM08-0073_013r.org
12,ydeler,gml,AM08-0073_013r.org
13,ydelheit,gml,AM08-0070_003r.org
14,ydelicheit,gml,AM12-0417_073v.org AM08-0073_013r.org
15,yderste,da,AM04-0789_002v.org Holm-A-0042_095v.org
16,yderstæ,da,AM08-0075_022v-4.org
17,ydhad,gml,GKS08-3423_211r.org
18,ydicheyt,gml,GKS08-3487_001r.org
19,ydmigheet,da,AM08-0075_022v-4.org
20,ydmighet,da,AM04-0782_001r.org AM04-0784_080r.org
21,ydmygelige,da,AM12-0421_072r.org
22,ydmygelygh,da,AM04-0782_001r.org AM04-0784_080r.org
23,ydmygheed,da,AM08-0075_009r.org
24,ydmyghet,da,AM04-0782_216v.org AM04-0782_001r.org
25,ye,gml,AM08-0073_109r.org Beinecke-0218_127r.org
26,yege,gml,AM08-0073_013r.org
27,yegen,gml,GKS08-3423_211r.org
28,yemande,gml,GKS08-3487_001r.org
29,yene,gml,Gott-Theol242f_103r.org
30,yenen,gml,NKS08-0045_187r.org
31,yenigerleye,gml,AM08-0070_003r.org
32,yenighe,gml,GKS08-3487_001r.org
33,yenighen,gml,GKS08-3487_001r.org
34,yennen,gml,GKS08-3423_001r.org
35,yesse,gml,AM08-0073_099r.org AM12-0417_063r.org
36,yessen,gml,AM08-0073_077r.org
37,yesu,gml,GKS08-3423_211r.org GKS08-3423_001r.org
38,yewelk,gml,AM08-0073_013r.org
39,yghen,da,AM12-0421_022r.org AM04-0782_001r.org
40,yhesu,gml,GKS08-3423_211r.org GKS08-3423_103v.org GKS08-3423_103r.org GKS08-3423_001r.org GKS08-3423_111r2.org
41,yhesus,gml,GKS08-3423_211r.org GKS08-3423_001r.org
