,word,language,documents
0,zaed,gml,AM08-0073_013r.org
1,ze,gml,AM08-0073_088v.org AM08-0073_013r.org Arndes1487_265r.org
2,zele,gml,Gott-Theol242f_103r.org Guelf-1155Helmst_308v.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Guelf-1025Novi_230r.org Speghel_R1r.org AM12-0417_073v.org UUB-C496_001v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_013r.org Arndes1487_265r.org AM08-0073_080r.org AM08-0073_074v.org AM04-0782_091r.org
3,zelen,gml,GKS08-3487_009v.org Beinecke-0218_127r.org Beinecke-0218_157r.org
4,zelle,gml,AM04-0782_091r.org
5,zere,gml,AM08-0073_013r.org AM08-0073_074v.org
6,zin,gml,Arndes1487_265r.org
7,zines,gml,AM08-0073_228r.org
8,zo,gml,Speghel_R1r.org AM08-0073_013r.org Arndes1487_265r.org AM04-0782_091r.org
9,zunden,gml,AM08-0073_013r.org
10,zunder,gml,AM08-0073_013r.org
11,zuntheyt,gml,AM08-0073_013r.org
12,zyn,gml,Arndes1487_265r.org
13,zyne,gml,GKS08-3487_009v.org
14,zynt,gml,GKS08-3487_009v.org
