,word,language,documents
0,æctæskaff,da,NKS08-0045_120v.org
1,ædelig,da,AM04-0782_216v.org
2,ædeligere,da,AM04-0782_216v.org
3,ædeligiste,da,AM04-0784_080r.org
4,ædlestæ,da,Thott04-0553_125v.org
5,ædælig,da,AM04-0784_300r.org
6,ædæligh,da,AM04-0784_300r.org
7,ædæligære,da,AM04-0784_300r.org
8,æffter,da,Holm-A-0042_051v.org Lund-0035_064v.org Holm-A-0042_095v.org
9,æffterskreffne,da,Holm-A-0042_055r.org Holm-A-0042_054v.org Holm-A-0042_055v.org Holm-A-0042_095v.org
10,æffther,da,Lund-0035_038v.org
11,æfftær,da,Lund-0035_064v.org Holm-A-0042_095v.org
12,æfter,da,AM12-0420_026r.org
13,ælske,da,AM04-0789_001r.org
14,ælskelighedh,da,Thott04-0553_015v.org
15,ælskow,da,Thott04-0553_021r-2.org Holm-A-0042_052v.org
16,ælst,da,NKS08-0045_120v.org
17,ælstæ,da,NKS08-0045_120v.org
18,æn,da,Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
19,ænda,other,Holm-A-0029_145v.org
20,ænde,da,AM08-0070_253v.org
21,ændeligt,da,Holm-A-0042_054r.org
22,ændhe,da,AM04-0789_002v.org
23,ændhæ,da,Thott04-0553_015v.org
24,ændæligt,da,Thott04-0553_015v.org
25,ængel,da,AM08-0075_022v-4.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
26,ængelen,da,Thott04-0553_125v.org
27,ængell,da,Thott04-0553_125v.org
28,ængels,da,AM08-0072_128v.org
29,ængil,da,AM12-0420_026r.org AM08-0075_009r.org
30,ængla,da,GKS04-1613_161r.org Thott04-0553_125v.org
31,ængle,da,AM04-0789_001r.org
32,ænglæ,da,Thott04-0553_125v.org
33,ængælær,da,Holm-A-0042_095v.org
34,ænæstæ,da,NKS08-0045_120v.org
35,ær,gml,UUB-C496_095r.org
36,ær,da,Holm-A-0042_054v.org AM08-0072_128r.org GKS04-1615_019r.org GKS04-1613_161r.org AM08-0072_128v.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM08-0073_011v.org Thott04-0553_022r.org AM04-0789_001r.org AM04-0782_001r.org GKS04-1615_009r.org Thott04-0553_015v.org Holm-A-0042_051v.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org Lund-0035_023v.org Kalmar-0033_139v.org GKS04-1614_001r.org
37,ære,da,Holm-A-0042_055v.org AM04-0782_216v.org AM04-0789_001r.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org Lund-0035_023v.org GKS04-1614_001r.org
38,ærede,da,Holm-A-0042_095v.org
39,ærens,other,AM08-0070_254r.org
40,ærffue,da,Lund-0035_064v.org
41,ærffuede,da,AM04-0789_001r.org
42,æry,da,NKS08-0045_120v.org
43,æræ,da,AM08-0070_253v.org GKS04-1613_161r.org Thott04-0553_021r.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0072_126r.org Lund-0035_023v.org
44,æst,da,AM04-0789_001r.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org
45,æsth,other,AM08-0070_254r.org
46,æy,da,Thott04-0553_021r-2.org NKS08-0045_120v.org
