,word,language,documents
0,ødmiwghet,da,AM08-0075_063r.org
1,ødmyge,da,GKS04-1613_161r.org
2,ødmygelig,da,Holm-A-0042_052v.org
3,ødmygeligæ,da,NRA-0085-b_001v.org
4,ødmygelik,da,AM08-0075_063r.org
5,ødmyghe,da,AM08-0075_063r.org
6,ødmyghet,da,Holm-A-0042_055v.org Lund-0035_023v.org
7,ødmyghæ,da,Lund-0035_023v.org
8,ødmygæ,da,GKS04-1613_161r.org
9,øffwerflodig,da,AM04-0784_080r.org
10,øghen,da,NKS08-0045_120v.org
11,øghes,da,AM04-0789_001r.org
12,øghne,da,AM04-0789_001r.org
13,øgne,da,AM04-0789_001r.org
14,øgnene,da,AM08-0079Ieta_001r.org
15,øgnæ,da,GKS04-1613_161r.org
16,øncke,da,AM08-0079Ieta_001r.org
17,ørn,da,AM04-0782_216v.org AM04-0784_300r.org
18,ørne,da,AM04-0789_001r.org
19,øtmyughed,da,Thott04-0553_015v.org
20,øtmyuglige,da,Thott04-0553_021r-2.org
21,øuerflodige,da,AM12-0420_026r.org
22,øuerflødige,da,AM12-0420_026r.org
23,øwens,da,AM08-0072_126r.org
24,øwerste,da,Thott04-0553_125v.org
25,øymygelik,da,AM08-0072_126r.org
