,word,language,documents
0,t,gml,AM08-0073_067r.org AM12-0417_063r.org
0,taal,da,AM04-0789_001r.org
0,taar,da,AM12-0421_030r.org
0,taaræ,da,Thott04-0553_020v.org
0,taber,gml,AM08-0073_088v.org
0,tabernaculo,gml,AM08-0073_067r.org
0,tabernakel,gml,AM08-0073_088v.org
0,tabet,da,AM04-0789_002v.org Lund-0035_064v.org Holm-A-0042_095v.org
0,tabeth,da,Thott04-0553_125v.org
0,tack,da,Thott04-0553_021v.org
0,tacke,da,AM04-0782_001r.org AM04-0784_080r.org
0,tacknæmeligh,da,Thott04-0553_125v.org
0,tackæd,da,NKS08-0045_120v.org
0,tag,da,Holm-A-0042_053r.org
0,tage,da,AM04-0789_001r.org
0,taget,da,NKS08-0045_120v.org
0,tagh,da,AM04-0789_002v.org Lund-0035_038v.org AM08-0076_113r.org
0,taghe,da,AM08-0072_127r.org
0,tagæ,da,Holm-A-0042_051v.org
0,tagækors,da,Holm-A-0042_051v.org
0,take,da,AM08-0073_011v.org
0,takker,da,AM08-0075_022v-4.org AM08-0075_009r.org
0,taknameligh,da,Lund-0035_064v.org
0,taknæmæligh,da,Lund-0035_064v.org
0,tal,da,GKS04-1615_009r.org
0,tal,gml,NKS08-0045_174r.org GKS08-3423_001r.org AM08-0073_044r.org
0,tala,other,Holm-A-0029_145v.org
0,talamo,gml,GKS08-3423_111r2.org
0,tale,da,Holm-A-0042_054r.org
0,tale,gml,GKS08-3423_211r.org
0,taledæ,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,talet,da,NKS08-0045_120v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_023v.org
0,taleth,da,GKS04-1615_019r.org
0,tallen,gml,AM08-0073_082v.org
0,talæ,da,AM08-0079Ieta_001r.org AM08-0072_127r.org
0,tam,gml,AM12-0417_073v.org AM08-0073_013r.org
0,tangat,gml,GKS08-3487_104v.org
0,tasten,gml,GKS08-3487_001r.org
0,tastende,gml,AM08-0070_003r.org GKS08-3487_001r.org
0,tawel,da,GKS04-1615_009r.org
0,te,other,Holm-A-0042_032r.org
0,te,gml,Gott-Theol242f_103r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_055r.org AM08-0073_054v.org AM08-0073_074v.org NKS08-0045_166r.org
0,teck,da,AM04-0782_216v.org
0,teckelige,da,AM12-0421_030r.org
0,tede,gml,AM08-0073_071r.org AM08-0073_054v.org
0,teen,gml,AM08-0073_109r.org
0,teende,gml,AM08-0070_001r.org
0,teertz,other,AM08-0070_254r.org
0,tees,da,Holm-A-0042_095v.org
0,teg,da,AM12-0421_072r.org AM04-0784_092r.org AM04-0784_300r.org AM12-0421_030r.org AM04-0784_080r.org
0,tegen,gml,AM08-0070_064r.org AM08-0073_013r.org
0,tegen,da,Holm-A-0042_051v.org
0,tegh,da,GKS04-1615_019r.org AM12-0421_072r.org AM04-0789_002v.org AM12-0421_030r.org AM08-0072_127r.org
0,tek,da,Thott04-0553_021r-2.org Thott04-0553_022r.org Thott04-0553_015v.org AM08-0079Ieta_001r.org Thott04-0553_125v.org Thott04-0553_021v.org
0,teken,gml,GKS08-3423_211r.org GKS08-3423_103v.org GKS08-3487_009v.org NKS08-0045_174r.org
0,tekene,gml,GKS08-3423_111r2.org
0,tekent,gml,AM08-0070_003r.org GKS08-3487_009v.org
0,teledest,gml,AM08-0073_044r.org
0,telerinne,gml,AM08-0073_077r.org AM08-0073_099r.org AM08-0073_013r.org AM08-0073_055r.org
0,telerinnen,gml,AM08-0070_003r.org AM12-0417_063r.org
0,telerynne,da,AM08-0070_247r.org
0,telerynne,gml,AM08-0070_003r.org AM12-0417_063r.org
0,telerynnen,gml,AM08-0073_094r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_013r.org
0,telet,gml,GKS08-3423_111r2.org
0,telinge,gml,AM08-0070_003r.org
0,tellerinne,other,AM08-0070_254r.org
0,temet,gml,GKS08-3423_111r2.org
0,tempel,gml,AM12-0417_050r.org AM08-0073_055r.org GKS08-3423_111r2.org AM12-0417_063r.org
0,tempele,gml,AM12-0417_001r.org Beinecke-0218_127r.org
0,temple,gml,AM08-0073_099r.org
0,ten,gml,AM08-0073_077r.org AM08-0073_071r.org GKS08-3423_109v.org AM08-0073_044r.org AM08-0073_054v.org
0,tenen,gml,AM08-0070_003r.org
0,tenke,da,Holm-A-0042_054r.org AM12-0421_030r.org
0,tenkelsæ,da,Holm-A-0042_054r.org
0,teophilus,gml,UUB-C496_091v.org
0,tercia,gml,AM08-0073_044r.org
