,word,language,documents
0,uadere,gml,AM08-0073_013r.org
0,ualschen,gml,GKS08-3487_001r.org
0,uan,gml,AM08-0073_082v.org AM08-0073_013r.org
0,uden,gml,AM08-0073_067r.org
0,uele,gml,AM08-0073_013r.org
0,ueler,gml,AM12-0417_073v.org
0,uen,gml,AM08-0073_082v.org AM08-0073_067r.org AM08-0073_080r.org AM08-0073_054v.org
0,uer,gml,AM08-0073_074v.org
0,uerdige,gml,AM08-0073_055r.org
0,uertich,gml,AM08-0070_003r.org
0,ues,gml,AM08-0073_082v.org AM08-0073_088v.org
0,uet,gml,AM08-0073_082v.org AM08-0073_054v.org
0,uetten,gml,AM12-0417_073v.org
0,uger,da,GKS04-1615_009r.org
0,uigen,gml,AM08-0073_088v.org
0,uingeren,gml,GKS08-3423_211r.org
0,uirginem,gml,AM08-0073_055r.org
0,uirgo,other,AM08-0070_254r.org
0,uites,gml,AM08-0073_054v.org
0,ulodighe,gml,AM12-0417_063r.org
0,umbekeret,other,AM08-0070_254r.org
0,umme,other,AM08-0070_254r.org
0,un,gml,AM08-0073_054v.org
0,unbeuleckede,gml,AM12-0417_063r.org
0,unde,other,AM08-0070_254r.org
0,unde,gml,AM08-0073_077r.org AM08-0073_237v.org AM08-0073_082v.org GKS08-3423_071v.org AM08-0070_003r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_080r.org AM08-0073_054v.org
0,uns,da,AM08-0070_247r.org
0,unse,gml,AM08-0073_082v.org AM08-0073_074v.org
0,unwissen,gml,AM12-0417_073v.org
0,uoldich,gml,AM12-0417_073v.org
0,uoldichliche,gml,AM08-0073_054v.org
0,uoldigheit,gml,AM08-0073_054v.org
0,uor,gml,AM08-0073_082v.org
0,uorlat,gml,AM08-0073_013r.org
0,uorlene,gml,AM08-0073_088v.org
0,uortmer,gml,AM08-0073_013r.org
0,up,gml,AM08-0073_077r.org AM08-0073_082v.org AM12-0417_050r.org AM08-0073_071r.org AM08-0073_067r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_136v.org AM08-0073_054v.org GKS08-3487_104v.org
0,upboren,gml,AM08-0073_054v.org
0,upgange,gml,AM08-0073_082v.org
0,upgeghaen,gml,AM08-0073_077r.org
0,upgerich,gml,AM08-0073_054v.org
0,upgesloten,gml,AM08-0073_088v.org
0,upgestaan,gml,AM12-0417_063r.org
0,upgestan,da,AM08-0070_247r.org
0,uphore,gml,AM08-0073_013r.org
0,uplose,gml,AM08-0073_013r.org
0,upon,da,NKS08-0045_120v.org
0,upp,gml,Beinecke-0218_127r.org
0,uppaa,da,AM08-0070_002v.org
0,uppe,gml,AM08-0070_003r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_054v.org UBB-C496_019v.org
0,uprichten,gml,AM08-0073_013r.org
0,upstandingen,gml,AM08-0073_013r.org
0,urede,gml,AM08-0073_082v.org AM08-0073_071r.org
0,urolich,gml,AM08-0073_099r.org
0,urouwe,gml,AM08-0073_055r.org
0,ut,gml,AM12-0417_001r.org AM08-0070_001r.org
0,uterkorn,gml,AM12-0417_050r.org AM12-0417_063r.org
0,utersten,gml,AM12-0417_063r.org
0,utgegoten,gml,AM12-0417_063r.org
0,utgrwdh,other,AM08-0070_254r.org
0,uth,gml,AM12-0417_001r.org AM12-0417_050r.org AM08-0073_074v.org AM12-0417_063r.org
0,uthgevloten,gml,AM12-0417_001r.org
0,uthgewelt,gml,AM12-0417_063r.org
0,uuer,gml,AM08-0073_013r.org
0,uullet,gml,AM08-0073_077r.org
0,uultu,gml,AM04-0789_005r.org
0,uur,gml,AM08-0073_054v.org
0,uwen,da,AM04-0789_001r.org
0,uwenner,da,AM04-0789_001r.org
0,uwenners,da,AM04-0789_002v.org
0,uwnden,gml,AM08-0070_064r.org
0,uwr,gml,AM08-0070_064r.org
