,word,language,documents
0,v,da,GKS04-1615_019r.org GKS04-1613_161r.org AM12-0421_072r.org GKS04-1615_009r.org Lund-0035_064v.org Holm-A-0042_095v.org
0,v,gml,AM08-0073_099r.org AM12-0417_050r.org AM08-0073_044r.org AM08-0073_080r.org UBB-C496_019v.org
0,v,other,Holm-A-0042_032r.org
0,va,gml,AM08-0073_082v.org AM08-0070_001r.org AM08-0073_054v.org
0,vaben,da,Holm-A-0042_051v.org
0,vachen,gml,GKS08-3487_001r.org
0,vachene,gml,GKS08-3487_001r.org
0,vacken,gml,AM04-0782_091r.org
0,vader,gml,AM12-0417_001r.org GKS08-3423_211r.org GKS08-3423_103v.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_109r.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM08-0070_001r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_095r.org AM08-0073_136v.org AM08-0073_054v.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org AM12-0417_063r.org
0,vadere,gml,AM12-0417_001r.org AM08-0073_077r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org UUB-C496_002r.org AM08-0073_088v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_087r.org AM08-0073_080r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org UBB-C496_019v.org AM12-0417_063r.org
0,vaderlandes,gml,AM08-0073_109r.org
0,vaders,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_109r.org AM08-0070_003r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_044r.org UUB-C496_095r.org AM08-0073_136v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0789_005r.org AM12-0417_063r.org
0,vades,gml,AM08-0073_099r.org
0,vaenheyt,gml,AM04-0782_091r.org
0,vaer,gml,AM08-0073_074v.org
0,vaken,gml,GKS08-3423_211r.org Speghel_R1r.org GKS08-3487_001r.org UBB-C496_019v.org
0,vakene,gml,AM12-0417_050r.org GKS08-3487_001r.org
0,val,gml,Koln-W52_167r.org
0,valentin,gml,AM08-0073_013r.org
0,valerian,gml,AM08-0073_013r.org
0,valle,gml,AM08-0073_082v.org Hamburg-CodConv-6_002r.org AM08-0073_013r.org AM04-0789_005r.org
0,vallen,gml,AM08-0073_109r.org NKS08-0045_194r.org AM12-0417_073v.org AM08-0073_044r.org UUB-C496_095r.org
0,vallenden,gml,AM08-0073_093r.org
0,vallet,gml,AM12-0417_001r.org AM08-0073_013r.org UUB-C496_095r.org
0,valsche,gml,GKS08-3487_001r.org
0,valschen,gml,AM08-0070_064r.org GKS08-3423_211r.org GKS08-3487_001r.org
0,van,other,AM08-0070_254r.org
0,van,gml,UUB-C496_091v.org AM08-0073_094r.org AM08-0070_064r.org AM12-0417_001r.org GKS08-3423_211r.org AM08-0073_077r.org GKS08-3423_103v.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_237v.org Koln-W52_167r.org NKS08-0045_187r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org GKS08-3423_071v.org AM12-0417_050r.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org UUB-C496_002r.org GKS08-3423_109v.org AM08-0073_093r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_001r.org AM08-0073_230r.org Speghel_R1r.org AM08-0070_001r.org NKS08-0045_194r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_228r.org NKS08-0045_176r.org AM08-0073_044r.org AM08-0073_013r.org UUB-C496_001r.org AM08-0073_087r.org AM08-0073_136v.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3423_111r2.org AM08-0073_074v.org GKS08-3487_001r.org GKS08-3487_104v.org AM04-0782_091r.org UBB-C496_019v.org NKS08-0045_166r.org AM12-0417_063r.org
0,vanbuten,other,AM08-0070_254r.org
0,vand,da,Lund-0035_038v.org
0,vander,gml,AM08-0073_109r.org
0,vandh,da,Holm-A-0042_053r.org
0,vandre,da,AM04-0784_026v_m.org
0,vandy,gml,AM04-0782_091r.org
0,vandzst,da,Thott04-0553_125v.org
0,vange,gml,AM12-0417_073v.org AM08-0073_013r.org
0,vangen,gml,AM08-0073_013r.org
0,vangenne,gml,AM12-0417_073v.org
0,vanghen,gml,AM08-0073_099r.org GKS08-3487_001r.org
0,vann,gml,Gott-Theol242f_103r.org
0,vantroo,da,Thott04-0553_021r-2.org
0,var,gml,AM04-0782_091r.org
0,var,da,AM08-0072_129v.org Holm-A-0042_053r.org AM08-0079Ieta_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org
0,vare,da,Holm-A-0042_055v.org AM08-0079Ieta_001r.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,vare,gml,AM08-0073_067r.org AM12-0417_073v.org AM08-0073_013r.org AM04-0782_091r.org
0,varen,gml,AM08-0073_074v.org AM04-0782_091r.org
0,varet,gml,AM08-0073_013r.org
0,varlicheit,gml,NKS08-0045_187r.org
0,varloren,gml,AM04-0782_091r.org
0,varæ,da,GKS04-1613_161r.org Thott04-0553_125v.org Lund-0035_064v.org
0,vas,gml,AM08-0073_099r.org
0,vasen,gml,GKS08-3423_211r.org
0,vast,other,Holm-A-0029_145v.org
0,vast,da,Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,vaste,gml,GKS08-3423_211r.org
0,vasteldaghe,gml,GKS08-3487_001r.org
0,vasten,gml,Speghel_R1r.org AM08-0073_013r.org AM04-0782_091r.org
0,vat,gml,AM04-0782_091r.org
0,vaters,gml,Koln-W52_167r.org
0,vather,gml,AM04-0782_091r.org
0,vatter,gml,Koln-W52_167r.org
0,vavtem,da,UUB-C496_136r.org
0,vbegribeligh,da,Holm-A-0042_055r.org
0,vd,da,Holm-A-0042_053r.org
0,vdaff,da,AM04-0782_216v.org
0,vden,da,Holm-A-0042_054v.org Thott04-0553_015v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org Kalmar-0033_139v.org
0,vderste,da,Holm-A-0042_055v.org
0,vderstæ,da,Holm-A-0042_095v.org
0,vdh,da,Holm-A-0042_055r.org Holm-A-0042_053r.org Thott04-0553_125v.org Holm-A-0042_095v.org Lund-0035_038v.org
0,vdhe,da,Thott04-0553_125v.org
0,vdi,da,Holm-A-0042_051v.org Thott04-0553_125v.org
0,vdj,da,Lund-0035_064v.org
0,vdnde,gml,NKS08-0045_187r.org
