,word,language,documents
0,w,gml,AM12-0417_001r.org
0,wa,gml,AM08-0073_054v.org
0,waadhe,da,AM12-0421_030r.org
0,waerheyt,gml,GKS08-3487_001r.org
0,wake,gml,AM08-0073_054v.org
0,wakede,gml,AM12-0417_073v.org AM08-0073_013r.org
0,waken,gml,GKS08-3487_001r.org
0,waket,gml,AM08-0073_082v.org
0,walburgis,gml,AM08-0073_013r.org
0,walde,gml,GKS08-3487_001r.org
0,walt,gml,AM12-0417_001r.org AM08-0073_109r.org AM08-0070_003r.org GKS08-3487_001r.org
0,wan,gml,GKS08-3423_211r.org AM08-0073_077r.org AM08-0073_082v.org AM12-0417_050r.org Hamburg-CodConv-6_002r.org GKS08-3423_001r.org AM04-0789_005r.org
0,wand,da,AM12-0421_030r.org
0,wandele,gml,AM12-0417_001r.org AM08-0073_082v.org
0,wandelet,gml,AM12-0417_073v.org
0,wandere,gml,AM12-0417_073v.org AM08-0073_013r.org
0,wanderen,gml,AM08-0073_077r.org AM08-0073_109r.org AM08-0073_044r.org
0,wandest,gml,AM08-0073_013r.org
0,wanen,gml,AM08-0073_013r.org
0,wangen,gml,AM12-0417_073v.org
0,wanghen,gml,GKS08-3423_211r.org
0,wanheit,gml,AM12-0417_001r.org
0,wanhoff,da,NKS08-0045_120v.org
0,wanmæctælig,da,NKS08-0045_120v.org
0,wanneer,gml,GKS08-3487_001r.org
0,wanner,gml,GKS08-3423_211r.org AM08-0073_099r.org UUB-C496_095r.org GKS08-3487_001r.org AM12-0417_063r.org
0,wannynghe,gml,GKS08-3423_211r.org
0,wanynghe,gml,GKS08-3423_111r2.org
0,wapen,gml,GKS08-3487_104v.org
0,wapens,gml,AM08-0073_228r.org
0,war,gml,AM08-0073_109r.org AM08-0070_003r.org AM08-0070_001r.org AM08-0073_044r.org GKS08-3487_104v.org
0,war,da,AM08-0072_128r.org AM08-0072_128v.org AM04-0789_001r.org AM04-0789_002v.org AM12-0421_030r.org AM08-0072_126r.org AM08-0072_127r.org
0,war,other,AM08-0070_254r.org
0,warafftige,gml,UUB-C496_001r.org
0,warafftigen,gml,UUB-C496_002r.org
0,warafticheme,gml,GKS08-3487_001r.org
0,waraftighen,gml,GKS08-3487_001r.org
0,waraftyge,gml,GKS08-3423_211r.org
0,waraftyghe,gml,GKS08-3423_211r.org
0,waraftyghen,gml,GKS08-3423_211r.org
0,ward,gml,Gott-Theol242f_103r.org Hamburg-CodConv-6_002r.org
0,wardden,gml,AM08-0073_013r.org
0,warde,gml,AM08-0073_109r.org AM08-0073_013r.org
0,warden,gml,AM08-0073_013r.org
0,wardest,gml,AM08-0073_013r.org
0,ware,gml,UUB-C496_091v.org AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org AM08-0073_109r.org Speghel_R1r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3487_104v.org AM12-0417_063r.org
0,ware,da,AM12-0421_072r.org AM04-0789_001r.org AM12-0421_030r.org
0,wareden,gml,UBB-C496_019v.org
0,waren,gml,AM08-0073_109r.org Hamburg-CodConv-6_002r.org Speghel_R1r.org
0,warer,gml,GKS08-3487_001r.org
0,warer,da,AM08-0073_098r.org
0,waret,da,AM04-0789_001r.org
0,waret,gml,AM08-0073_077r.org
0,warheit,gml,AM08-0070_003r.org NKS08-0045_174r.org AM08-0073_088v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org
0,warheyt,gml,Hamburg-CodConv-6_002r.org AM08-0073_013r.org
0,warlicke,gml,GKS08-3487_104v.org
0,warliken,gml,AM08-0070_003r.org
0,wart,gml,UUB-C496_091v.org GKS08-3423_211r.org GKS08-3423_103v.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_071r.org AM12-0417_073v.org Beinecke-0218_127r.org AM08-0073_013r.org AM08-0073_136v.org GKS08-3423_111r2.org GKS08-3487_104v.org UBB-C496_019v.org AM12-0417_063r.org
0,warth,gml,GKS08-3423_111r2.org
0,warvmme,gml,AM08-0073_013r.org
0,waræd,da,NKS08-0045_120v.org
0,was,other,AM08-0070_254r.org
0,was,gml,AM12-0417_001r.org GKS08-3423_211r.org Gott-Theol242f_103r.org AM08-0073_099r.org Koln-W52_167r.org AM08-0073_109r.org AM08-0073_082v.org Beschauwing_009.org AM08-0070_003r.org AM08-0073_071r.org Hamburg-CodConv-6_002r.org AM08-0073_088v.org AM08-0070_001r.org Beinecke-0218_127r.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_074v.org GKS08-3487_104v.org UBB-C496_019v.org AM04-0789_005r.org AM12-0417_063r.org
0,waschen,gml,AM08-0073_013r.org
0,wasdomes,gml,GKS08-3423_211r.org
0,wasdy,gml,GKS08-3423_211r.org
0,wassche,gml,AM12-0417_073v.org UUB-C496_001v.org AM08-0073_013r.org
0,wasschen,gml,AM12-0417_073v.org AM08-0073_013r.org
0,wasschest,gml,NKS08-0045_176r.org
0,wassen,gml,AM08-0070_003r.org GKS08-3423_111r2.org
0,wasth,da,AM04-0789_001r.org
0,wat,gml,GKS08-3423_211r.org AM08-0073_165v.org AM08-0070_003r.org GKS08-3423_001r.org Speghel_R1r.org AM08-0073_044r.org AM08-0073_013r.org GKS08-3423_111r2.org GKS08-3487_001r.org GKS08-3487_104v.org UBB-C496_019v.org AM04-0789_005r.org
0,water,gml,GKS08-3423_211r.org AM08-0070_003r.org Speghel_R1r.org AM12-0417_073v.org UUB-C496_001v.org AM08-0073_013r.org AM08-0073_074v.org
0,watere,gml,AM12-0417_001r.org AM08-0073_082v.org AM12-0417_073v.org AM08-0073_013r.org AM08-0073_054v.org AM08-0073_074v.org
0,wath,gml,GKS08-3487_001r.org
0,watskillige,da,GKS04-1614_001r.org
0,wawrt,gml,AM12-0417_063r.org
0,wddragne,da,AM04-0789_001r.org
0,wdersthe,da,AM08-0072_127r.org
0,wdest,da,AM08-0072_127r.org
0,wdhen,da,NKS08-0045_120v.org
0,wdhfortæret,da,AM08-0079Ieta_001r.org
0,wdi,da,AM04-0789_001r.org
0,wdmighe,da,GKS04-1615_019r.org
0,wdmighet,da,AM04-0782_001r.org AM04-0784_080r.org
0,wdrackte,da,AM04-0789_001r.org
0,wdrand,da,AM12-0421_030r.org
0,wdsende,da,AM04-0784_080r.org
0,wdsendhe,da,AM04-0782_001r.org
0,wdvisær,da,NKS08-0045_120v.org
0,wdwaldh,da,AM08-0072_126r.org
0,wdwoldeæ,da,AM04-0782_001r.org AM04-0784_080r.org
0,wdydæligæ,da,NKS08-0045_120v.org
0,we,gml,AM08-0073_109r.org AM08-0073_082v.org AM08-0070_003r.org AM08-0073_071r.org AM08-0073_067r.org AM08-0073_093r.org Hamburg-CodConv-6_002r.org NKS08-0045_174r.org AM08-0073_088v.org GKS08-3423_202v.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_055r.org AM08-0073_054v.org GKS08-3487_104v.org UBB-C496_019v.org NKS08-0045_166r.org
0,wech,gml,AM12-0417_001r.org AM08-0073_082v.org UUB-C496_002r.org AM08-0070_001r.org AM12-0417_073v.org AM08-0073_044r.org AM08-0073_013r.org AM08-0073_054v.org GKS08-3423_111r2.org GKS08-3487_104v.org
0,wecket,gml,AM08-0073_082v.org
0,wed,da,AM12-0421_030r.org
0,wed,gml,AM08-0073_044r.org
