,word,language,documents
0,x,da,GKS04-1615_009r.org NKS08-0045_120v.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,x,gml,Gott-Theol242f_103r.org Koln-W52_167r.org UUB-C496_095r.org UBB-C496_019v.org AM04-0789_005r.org
0,xi,da,GKS04-1615_009r.org
0,xii,da,NKS08-0045_120v.org Thott04-0553_125v.org Holm-A-0042_095v.org
0,xiii,da,GKS04-1615_009r.org
0,xiiii,da,GKS04-1615_009r.org
0,xij,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,xij,gml,UBB-C496_019v.org
0,xim,gml,GKS08-3423_020r.org
0,xix,da,GKS04-1615_009r.org
0,xl,gml,UUB-C496_003r.org
0,xlc,gml,AM08-0073_228r.org
0,xlm,gml,AM08-0073_228r.org
0,xpe,gml,UBB-C496_019v.org
0,xpi,gml,UBB-C496_019v.org
0,xpm,da,UUB-C496_136r.org
0,xriste,gml,AM08-0073_228r.org
0,xristi,gml,AM08-0073_228r.org
0,xv,da,AM04-0789_001r.org GKS04-1615_009r.org
0,xv,gml,GKS08-3423_211r.org
0,xvi,da,GKS04-1615_009r.org
0,xviii,da,GKS04-1615_009r.org
0,xxiiij,gml,NKS08-0045_187r.org
0,xxx,gml,GKS08-3423_202v.org AM04-0789_005r.org
0,xxx,da,AM04-0782_216v.org Thott04-0553_125v.org Lund-0035_064v.org
