,word,language,documents
0,y,da,GKS04-1615_019r.org AM04-0782_216v.org AM04-0782_001r.org AM04-0784_080r.org
0,y,gml,AM08-0073_071r.org
0,yam,gml,GKS08-3423_111r2.org
0,yamerlyken,gml,GKS08-3423_111r2.org
0,yar,gml,Beschauwing_009.org AM08-0073_044r.org AM08-0073_013r.org
0,yare,gml,AM08-0073_013r.org
0,yck,gml,AM04-0782_091r.org
0,yd,gml,GKS08-3423_211r.org AM08-0073_077r.org Speghel_R1r.org AM08-0073_044r.org GKS08-3487_001r.org AM04-0782_091r.org
0,yd,da,GKS04-1615_019r.org
0,yddel,gml,GKS08-3423_071v.org
0,ydel,gml,AM08-0073_237v.org AM08-0073_082v.org GKS08-3423_109v.org AM08-0073_087r.org GKS08-3487_001r.org
0,ydelecheit,gml,AM08-0073_013r.org
0,ydeler,gml,AM08-0073_013r.org
0,ydelheit,gml,AM08-0070_003r.org
0,ydelicheit,gml,AM12-0417_073v.org AM08-0073_013r.org
0,yderste,da,AM04-0789_002v.org Holm-A-0042_095v.org
0,yderstæ,da,AM08-0075_022v-4.org
0,ydhad,gml,GKS08-3423_211r.org
0,ydicheyt,gml,GKS08-3487_001r.org
0,ydmigheet,da,AM08-0075_022v-4.org
0,ydmighet,da,AM04-0782_001r.org AM04-0784_080r.org
0,ydmygelige,da,AM12-0421_072r.org
0,ydmygelygh,da,AM04-0782_001r.org AM04-0784_080r.org
0,ydmygheed,da,AM08-0075_009r.org
0,ydmyghet,da,AM04-0782_216v.org AM04-0782_001r.org
0,ye,gml,AM08-0073_109r.org Beinecke-0218_127r.org
0,yege,gml,AM08-0073_013r.org
0,yegen,gml,GKS08-3423_211r.org
0,yemande,gml,GKS08-3487_001r.org
0,yenen,gml,NKS08-0045_187r.org
0,yenigerleye,gml,AM08-0070_003r.org
0,yenighe,gml,GKS08-3487_001r.org
0,yenighen,gml,GKS08-3487_001r.org
0,yennen,gml,GKS08-3423_001r.org
0,yesse,gml,AM08-0073_099r.org AM12-0417_063r.org
0,yessen,gml,AM08-0073_077r.org
0,yesu,gml,GKS08-3423_211r.org GKS08-3423_001r.org
0,yewelk,gml,AM08-0073_013r.org
0,yghen,da,AM12-0421_022r.org AM04-0782_001r.org
