,word,language,documents
0,zaed,gml,AM08-0073_013r.org
0,ze,gml,AM08-0073_088v.org AM08-0073_013r.org
0,zele,gml,Gott-Theol242f_103r.org GKS08-3487_009v.org Hamburg-CodConv-6_002r.org Speghel_R1r.org AM12-0417_073v.org UUB-C496_001v.org Beinecke-0218_127r.org AM08-0073_228r.org AM08-0073_013r.org AM08-0073_080r.org AM08-0073_074v.org AM04-0782_091r.org
0,zelen,gml,GKS08-3487_009v.org Beinecke-0218_127r.org
0,zelle,gml,AM04-0782_091r.org
0,zere,gml,AM08-0073_013r.org AM08-0073_074v.org
0,zines,gml,AM08-0073_228r.org
0,zo,gml,Speghel_R1r.org AM08-0073_013r.org AM04-0782_091r.org
0,zunden,gml,AM08-0073_013r.org
0,zunder,gml,AM08-0073_013r.org
0,zuntheyt,gml,AM08-0073_013r.org
0,zyne,gml,GKS08-3487_009v.org
0,zynt,gml,GKS08-3487_009v.org
