,word,language,documents
0,æctæskaff,da,NKS08-0045_120v.org
0,ædelig,da,AM04-0782_216v.org
0,ædeligere,da,AM04-0782_216v.org
0,ædeligiste,da,AM04-0784_080r.org
0,ædlestæ,da,Thott04-0553_125v.org
0,ædælig,da,AM04-0784_300r.org
0,ædæligh,da,AM04-0784_300r.org
0,ædæligære,da,AM04-0784_300r.org
0,æffter,da,Holm-A-0042_051v.org Lund-0035_064v.org Holm-A-0042_095v.org
0,æffterskreffne,da,Holm-A-0042_055r.org Holm-A-0042_054v.org Holm-A-0042_055v.org Holm-A-0042_095v.org
0,æffther,da,Lund-0035_038v.org
0,æfftær,da,Lund-0035_064v.org Holm-A-0042_095v.org
0,æfter,da,AM12-0420_026r.org
0,ælske,da,AM04-0789_001r.org
0,ælskelighedh,da,Thott04-0553_015v.org
0,ælskow,da,Thott04-0553_021r-2.org Holm-A-0042_052v.org
0,ælst,da,NKS08-0045_120v.org
0,ælstæ,da,NKS08-0045_120v.org
0,æn,da,Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,ænda,other,Holm-A-0029_145v.org
0,ænde,da,AM08-0070_253v.org
0,ændeligt,da,Holm-A-0042_054r.org
0,ændhe,da,AM04-0789_002v.org
0,ændhæ,da,Thott04-0553_015v.org
0,ændæligt,da,Thott04-0553_015v.org
0,ængel,da,AM08-0075_022v-4.org Thott04-0553_125v.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org
0,ængelen,da,Thott04-0553_125v.org
0,ængell,da,Thott04-0553_125v.org
0,ængels,da,AM08-0072_128v.org
0,ængil,da,AM12-0420_026r.org AM08-0075_009r.org
0,ængla,da,GKS04-1613_161r.org Thott04-0553_125v.org
0,ængle,da,AM04-0789_001r.org
0,ænglæ,da,Thott04-0553_125v.org
0,ængælær,da,Holm-A-0042_095v.org
0,ænæstæ,da,NKS08-0045_120v.org
0,ær,gml,UUB-C496_095r.org
0,ær,da,Holm-A-0042_054v.org AM08-0072_128r.org GKS04-1615_019r.org GKS04-1613_161r.org AM08-0072_128v.org Holm-A-0042_055v.org Holm-A-0042_053r.org AM08-0073_011v.org Thott04-0553_022r.org AM04-0789_001r.org AM04-0782_001r.org GKS04-1615_009r.org Thott04-0553_015v.org Holm-A-0042_051v.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org Lund-0035_038v.org AM12-0420_026r.org Lund-0035_023v.org Kalmar-0033_139v.org GKS04-1614_001r.org
0,ære,da,Holm-A-0042_055v.org AM04-0782_216v.org AM04-0789_001r.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org AM12-0420_026r.org Lund-0035_023v.org GKS04-1614_001r.org
0,ærede,da,Holm-A-0042_095v.org
0,ærens,other,AM08-0070_254r.org
0,ærffue,da,Lund-0035_064v.org
0,ærffuede,da,AM04-0789_001r.org
0,æry,da,NKS08-0045_120v.org
0,æræ,da,AM08-0070_253v.org GKS04-1613_161r.org Thott04-0553_021r.org NKS08-0045_120v.org Thott04-0553_125v.org AM08-0072_126r.org Lund-0035_023v.org
0,æst,da,AM04-0789_001r.org Thott04-0553_125v.org AM08-0075_063r.org Lund-0035_064v.org Holm-A-0042_095v.org
0,æsth,other,AM08-0070_254r.org
0,æy,da,Thott04-0553_021r-2.org NKS08-0045_120v.org
