,word,language,documents
0,ødmiwghet,da,AM08-0075_063r.org
0,ødmyge,da,GKS04-1613_161r.org
0,ødmygelig,da,Holm-A-0042_052v.org
0,ødmygelik,da,AM08-0075_063r.org
0,ødmyghe,da,AM08-0075_063r.org
0,ødmyghet,da,Holm-A-0042_055v.org Lund-0035_023v.org
0,ødmyghæ,da,Lund-0035_023v.org
0,ødmygæ,da,GKS04-1613_161r.org
0,øffwerflodig,da,AM04-0784_080r.org
0,øghen,da,NKS08-0045_120v.org
0,øghes,da,AM04-0789_001r.org
0,øghne,da,AM04-0789_001r.org
0,øgne,da,AM04-0789_001r.org
0,øgnene,da,AM08-0079Ieta_001r.org
0,øgnæ,da,GKS04-1613_161r.org
0,øncke,da,AM08-0079Ieta_001r.org
0,ørn,da,AM04-0782_216v.org AM04-0784_300r.org
0,ørne,da,AM04-0789_001r.org
0,øtmyughed,da,Thott04-0553_015v.org
0,øtmyuglige,da,Thott04-0553_021r-2.org
0,øuerflodige,da,AM12-0420_026r.org
0,øuerflødige,da,AM12-0420_026r.org
0,øwens,da,AM08-0072_126r.org
0,øwerste,da,Thott04-0553_125v.org
0,øymygelik,da,AM08-0072_126r.org
